SUBDIVISION,YEAR,ANNUAL,JF,MAM,JJAS,OND,Dengue cases,ANNUAL_TEMP,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC
Assam & Meghalaya,1901,2498.6,46.6,460.5,1710.9,280.5,,28.96,23.27,31.46,31.27,27.25
Assam & Meghalaya,1902,2952.1,19.4,717.6,2108.9,106.2,,29.22,25.75,31.76,31.09,26.49
Assam & Meghalaya,1903,2544.7,45.4,450.8,1828.5,220.1,,28.47,24.24,30.71,30.92,26.26
Assam & Meghalaya,1904,2664.1,67.1,884.2,1548.0,164.8,,28.49,23.62,30.95,30.66,26.4
Assam & Meghalaya,1905,2790.6,36.8,626.3,1886.0,241.6,,28.3,22.25,30.0,31.33,26.57
Assam & Meghalaya,1906,2663.4,68.9,623.3,1780.4,190.8,,28.73,23.03,31.11,30.86,27.29
Assam & Meghalaya,1907,2521.1,93.0,578.1,1793.8,56.2,,28.65,24.23,29.92,30.8,27.36
Assam & Meghalaya,1908,2277.8,41.3,530.0,1610.8,95.7,,28.83,24.42,31.43,30.72,26.64
Assam & Meghalaya,1909,2377.0,27.9,509.8,1646.0,193.3,,28.38,23.52,31.02,30.33,26.88
Assam & Meghalaya,1910,2887.3,41.3,638.9,1986.9,220.2,,28.53,24.2,31.14,30.48,26.2
Assam & Meghalaya,1911,3096.2,93.2,758.7,1957.5,286.8,,28.62,23.9,30.7,31.14,26.31
Assam & Meghalaya,1912,2743.5,66.8,677.4,1739.9,259.5,,28.95,24.88,31.1,31.15,26.57
Assam & Meghalaya,1913,2760.5,102.2,844.9,1529.7,283.7,,28.67,24.25,30.89,30.92,26.42
Assam & Meghalaya,1914,2343.8,85.5,607.4,1565.4,85.6,,28.66,24.59,30.73,30.84,26.4
Assam & Meghalaya,1915,3165.1,68.2,939.2,2035.1,122.6,,28.94,23.22,31.06,31.51,27.19
Assam & Meghalaya,1916,2601.1,48.0,686.9,1582.1,284.0,,28.82,24.57,31.88,30.52,26.31
Assam & Meghalaya,1917,2519.9,104.4,413.6,1717.4,284.4,,28.11,24.52,30.06,30.24,25.74
Assam & Meghalaya,1918,3106.8,20.7,565.1,2442.5,78.6,,28.66,23.57,30.68,31.1,26.78
Assam & Meghalaya,1919,2344.2,25.5,451.6,1635.3,231.9,,28.66,23.71,31.17,30.8,26.6
Assam & Meghalaya,1920,2623.6,55.8,695.6,1737.6,134.6,,28.76,23.64,30.4,31.08,27.45
Assam & Meghalaya,1921,2999.7,55.4,873.6,1909.8,160.9,,28.86,23.91,32.05,30.81,26.43
Assam & Meghalaya,1922,2261.9,21.4,479.6,1612.3,148.7,,28.8,24.43,31.21,30.9,26.38
Assam & Meghalaya,1923,2440.6,60.0,673.0,1592.1,115.4,,28.74,23.73,31.4,30.98,26.43
Assam & Meghalaya,1924,2691.4,33.3,541.3,1862.8,254.0,,28.8,23.94,31.44,30.96,26.49
Assam & Meghalaya,1925,2550.5,47.9,934.2,1465.0,103.4,,28.67,23.57,31.47,30.67,26.59
Assam & Meghalaya,1926,2511.7,46.6,551.6,1679.7,233.8,,28.7,24.73,30.21,31.14,26.61
Assam & Meghalaya,1927,2793.1,94.3,569.7,1937.9,191.2,,28.59,23.76,30.72,30.8,26.73
Assam & Meghalaya,1928,2634.3,29.4,646.4,1640.5,317.9,,28.98,24.21,31.51,31.14,26.74
Assam & Meghalaya,1929,2953.8,87.7,976.0,1654.4,235.7,,28.76,23.53,31.72,31.03,26.28
Assam & Meghalaya,1930,2550.7,59.0,509.0,1712.4,270.4,,28.65,23.2,30.94,30.98,26.9
Assam & Meghalaya,1931,2800.1,36.7,716.3,1872.4,174.7,,29.15,24.55,31.71,31.16,26.97
Assam & Meghalaya,1932,2888.7,51.5,711.0,1906.3,219.9,,29.09,24.51,31.17,31.25,27.18
Assam & Meghalaya,1933,2339.1,39.2,517.7,1649.2,132.9,,28.49,24.13,30.43,30.41,26.92
Assam & Meghalaya,1934,3074.9,86.8,773.0,1916.3,298.9,,29.03,24.53,31.28,31.22,26.94
Assam & Meghalaya,1935,2678.4,56.6,570.1,2001.0,50.8,,28.76,23.41,31.15,30.85,26.88
Assam & Meghalaya,1936,2671.3,72.2,716.3,1655.9,226.8,,28.71,24.11,31.17,30.68,26.69
Assam & Meghalaya,1937,2324.6,53.3,523.4,1590.3,157.6,,28.7,24.13,30.84,31.22,26.26
Assam & Meghalaya,1938,2786.5,43.4,587.3,1958.2,197.6,,28.7,23.31,31.74,30.59,26.71
Assam & Meghalaya,1939,2401.6,35.1,539.2,1632.5,194.9,,28.85,24.25,30.76,31.06,27.05
Assam & Meghalaya,1940,2451.6,59.4,645.3,1620.3,126.6,,28.88,24.46,30.66,30.93,27.24
Assam & Meghalaya,1941,2709.5,37.2,821.2,1681.0,170.0,,29.46,24.37,32.12,31.37,27.62
Assam & Meghalaya,1942,2677.0,32.7,833.5,1743.4,67.5,,28.98,24.03,31.8,30.99,27.23
Assam & Meghalaya,1943,2703.7,88.4,824.9,1688.1,102.3,,28.8,24.03,30.8,30.83,27.33
Assam & Meghalaya,1944,2524.3,60.4,719.9,1637.2,106.8,,28.89,23.62,31.03,31.25,27.16
Assam & Meghalaya,1945,2665.7,76.7,603.5,1785.0,200.5,,28.97,23.86,31.19,31.48,26.82
Assam & Meghalaya,1946,2679.5,19.8,609.2,1694.2,356.4,,29.37,25.49,31.5,31.23,27.3
Assam & Meghalaya,1947,2643.3,12.9,707.6,1704.6,218.3,,28.84,23.99,31.78,31.2,26.7
Assam & Meghalaya,1948,3185.4,52.5,1001.1,1896.8,234.9,,28.73,23.62,31.27,30.84,26.77
Assam & Meghalaya,1949,2983.4,45.9,782.9,1982.1,172.4,,28.89,24.49,31.27,30.88,26.79
Assam & Meghalaya,1950,2392.4,72.5,488.5,1643.1,188.4,,28.47,24.02,30.72,30.48,26.58
Assam & Meghalaya,1951,2613.8,8.2,546.9,1736.3,322.5,,29.09,24.16,30.67,31.13,27.77
Assam & Meghalaya,1952,2851.3,14.8,729.0,1785.2,322.4,,29.16,25.17,31.13,31.11,27.26
Assam & Meghalaya,1953,2559.9,31.3,762.4,1603.4,162.9,,29.43,24.71,32.19,31.12,27.56
Assam & Meghalaya,1954,2859.1,67.6,796.9,1812.6,182.0,,28.92,24.2,31.89,30.9,26.46
Assam & Meghalaya,1955,2761.2,18.7,682.5,1812.6,247.4,,28.76,24.9,30.88,30.72,26.59
Assam & Meghalaya,1956,2802.9,33.0,859.9,1706.7,203.3,,28.63,24.4,31.53,30.25,26.37
Assam & Meghalaya,1957,2257.2,100.4,605.4,1428.6,122.8,,28.64,23.87,30.42,31.07,26.82
Assam & Meghalaya,1958,2626.4,63.0,747.9,1579.8,235.7,,29.34,25.43,31.74,31.23,27.01
Assam & Meghalaya,1959,2535.8,76.4,724.6,1424.6,310.1,,29.02,24.05,31.71,30.99,27.03
Assam & Meghalaya,1960,2342.2,11.2,399.9,1837.0,94.0,,29.31,25.49,31.17,31.29,27.36
Assam & Meghalaya,1961,2195.3,31.2,732.6,1261.7,169.8,,28.72,24.18,31.47,30.75,26.3
Assam & Meghalaya,1962,2295.9,52.5,521.1,1587.3,135.0,,28.89,24.24,31.31,31.08,26.65
Assam & Meghalaya,1963,2511.8,11.2,522.8,1797.1,180.7,,29.04,24.73,30.94,31.28,27.0
Assam & Meghalaya,1964,2729.6,32.2,646.4,1824.8,226.2,,29.09,24.29,31.89,30.82,27.2
Assam & Meghalaya,1965,2398.9,78.7,537.7,1626.7,155.7,,29.16,24.67,30.73,31.37,27.61
Assam & Meghalaya,1966,2789.3,43.6,524.1,2053.9,167.7,,29.41,25.54,31.69,31.24,27.26
Assam & Meghalaya,1967,2123.4,48.8,505.4,1452.9,116.3,,29.14,25.31,31.04,31.32,26.9
Assam & Meghalaya,1968,2530.8,42.7,681.3,1666.8,140.0,,29.07,23.68,31.24,31.55,27.19
Assam & Meghalaya,1969,2332.2,29.2,532.4,1660.3,110.2,,29.61,24.99,32.02,31.55,27.71
Assam & Meghalaya,1970,3048.4,82.8,787.9,1913.5,264.3,,29.47,25.19,32.03,31.16,27.5
Assam & Meghalaya,1971,2315.1,55.3,416.8,1551.3,291.6,,29.15,24.99,31.58,30.91,27.17
Assam & Meghalaya,1972,2379.1,57.6,698.9,1515.3,107.3,,29.31,24.49,31.49,31.67,27.21
Assam & Meghalaya,1973,2672.1,92.6,605.5,1742.6,231.4,,29.44,25.35,32.19,31.28,26.97
Assam & Meghalaya,1974,3403.5,43.0,703.8,2356.3,300.4,,29.26,24.34,31.92,31.39,27.03
Assam & Meghalaya,1975,2270.6,32.3,567.9,1473.9,196.5,,28.89,24.12,31.62,30.66,26.99
Assam & Meghalaya,1976,1956.0,42.1,411.5,1407.8,94.6,,29.27,24.61,31.45,31.09,27.76
Assam & Meghalaya,1977,2616.6,25.2,841.1,1505.2,245.2,,29.41,25.15,31.65,31.22,27.59
Assam & Meghalaya,1978,2011.9,13.2,399.0,1478.2,121.6,,29.23,24.36,31.57,31.11,27.64
Assam & Meghalaya,1979,2188.5,12.0,357.7,1542.6,276.3,,29.63,24.99,31.7,31.87,27.67
Assam & Meghalaya,1980,2289.2,49.3,559.6,1537.1,143.2,,29.58,25.21,32.2,31.36,27.51
Assam & Meghalaya,1981,2079.3,60.3,494.6,1431.8,92.7,,29.32,24.9,31.64,31.34,27.24
Assam & Meghalaya,1982,2382.2,32.9,520.4,1720.6,108.3,,29.12,24.51,30.79,31.55,27.26
Assam & Meghalaya,1983,2620.0,54.2,534.1,1844.2,187.6,,29.11,24.62,30.84,31.48,27.23
Assam & Meghalaya,1984,3157.0,29.7,647.4,2292.5,187.5,,29.28,24.11,32.12,31.09,27.46
Assam & Meghalaya,1985,2801.6,41.0,755.7,1895.1,109.9,,29.61,25.29,32.51,31.28,27.35
Assam & Meghalaya,1986,2592.8,28.1,470.6,1726.6,367.5,,29.33,24.64,31.58,31.44,27.4
Assam & Meghalaya,1987,2921.4,36.5,506.9,2170.6,207.3,,29.72,25.07,31.37,32.24,27.82
Assam & Meghalaya,1988,3261.7,53.4,808.9,2151.0,248.5,,29.55,25.39,31.75,31.34,27.76
Assam & Meghalaya,1989,2682.1,62.0,473.8,1929.5,216.8,,29.18,24.51,31.35,31.11,27.57
Assam & Meghalaya,1990,2771.2,66.1,734.4,1750.2,220.5,,29.14,25.0,30.84,31.18,27.5
Assam & Meghalaya,1991,2838.0,43.9,733.6,1783.8,276.7,,29.32,24.74,31.46,31.45,27.4
Assam & Meghalaya,1992,2259.8,61.1,468.8,1578.5,151.4,,29.23,24.6,31.32,31.28,27.49
Assam & Meghalaya,1993,2879.2,170.2,598.6,1969.9,140.5,,29.55,25.31,31.61,31.47,27.74
Assam & Meghalaya,1994,2121.3,69.1,600.5,1273.4,178.3,,29.46,25.09,31.85,31.3,27.52
Assam & Meghalaya,1995,2886.1,48.5,486.8,2169.0,181.8,,30.18,25.68,32.4,32.01,28.52
Assam & Meghalaya,1996,2466.9,36.0,616.4,1543.5,271.0,,29.58,26.3,32.07,31.19,27.29
Assam & Meghalaya,1997,2372.2,58.9,465.6,1763.4,84.3,,29.05,24.63,31.26,31.77,26.65
Assam & Meghalaya,1998,2803.1,43.4,573.1,1947.4,239.2,,29.7,24.96,31.89,31.75,27.83
Assam & Meghalaya,1999,2594.2,2.9,656.1,1710.2,225.0,,29.81,25.16,32.45,31.55,27.95
Assam & Meghalaya,2000,2487.0,34.2,679.5,1666.6,106.6,,29.75,24.82,32.22,31.25,28.53
Assam & Meghalaya,2001,2178.4,45.2,495.8,1413.2,224.2,,29.99,25.88,32.61,31.62,28.13
Assam & Meghalaya,2002,2392.7,25.9,650.2,1589.8,126.8,,30.23,25.37,33.06,32.02,28.36
Assam & Meghalaya,2003,2434.1,51.0,546.5,1573.3,263.4,,29.75,25.32,32.05,31.72,27.7
Assam & Meghalaya,2004,2994.3,34.8,755.9,1849.7,353.9,,29.79,25.47,32.69,31.42,27.65
Assam & Meghalaya,2005,2468.3,53.3,660.9,1525.2,228.9,,29.6,24.96,31.81,31.84,27.5
Assam & Meghalaya,2006,1898.6,41.5,515.5,1208.1,133.5,,30.06,27.44,32.08,31.39,27.78
Assam & Meghalaya,2007,2752.8,75.2,486.1,1975.1,216.4,,29.84,25.73,32.32,31.4,28.03
Assam & Meghalaya,2008,2339.7,44.2,474.4,1683.9,137.2,,29.64,24.72,32.11,31.25,28.29
Assam & Meghalaya,2009,2068.2,19.5,426.2,1473.5,149.0,,30.3,26.51,32.57,32.24,27.96
Assam & Meghalaya,2010,2711.5,3.7,882.3,1690.2,135.3,,30.13,25.96,33.47,31.43,27.78
Assam & Meghalaya,2011,1743.4,22.5,439.4,1236.0,45.6,,29.82,25.33,32.07,31.55,28.23
