SUBDIVISION,YEAR,ANNUAL,JF,MAM,JJAS,OND,Dengue cases,ANNUAL_TEMP,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC
Coastal Andhra Pradesh,1901,993.8,99.7,104.6,449.7,339.8,,28.96,23.27,31.46,31.27,27.25
Coastal Andhra Pradesh,1902,1063.6,2.0,64.4,657.7,339.5,,29.22,25.75,31.76,31.09,26.49
Coastal Andhra Pradesh,1903,1316.2,14.2,79.8,877.1,345.1,,28.47,24.24,30.71,30.92,26.26
Coastal Andhra Pradesh,1904,860.2,1.3,144.7,462.6,251.6,,28.49,23.62,30.95,30.66,26.4
Coastal Andhra Pradesh,1905,795.2,17.8,173.8,530.1,73.4,,28.3,22.25,30.0,31.33,26.57
Coastal Andhra Pradesh,1906,1021.5,27.4,23.2,776.4,194.5,,28.73,23.03,31.11,30.86,27.29
Coastal Andhra Pradesh,1907,817.9,3.6,138.7,557.2,118.4,,28.65,24.23,29.92,30.8,27.36
Coastal Andhra Pradesh,1908,842.3,55.5,49.8,661.1,75.9,,28.83,24.42,31.43,30.72,26.64
Coastal Andhra Pradesh,1909,867.6,2.6,146.5,626.8,91.7,,28.38,23.52,31.02,30.33,26.88
Coastal Andhra Pradesh,1910,1254.6,3.3,54.7,823.0,373.6,,28.53,24.2,31.14,30.48,26.2
Coastal Andhra Pradesh,1911,819.5,0.0,56.0,545.1,218.4,,28.62,23.9,30.7,31.14,26.31
Coastal Andhra Pradesh,1912,903.6,9.6,53.6,692.5,147.9,,28.95,24.88,31.1,31.15,26.57
Coastal Andhra Pradesh,1913,841.0,12.9,72.1,539.7,216.3,,28.67,24.25,30.89,30.92,26.42
Coastal Andhra Pradesh,1914,1013.2,10.9,156.6,800.0,45.7,,28.66,24.59,30.73,30.84,26.4
Coastal Andhra Pradesh,1915,1347.4,39.0,161.7,709.1,437.7,,28.94,23.22,31.06,31.51,27.19
Coastal Andhra Pradesh,1916,1351.2,5.3,60.7,803.3,481.9,,28.82,24.57,31.88,30.52,26.31
Coastal Andhra Pradesh,1917,1289.6,26.3,136.7,779.2,347.4,,28.11,24.52,30.06,30.24,25.74
Coastal Andhra Pradesh,1918,778.0,27.6,102.0,497.4,151.0,,28.66,23.57,30.68,31.1,26.78
Coastal Andhra Pradesh,1919,1141.4,64.2,104.0,586.4,386.8,,28.66,23.71,31.17,30.8,26.6
Coastal Andhra Pradesh,1920,723.5,33.3,108.2,393.2,188.7,,28.76,23.64,30.4,31.08,27.45
Coastal Andhra Pradesh,1921,1015.0,52.4,46.5,698.9,217.2,,28.86,23.91,32.05,30.81,26.43
Coastal Andhra Pradesh,1922,853.3,10.9,41.1,499.0,302.3,,28.8,24.43,31.21,30.9,26.38
Coastal Andhra Pradesh,1923,1126.4,58.5,67.5,487.1,513.2,,28.74,23.73,31.4,30.98,26.43
Coastal Andhra Pradesh,1924,1182.0,9.9,75.6,725.1,371.4,,28.8,23.94,31.44,30.96,26.49
Coastal Andhra Pradesh,1925,1238.5,3.0,242.2,676.5,316.8,,28.67,23.57,31.47,30.67,26.59
Coastal Andhra Pradesh,1926,870.7,21.4,172.2,599.9,77.2,,28.7,24.73,30.21,31.14,26.61
Coastal Andhra Pradesh,1927,1053.0,22.6,64.8,723.1,242.6,,28.59,23.76,30.72,30.8,26.73
Coastal Andhra Pradesh,1928,1101.3,2.8,87.4,622.2,388.8,,28.98,24.21,31.51,31.14,26.74
Coastal Andhra Pradesh,1929,859.1,40.2,62.2,553.0,203.8,,28.76,23.53,31.72,31.03,26.28
Coastal Andhra Pradesh,1930,1222.7,32.9,147.1,571.6,471.1,,28.65,23.2,30.94,30.98,26.9
Coastal Andhra Pradesh,1931,1287.1,0.8,60.9,672.2,553.1,,29.15,24.55,31.71,31.16,26.97
Coastal Andhra Pradesh,1932,971.5,53.2,68.0,553.0,297.2,,29.09,24.51,31.17,31.25,27.18
Coastal Andhra Pradesh,1933,1087.3,4.2,118.0,621.7,343.4,,28.49,24.13,30.43,30.41,26.92
Coastal Andhra Pradesh,1934,884.2,0.2,42.3,641.7,200.1,,29.03,24.53,31.28,31.22,26.94
Coastal Andhra Pradesh,1935,751.1,1.3,39.4,567.8,142.6,,28.76,23.41,31.15,30.85,26.88
Coastal Andhra Pradesh,1936,1328.7,135.7,173.4,686.8,332.7,,28.71,24.11,31.17,30.68,26.69
Coastal Andhra Pradesh,1937,892.2,71.8,131.9,494.2,194.3,,28.7,24.13,30.84,31.22,26.26
Coastal Andhra Pradesh,1938,1206.2,32.0,93.7,790.5,290.0,,28.7,23.31,31.74,30.59,26.71
Coastal Andhra Pradesh,1939,1070.3,3.0,60.7,490.9,515.8,,28.85,24.25,30.76,31.06,27.05
Coastal Andhra Pradesh,1940,1069.0,5.4,282.6,586.4,194.5,,28.88,24.46,30.66,30.93,27.24
Coastal Andhra Pradesh,1941,1026.5,16.4,70.8,557.3,382.0,,29.46,24.37,32.12,31.37,27.62
Coastal Andhra Pradesh,1942,879.8,8.5,69.9,553.7,247.6,,28.98,24.03,31.8,30.99,27.23
Coastal Andhra Pradesh,1943,977.9,25.5,120.2,583.7,248.5,,28.8,24.03,30.8,30.83,27.33
Coastal Andhra Pradesh,1944,1155.9,24.3,163.9,629.1,338.6,,28.89,23.62,31.03,31.25,27.16
Coastal Andhra Pradesh,1945,991.5,1.0,87.9,626.8,275.8,,28.97,23.86,31.19,31.48,26.82
Coastal Andhra Pradesh,1946,970.2,3.8,132.1,577.9,256.4,,29.37,25.49,31.5,31.23,27.3
Coastal Andhra Pradesh,1947,1126.2,13.4,34.5,729.8,348.5,,28.84,23.99,31.78,31.2,26.7
Coastal Andhra Pradesh,1948,1024.6,28.2,76.9,632.7,286.8,,28.73,23.62,31.27,30.84,26.77
Coastal Andhra Pradesh,1949,1217.3,8.3,105.8,762.4,340.7,,28.89,24.49,31.27,30.88,26.79
Coastal Andhra Pradesh,1950,986.0,17.2,90.7,644.4,233.6,,28.47,24.02,30.72,30.48,26.58
Coastal Andhra Pradesh,1951,1096.1,1.2,149.4,779.4,166.1,,29.09,24.16,30.67,31.13,27.77
Coastal Andhra Pradesh,1952,916.7,17.4,135.2,476.5,287.5,,29.16,25.17,31.13,31.11,27.26
Coastal Andhra Pradesh,1953,990.0,13.8,64.9,660.6,250.7,,29.43,24.71,32.19,31.12,27.56
Coastal Andhra Pradesh,1954,1153.5,0.3,54.5,820.4,278.4,,28.92,24.2,31.89,30.9,26.46
Coastal Andhra Pradesh,1955,1378.9,5.4,282.9,688.2,402.4,,28.76,24.9,30.88,30.72,26.59
Coastal Andhra Pradesh,1956,1408.5,7.5,118.1,888.3,394.7,,28.63,24.4,31.53,30.25,26.37
Coastal Andhra Pradesh,1957,1017.6,2.5,63.7,799.0,152.4,,28.64,23.87,30.42,31.07,26.82
Coastal Andhra Pradesh,1958,1605.3,9.2,69.1,851.3,675.7,,29.34,25.43,31.74,31.23,27.01
Coastal Andhra Pradesh,1959,1120.7,16.4,26.3,843.1,234.9,,29.02,24.05,31.71,30.99,27.03
Coastal Andhra Pradesh,1960,943.6,1.6,44.7,743.9,153.4,,29.31,25.49,31.17,31.29,27.36
Coastal Andhra Pradesh,1961,1119.2,37.9,55.7,692.5,333.2,,28.72,24.18,31.47,30.75,26.3
Coastal Andhra Pradesh,1962,1345.5,12.3,105.1,819.6,408.5,,28.89,24.24,31.31,31.08,26.65
Coastal Andhra Pradesh,1963,1023.9,0.0,80.7,571.4,371.8,,29.04,24.73,30.94,31.28,27.0
Coastal Andhra Pradesh,1964,1061.0,11.9,40.6,867.0,141.5,,29.09,24.29,31.89,30.82,27.2
Coastal Andhra Pradesh,1965,754.2,2.6,79.2,583.9,88.6,,29.16,24.67,30.73,31.37,27.61
Coastal Andhra Pradesh,1966,954.7,41.3,36.3,643.1,234.0,,29.41,25.54,31.69,31.24,27.26
Coastal Andhra Pradesh,1967,843.1,13.1,110.1,635.9,84.0,,29.14,25.31,31.04,31.32,26.9
Coastal Andhra Pradesh,1968,838.9,23.1,84.4,451.3,280.0,,29.07,23.68,31.24,31.55,27.19
Coastal Andhra Pradesh,1969,1279.7,0.7,270.8,540.0,468.2,,29.61,24.99,32.02,31.55,27.71
Coastal Andhra Pradesh,1970,1064.2,10.6,136.0,733.4,184.1,,29.47,25.19,32.03,31.16,27.5
Coastal Andhra Pradesh,1971,1033.2,27.4,205.1,613.5,187.2,,29.15,24.99,31.58,30.91,27.17
Coastal Andhra Pradesh,1972,1028.5,32.5,52.8,518.8,424.4,,29.31,24.49,31.49,31.67,27.21
Coastal Andhra Pradesh,1973,859.1,0.4,58.3,542.9,257.5,,29.44,25.35,32.19,31.28,26.97
Coastal Andhra Pradesh,1974,944.9,1.6,59.1,573.8,310.5,,29.26,24.34,31.92,31.39,27.03
Coastal Andhra Pradesh,1975,1192.4,10.7,36.4,796.5,348.7,,28.89,24.12,31.62,30.66,26.99
Coastal Andhra Pradesh,1976,1090.3,1.1,62.3,598.5,428.4,,29.27,24.61,31.45,31.09,27.76
Coastal Andhra Pradesh,1977,1132.8,1.5,166.1,551.2,413.9,,29.41,25.15,31.65,31.22,27.59
Coastal Andhra Pradesh,1978,1038.3,27.1,60.6,812.5,138.1,,29.23,24.36,31.57,31.11,27.64
Coastal Andhra Pradesh,1979,934.1,30.7,140.4,534.6,228.3,,29.63,24.99,31.7,31.87,27.67
Coastal Andhra Pradesh,1980,1014.8,2.9,53.2,691.5,267.2,,29.58,25.21,32.2,31.36,27.51
Coastal Andhra Pradesh,1981,929.3,16.0,108.9,694.5,109.8,,29.32,24.9,31.64,31.34,27.24
Coastal Andhra Pradesh,1982,888.5,2.1,92.7,529.5,264.2,,29.12,24.51,30.79,31.55,27.26
Coastal Andhra Pradesh,1983,1196.0,17.4,69.6,858.5,250.6,,29.11,24.62,30.84,31.48,27.23
Coastal Andhra Pradesh,1984,785.2,15.5,49.5,585.9,134.3,,29.28,24.11,32.12,31.09,27.46
Coastal Andhra Pradesh,1985,967.6,43.1,26.6,571.6,326.3,,29.61,25.29,32.51,31.28,27.35
Coastal Andhra Pradesh,1986,1009.7,58.4,72.9,638.4,239.9,,29.33,24.64,31.58,31.44,27.4
Coastal Andhra Pradesh,1987,1079.9,21.1,93.9,442.2,522.8,,29.72,25.07,31.37,32.24,27.82
Coastal Andhra Pradesh,1988,1164.8,16.7,110.3,928.9,109.0,,29.55,25.39,31.75,31.34,27.76
Coastal Andhra Pradesh,1989,1030.0,0.2,76.6,883.0,70.3,,29.18,24.51,31.35,31.11,27.57
Coastal Andhra Pradesh,1990,1611.1,91.4,616.4,591.5,311.9,,29.14,25.0,30.84,31.18,27.5
Coastal Andhra Pradesh,1991,1122.1,22.8,49.0,760.9,289.3,,29.32,24.74,31.46,31.45,27.4
Coastal Andhra Pradesh,1992,1001.0,17.4,54.6,637.1,291.8,,29.23,24.6,31.32,31.28,27.49
Coastal Andhra Pradesh,1993,869.7,12.0,114.9,511.7,231.2,,29.55,25.31,31.61,31.47,27.74
Coastal Andhra Pradesh,1994,1155.1,24.6,83.0,574.4,473.1,,29.46,25.09,31.85,31.3,27.52
Coastal Andhra Pradesh,1995,1352.0,30.1,289.6,646.6,385.8,,30.18,25.68,32.4,32.01,28.52
Coastal Andhra Pradesh,1996,1210.9,9.3,51.9,829.4,320.3,,29.58,26.3,32.07,31.19,27.29
Coastal Andhra Pradesh,1997,972.1,20.7,107.6,662.7,181.0,,29.05,24.63,31.26,31.77,26.65
Coastal Andhra Pradesh,1998,1310.8,48.3,97.2,858.0,307.2,,29.7,24.96,31.89,31.75,27.83
Coastal Andhra Pradesh,1999,825.1,2.8,85.4,554.7,182.2,,29.81,25.16,32.45,31.55,27.95
Coastal Andhra Pradesh,2000,992.3,42.5,88.3,768.9,92.6,5.0,29.75,24.82,32.22,31.25,28.53
Coastal Andhra Pradesh,2001,1009.3,8.4,124.8,598.1,278.0,1.0,29.99,25.88,32.61,31.62,28.13
Coastal Andhra Pradesh,2002,703.2,28.0,77.1,435.0,163.0,61.0,30.23,25.37,33.06,32.02,28.36
Coastal Andhra Pradesh,2003,1096.8,25.6,72.3,634.1,364.9,95.0,29.75,25.32,32.05,31.72,27.7
Coastal Andhra Pradesh,2004,873.6,35.3,109.3,571.5,157.5,230.0,29.79,25.47,32.69,31.42,27.65
Coastal Andhra Pradesh,2005,1221.6,21.6,98.0,743.6,358.4,99.0,29.6,24.96,31.81,31.84,27.5
Coastal Andhra Pradesh,2006,1159.6,0.0,156.3,762.6,240.7,197.0,30.06,27.44,32.08,31.39,27.78
Coastal Andhra Pradesh,2007,1099.2,5.1,21.6,892.5,180.0,587.0,29.84,25.73,32.32,31.4,28.03
