SUBDIVISION,YEAR,ANNUAL,JF,MAM,JJAS,OND,Dengue cases,ANNUAL_TEMP,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC
Andaman & Nicobar Islands,1901,3373.2,136.3,560.3,1696.3,980.3,,28.96,23.27,31.46,31.27,27.25
Andaman & Nicobar Islands,1902,3520.7,159.8,458.3,2185.9,716.7,,29.22,25.75,31.76,31.09,26.49
Andaman & Nicobar Islands,1903,2957.4,156.7,236.1,1874.0,690.6,,28.47,24.24,30.71,30.92,26.26
Andaman & Nicobar Islands,1904,3079.6,24.1,506.9,1977.6,571.0,,28.49,23.62,30.95,30.66,26.4
Andaman & Nicobar Islands,1905,2566.7,1.3,309.7,1624.9,630.8,,28.3,22.25,30.0,31.33,26.57
Andaman & Nicobar Islands,1906,2534.4,36.6,556.1,1465.8,475.9,,28.73,23.03,31.11,30.86,27.29
Andaman & Nicobar Islands,1907,3347.9,110.7,751.2,1327.1,1158.9,,28.65,24.23,29.92,30.8,27.36
Andaman & Nicobar Islands,1908,3576.4,106.0,591.0,2303.7,575.7,,28.83,24.42,31.43,30.72,26.64
Andaman & Nicobar Islands,1909,,,,,,,28.38,23.52,31.02,30.33,26.88
Andaman & Nicobar Islands,1910,2899.4,49.3,520.1,1701.0,629.0,,28.53,24.2,31.14,30.48,26.2
Andaman & Nicobar Islands,1911,2687.2,8.4,449.8,1553.6,675.4,,28.62,23.9,30.7,31.14,26.31
Andaman & Nicobar Islands,1912,2960.5,584.5,162.6,1775.2,438.2,,28.95,24.88,31.1,31.15,26.57
Andaman & Nicobar Islands,1913,2365.8,85.3,194.5,1596.7,489.3,,28.67,24.25,30.89,30.92,26.42
Andaman & Nicobar Islands,1914,2957.8,0.0,336.5,2007.4,613.9,,28.66,24.59,30.73,30.84,26.4
Andaman & Nicobar Islands,1915,2741.3,101.7,244.4,1350.7,1044.5,,28.94,23.22,31.06,31.51,27.19
Andaman & Nicobar Islands,1916,2937.5,0.0,487.9,1753.6,696.0,,28.82,24.57,31.88,30.52,26.31
Andaman & Nicobar Islands,1917,2612.4,11.6,412.4,1605.1,583.3,,28.11,24.52,30.06,30.24,25.74
Andaman & Nicobar Islands,1918,3275.0,84.3,751.4,1670.4,768.9,,28.66,23.57,30.68,31.1,26.78
Andaman & Nicobar Islands,1919,2352.1,28.2,319.4,1219.5,785.0,,28.66,23.71,31.17,30.8,26.6
Andaman & Nicobar Islands,1920,2943.2,129.7,253.5,1814.1,745.9,,28.76,23.64,30.4,31.08,27.45
Andaman & Nicobar Islands,1921,2606.4,16.3,388.7,1681.0,520.4,,28.86,23.91,32.05,30.81,26.43
Andaman & Nicobar Islands,1922,3554.2,279.6,628.4,1751.0,895.2,,28.8,24.43,31.21,30.9,26.38
Andaman & Nicobar Islands,1923,,79.5,,2188.0,399.9,,28.74,23.73,31.4,30.98,26.43
Andaman & Nicobar Islands,1924,,28.7,295.7,1296.6,,,28.8,23.94,31.44,30.96,26.49
Andaman & Nicobar Islands,1925,2480.5,36.6,341.2,1385.7,717.0,,28.67,23.57,31.47,30.67,26.59
Andaman & Nicobar Islands,1926,3282.2,122.1,198.9,1808.3,1152.9,,28.7,24.73,30.21,31.14,26.61
Andaman & Nicobar Islands,1927,2442.9,20.5,630.5,1124.8,667.1,,28.59,23.76,30.72,30.8,26.73
Andaman & Nicobar Islands,1928,2998.3,118.5,709.5,1612.8,557.5,,28.98,24.21,31.51,31.14,26.74
Andaman & Nicobar Islands,1929,2926.6,192.6,515.6,1540.4,678.0,,28.76,23.53,31.72,31.03,26.28
Andaman & Nicobar Islands,1930,3075.1,192.8,373.6,1975.4,533.3,,28.65,23.2,30.94,30.98,26.9
Andaman & Nicobar Islands,1931,2357.7,25.3,210.4,1548.2,573.8,,29.15,24.55,31.71,31.16,26.97
Andaman & Nicobar Islands,1932,,5.3,548.0,,,,29.09,24.51,31.17,31.25,27.18
Andaman & Nicobar Islands,1933,2987.5,16.2,431.9,1973.9,565.5,,28.49,24.13,30.43,30.41,26.92
Andaman & Nicobar Islands,1934,3722.8,180.2,200.3,2717.9,624.4,,29.03,24.53,31.28,31.22,26.94
Andaman & Nicobar Islands,1935,3154.0,6.6,860.9,1733.3,553.2,,28.76,23.41,31.15,30.85,26.88
Andaman & Nicobar Islands,1936,,31.8,,2109.8,586.3,,28.71,24.11,31.17,30.68,26.69
Andaman & Nicobar Islands,1937,3591.1,32.3,442.5,1863.8,1252.5,,28.7,24.13,30.84,31.22,26.26
Andaman & Nicobar Islands,1938,3264.4,70.6,521.0,1930.6,742.2,,28.7,23.31,31.74,30.59,26.71
Andaman & Nicobar Islands,1939,2782.5,55.6,573.9,1591.9,561.1,,28.85,24.25,30.76,31.06,27.05
Andaman & Nicobar Islands,1940,3007.5,3.3,380.1,1970.2,653.9,,28.88,24.46,30.66,30.93,27.24
Andaman & Nicobar Islands,1941,2898.2,12.8,329.7,1627.4,928.3,,29.46,24.37,32.12,31.37,27.62
Andaman & Nicobar Islands,1942,,46.6,,,,,28.98,24.03,31.8,30.99,27.23
Andaman & Nicobar Islands,1943,,,,,,,28.8,24.03,30.8,30.83,27.33
Andaman & Nicobar Islands,1944,,,,,,,28.89,23.62,31.03,31.25,27.16
Andaman & Nicobar Islands,1945,,,,,,,28.97,23.86,31.19,31.48,26.82
Andaman & Nicobar Islands,1946,2791.6,88.0,465.4,1570.6,667.6,,29.37,25.49,31.5,31.23,27.3
Andaman & Nicobar Islands,1947,,136.2,397.2,,612.1,,28.84,23.99,31.78,31.2,26.7
Andaman & Nicobar Islands,1948,,,,,,,28.73,23.62,31.27,30.84,26.77
Andaman & Nicobar Islands,1949,3489.6,56.4,572.3,2433.2,427.7,,28.89,24.49,31.27,30.88,26.79
Andaman & Nicobar Islands,1950,2422.2,0.8,359.7,1578.4,483.3,,28.47,24.02,30.72,30.48,26.58
Andaman & Nicobar Islands,1951,3275.1,89.9,304.4,1747.4,1133.4,,29.09,24.16,30.67,31.13,27.77
Andaman & Nicobar Islands,1952,3079.9,0.8,562.0,1824.8,692.3,,29.16,25.17,31.13,31.11,27.26
Andaman & Nicobar Islands,1953,2721.9,121.3,420.5,1627.1,552.9,,29.43,24.71,32.19,31.12,27.56
Andaman & Nicobar Islands,1954,3449.0,85.9,487.0,2419.4,456.7,,28.92,24.2,31.89,30.9,26.46
Andaman & Nicobar Islands,1955,3349.6,85.5,742.2,1648.3,873.6,,28.76,24.9,30.88,30.72,26.59
Andaman & Nicobar Islands,1956,3080.0,126.4,656.0,1604.4,693.3,,28.63,24.4,31.53,30.25,26.37
Andaman & Nicobar Islands,1957,2507.2,47.3,166.0,1833.6,460.3,,28.64,23.87,30.42,31.07,26.82
Andaman & Nicobar Islands,1958,2807.4,37.2,410.2,1710.4,649.6,,29.34,25.43,31.74,31.23,27.01
Andaman & Nicobar Islands,1959,3343.3,11.9,356.1,2271.7,703.6,,29.02,24.05,31.71,30.99,27.03
Andaman & Nicobar Islands,1960,3025.0,176.6,601.0,1563.0,684.5,,29.31,25.49,31.17,31.29,27.36
Andaman & Nicobar Islands,1961,3938.2,181.5,1094.5,1857.3,805.0,,28.72,24.18,31.47,30.75,26.3
Andaman & Nicobar Islands,1962,2959.7,167.3,374.1,1671.9,746.4,,28.89,24.24,31.31,31.08,26.65
Andaman & Nicobar Islands,1963,2981.7,106.7,336.8,1953.5,584.7,,29.04,24.73,30.94,31.28,27.0
Andaman & Nicobar Islands,1964,3054.8,87.4,551.8,1745.9,669.8,,29.09,24.29,31.89,30.82,27.2
Andaman & Nicobar Islands,1965,3163.8,42.2,368.5,1774.3,978.8,,29.16,24.67,30.73,31.37,27.61
Andaman & Nicobar Islands,1966,2701.2,83.9,427.6,1372.1,817.6,,29.41,25.54,31.69,31.24,27.26
Andaman & Nicobar Islands,1967,3216.4,186.2,609.7,1796.4,624.1,,29.14,25.31,31.04,31.32,26.9
Andaman & Nicobar Islands,1968,2762.8,23.4,383.3,1803.3,552.8,,29.07,23.68,31.24,31.55,27.19
Andaman & Nicobar Islands,1969,2619.0,171.0,352.7,1539.1,556.3,,29.61,24.99,32.02,31.55,27.71
Andaman & Nicobar Islands,1970,3370.8,106.2,488.7,1738.2,1037.7,,29.47,25.19,32.03,31.16,27.5
Andaman & Nicobar Islands,1971,2998.6,74.3,471.0,1613.7,839.6,,29.15,24.99,31.58,30.91,27.17
Andaman & Nicobar Islands,1972,3323.0,15.3,605.9,1844.0,857.7,,29.31,24.49,31.49,31.67,27.21
Andaman & Nicobar Islands,1973,2991.1,38.5,478.7,1587.8,886.1,,29.44,25.35,32.19,31.28,26.97
Andaman & Nicobar Islands,1974,2962.0,66.0,672.0,1378.7,845.3,,29.26,24.34,31.92,31.39,27.03
