SUBDIVISION,YEAR,ANNUAL,JF,MAM,JJAS,OND,Dengue cases,ANNUAL_TEMP,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC
Arunachal Pradesh,1901,,,,,,,28.96,23.27,31.46,31.27,27.25
Arunachal Pradesh,1902,,,,,,,29.22,25.75,31.76,31.09,26.49
Arunachal Pradesh,1903,,,,,,,28.47,24.24,30.71,30.92,26.26
Arunachal Pradesh,1904,,,,,,,28.49,23.62,30.95,30.66,26.4
Arunachal Pradesh,1905,,,,,,,28.3,22.25,30.0,31.33,26.57
Arunachal Pradesh,1906,,,,,,,28.73,23.03,31.11,30.86,27.29
Arunachal Pradesh,1907,,,,,,,28.65,24.23,29.92,30.8,27.36
Arunachal Pradesh,1908,,,,,,,28.83,24.42,31.43,30.72,26.64
Arunachal Pradesh,1909,,,,,,,28.38,23.52,31.02,30.33,26.88
Arunachal Pradesh,1910,,,,,,,28.53,24.2,31.14,30.48,26.2
Arunachal Pradesh,1911,,,,,,,28.62,23.9,30.7,31.14,26.31
Arunachal Pradesh,1912,,,,,,,28.95,24.88,31.1,31.15,26.57
Arunachal Pradesh,1913,,,,,,,28.67,24.25,30.89,30.92,26.42
Arunachal Pradesh,1914,,,,,,,28.66,24.59,30.73,30.84,26.4
Arunachal Pradesh,1915,,,,,,,28.94,23.22,31.06,31.51,27.19
Arunachal Pradesh,1916,,117.9,811.8,,,,28.82,24.57,31.88,30.52,26.31
Arunachal Pradesh,1917,,185.9,,2772.8,262.8,,28.11,24.52,30.06,30.24,25.74
Arunachal Pradesh,1918,5486.3,21.4,1196.9,4121.3,146.7,,28.66,23.57,30.68,31.1,26.78
Arunachal Pradesh,1919,4693.9,102.3,706.0,2888.0,997.6,,28.66,23.71,31.17,30.8,26.6
Arunachal Pradesh,1920,4106.7,210.3,1143.9,2649.2,103.3,,28.76,23.64,30.4,31.08,27.45
Arunachal Pradesh,1921,5691.4,133.2,1136.3,4155.5,266.4,,28.86,23.91,32.05,30.81,26.43
Arunachal Pradesh,1922,4187.2,110.1,820.4,2723.9,532.8,,28.8,24.43,31.21,30.9,26.38
Arunachal Pradesh,1923,3507.5,170.2,720.3,2555.7,61.3,,28.74,23.73,31.4,30.98,26.43
