SUBDIVISION,YEAR,ANNUAL,JF,MAM,JJAS,OND,Dengue cases,ANNUAL_TEMP,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC
Bihar,1901,952.3,71.4,78.6,786.7,15.6,,28.96,23.27,31.46,31.27,27.25
Bihar,1902,1206.2,5.2,107.9,1063.4,29.6,,29.22,25.75,31.76,31.09,26.49
Bihar,1903,1016.3,10.0,34.9,824.4,147.1,,28.47,24.24,30.71,30.92,26.26
Bihar,1904,1269.5,7.9,127.4,1021.8,112.4,,28.49,23.62,30.95,30.66,26.4
Bihar,1905,1498.5,46.1,131.4,1308.8,12.2,,28.3,22.25,30.0,31.33,26.57
Bihar,1906,1265.1,71.3,54.2,1106.2,33.3,,28.73,23.03,31.11,30.86,27.29
Bihar,1907,1126.4,56.5,99.3,963.8,6.9,,28.65,24.23,29.92,30.8,27.36
Bihar,1908,737.5,53.3,45.0,613.6,25.6,,28.83,24.42,31.43,30.72,26.64
Bihar,1909,1390.5,13.3,98.6,1229.9,48.7,,28.38,23.52,31.02,30.33,26.88
Bihar,1910,1398.5,7.2,63.8,1232.0,95.5,,28.53,24.2,31.14,30.48,26.2
Bihar,1911,1449.2,9.5,83.0,1216.0,140.7,,28.62,23.9,30.7,31.14,26.31
Bihar,1912,1129.4,14.0,112.0,916.9,86.6,,28.95,24.88,31.1,31.15,26.57
Bihar,1913,1529.7,38.0,125.5,1272.0,94.3,,28.67,24.25,30.89,30.92,26.42
Bihar,1914,1059.8,22.8,114.0,912.3,10.7,,28.66,24.59,30.73,30.84,26.4
Bihar,1915,1349.4,65.3,101.4,1070.4,112.4,,28.94,23.22,31.06,31.51,27.19
Bihar,1916,1504.6,17.1,50.7,1306.3,130.6,,28.82,24.57,31.88,30.52,26.31
Bihar,1917,1334.1,22.4,117.0,1077.9,116.7,,28.11,24.52,30.06,30.24,25.74
Bihar,1918,1411.7,0.7,136.8,1265.5,8.7,,28.66,23.57,30.68,31.1,26.78
Bihar,1919,1252.7,47.9,57.6,1087.9,59.4,,28.66,23.71,31.17,30.8,26.6
Bihar,1920,1123.9,19.3,62.4,1036.6,5.6,,28.76,23.64,30.4,31.08,27.45
Bihar,1921,1272.2,27.3,54.0,1153.9,37.0,,28.86,23.91,32.05,30.81,26.43
