SUBDIVISION,YEAR,ANNUAL,JF,MAM,JJAS,OND,Dengue cases,ANNUAL_TEMP,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC
Chhattisgarh,1901,1387.0,165.4,51.7,1142.2,27.7,,28.96,23.27,31.46,31.27,27.25
Chhattisgarh,1902,923.9,7.1,24.6,875.7,16.5,,29.22,25.75,31.76,31.09,26.49
Chhattisgarh,1903,1331.2,20.1,58.3,1084.7,168.1,,28.47,24.24,30.71,30.92,26.26
Chhattisgarh,1904,1492.4,8.6,110.0,1243.5,130.4,,28.49,23.62,30.95,30.66,26.4
Chhattisgarh,1905,1251.1,72.9,75.5,1093.8,8.9,,28.3,22.25,30.0,31.33,26.57
Chhattisgarh,1906,1394.6,115.9,56.7,1155.8,66.1,,28.73,23.03,31.11,30.86,27.29
Chhattisgarh,1907,1308.8,44.3,85.6,1156.2,22.7,,28.65,24.23,29.92,30.8,27.36
Chhattisgarh,1908,1488.7,75.4,14.3,1385.0,14.0,,28.83,24.42,31.43,30.72,26.64
Chhattisgarh,1909,1284.1,17.1,122.0,1093.6,51.4,,28.38,23.52,31.02,30.33,26.88
Chhattisgarh,1910,1407.2,9.5,38.6,1249.2,110.0,,28.53,24.2,31.14,30.48,26.2
Chhattisgarh,1911,1504.1,2.2,31.5,1301.5,169.0,,28.62,23.9,30.7,31.14,26.31
Chhattisgarh,1912,1227.0,77.0,34.9,1090.8,24.3,,28.95,24.88,31.1,31.15,26.57
Chhattisgarh,1913,1234.6,89.7,71.7,1028.2,45.1,,28.67,24.25,30.89,30.92,26.42
Chhattisgarh,1914,1418.1,7.9,111.1,1287.0,12.0,,28.66,24.59,30.73,30.84,26.4
Chhattisgarh,1915,1455.9,67.4,57.6,1182.7,148.2,,28.94,23.22,31.06,31.51,27.19
Chhattisgarh,1916,1443.0,26.5,29.1,1188.7,198.6,,28.82,24.57,31.88,30.52,26.31
Chhattisgarh,1917,1727.7,67.3,81.4,1433.9,145.0,,28.11,24.52,30.06,30.24,25.74
Chhattisgarh,1918,1377.2,18.6,60.9,1282.6,15.2,,28.66,23.57,30.68,31.1,26.78
Chhattisgarh,1919,1859.0,163.5,76.6,1453.1,165.8,,28.66,23.71,31.17,30.8,26.6
Chhattisgarh,1920,1203.4,4.3,70.9,1123.0,5.2,,28.76,23.64,30.4,31.08,27.45
Chhattisgarh,1921,1319.4,41.2,6.2,1259.6,12.3,,28.86,23.91,32.05,30.81,26.43
Chhattisgarh,1922,1308.8,22.3,22.7,1199.7,64.0,,28.8,24.43,31.21,30.9,26.38
Chhattisgarh,1923,1387.2,31.0,30.3,1255.6,70.4,,28.74,23.73,31.4,30.98,26.43
Chhattisgarh,1924,1334.2,43.4,32.9,1053.9,204.1,,28.8,23.94,31.44,30.96,26.49
Chhattisgarh,1925,1737.1,0.7,99.5,1572.6,64.3,,28.67,23.57,31.47,30.67,26.59
Chhattisgarh,1926,1634.9,43.9,208.3,1315.8,66.9,,28.7,24.73,30.21,31.14,26.61
Chhattisgarh,1927,1537.1,69.6,42.2,1322.3,103.1,,28.59,23.76,30.72,30.8,26.73
Chhattisgarh,1928,1219.2,18.1,39.2,1059.7,102.2,,28.98,24.21,31.51,31.14,26.74
Chhattisgarh,1929,1663.8,51.9,21.2,1454.5,136.2,,28.76,23.53,31.72,31.03,26.28
Chhattisgarh,1930,1383.5,4.0,64.7,1178.6,136.2,,28.65,23.2,30.94,30.98,26.9
Chhattisgarh,1931,1467.0,72.7,39.8,1143.9,210.7,,29.15,24.55,31.71,31.16,26.97
Chhattisgarh,1932,1357.6,22.9,32.1,1208.3,94.3,,29.09,24.51,31.17,31.25,27.18
Chhattisgarh,1933,1650.6,107.5,134.1,1354.4,54.7,,28.49,24.13,30.43,30.41,26.92
