SUBDIVISION,YEAR,ANNUAL,JF,MAM,JJAS,OND,Dengue cases,ANNUAL_TEMP,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC
East Madhya Pradesh,1901,1332.7,86.5,32.7,1207.7,5.9,,28.96,23.27,31.46,31.27,27.25
East Madhya Pradesh,1902,984.2,23.8,6.2,903.5,50.7,,29.22,25.75,31.76,31.09,26.49
East Madhya Pradesh,1903,1178.1,8.5,38.7,953.0,177.9,,28.47,24.24,30.71,30.92,26.26
East Madhya Pradesh,1904,1144.2,17.3,56.7,1005.2,65.0,,28.49,23.62,30.95,30.66,26.4
East Madhya Pradesh,1905,886.0,23.9,36.7,821.0,4.4,,28.3,22.25,30.0,31.33,26.57
East Madhya Pradesh,1906,1369.7,40.4,34.4,1277.3,17.6,,28.73,23.03,31.11,30.86,27.29
East Madhya Pradesh,1907,1009.6,110.1,40.1,845.2,14.2,,28.65,24.23,29.92,30.8,27.36
East Madhya Pradesh,1908,1430.6,35.2,14.1,1362.8,18.4,,28.83,24.42,31.43,30.72,26.64
East Madhya Pradesh,1909,1122.0,36.1,83.9,959.6,42.4,,28.38,23.52,31.02,30.33,26.88
East Madhya Pradesh,1910,1222.2,10.1,12.4,1082.4,117.3,,28.53,24.2,31.14,30.48,26.2
East Madhya Pradesh,1911,1197.1,23.5,20.6,1039.6,113.3,,28.62,23.9,30.7,31.14,26.31
East Madhya Pradesh,1912,1150.6,54.3,8.1,1035.4,52.7,,28.95,24.88,31.1,31.15,26.57
East Madhya Pradesh,1913,936.4,59.8,46.9,808.5,21.2,,28.67,24.25,30.89,30.92,26.42
East Madhya Pradesh,1914,1250.1,9.4,97.2,1130.4,13.1,,28.66,24.59,30.73,30.84,26.4
East Madhya Pradesh,1915,1382.3,52.9,71.3,1132.6,125.6,,28.94,23.22,31.06,31.51,27.19
East Madhya Pradesh,1916,1480.2,26.6,8.5,1242.4,202.6,,28.82,24.57,31.88,30.52,26.31
East Madhya Pradesh,1917,1639.3,45.0,95.0,1432.4,66.8,,28.11,24.52,30.06,30.24,25.74
