SUBDIVISION,YEAR,ANNUAL,JF,MAM,JJAS,OND,Dengue cases,ANNUAL_TEMP,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC
East Uttar Pradesh,1901,873.2,93.9,22.9,749.3,7.1,,28.96,23.27,31.46,31.27,27.25
East Uttar Pradesh,1902,905.2,8.3,25.9,856.6,14.5,,29.22,25.75,31.76,31.09,26.49
East Uttar Pradesh,1903,1216.4,8.6,17.3,865.8,324.7,,28.47,24.24,30.71,30.92,26.26
East Uttar Pradesh,1904,1071.2,8.8,37.4,931.1,93.9,,28.49,23.62,30.95,30.66,26.4
East Uttar Pradesh,1905,891.6,40.5,40.9,805.4,4.9,,28.3,22.25,30.0,31.33,26.57
East Uttar Pradesh,1906,997.7,64.0,20.3,908.2,5.2,,28.73,23.03,31.11,30.86,27.29
East Uttar Pradesh,1907,666.3,77.0,50.5,538.6,0.1,,28.65,24.23,29.92,30.8,27.36
East Uttar Pradesh,1908,744.7,34.9,13.7,683.9,12.2,,28.83,24.42,31.43,30.72,26.64
East Uttar Pradesh,1909,1106.9,13.9,73.2,990.2,29.5,,28.38,23.52,31.02,30.33,26.88
East Uttar Pradesh,1910,1116.4,4.6,30.8,949.8,131.2,,28.53,24.2,31.14,30.48,26.2
East Uttar Pradesh,1911,1113.9,40.2,35.3,901.8,136.6,,28.62,23.9,30.7,31.14,26.31
East Uttar Pradesh,1912,879.6,23.4,31.0,793.8,31.4,,28.95,24.88,31.1,31.15,26.57
East Uttar Pradesh,1913,861.4,37.7,101.2,692.6,29.9,,28.67,24.25,30.89,30.92,26.42
East Uttar Pradesh,1914,988.8,17.3,85.4,883.1,2.9,,28.66,24.59,30.73,30.84,26.4
East Uttar Pradesh,1915,1409.8,58.0,51.5,1197.9,102.5,,28.94,23.22,31.06,31.51,27.19
East Uttar Pradesh,1916,1201.9,20.1,14.2,1106.9,60.7,,28.82,24.57,31.88,30.52,26.31
East Uttar Pradesh,1917,1216.5,40.2,56.0,1060.3,60.0,,28.11,24.52,30.06,30.24,25.74
East Uttar Pradesh,1918,650.7,0.7,29.9,618.1,2.1,,28.66,23.57,30.68,31.1,26.78
East Uttar Pradesh,1919,1023.4,55.7,21.5,882.5,63.6,,28.66,23.71,31.17,30.8,26.6
East Uttar Pradesh,1920,860.2,12.6,30.3,814.2,3.1,,28.76,23.64,30.4,31.08,27.45
East Uttar Pradesh,1921,1114.7,41.9,11.5,1049.3,12.1,,28.86,23.91,32.05,30.81,26.43
East Uttar Pradesh,1922,1364.0,33.4,7.3,1304.1,19.2,,28.8,24.43,31.21,30.9,26.38
East Uttar Pradesh,1923,1076.2,39.3,5.7,920.7,110.5,,28.74,23.73,31.4,30.98,26.43
East Uttar Pradesh,1924,1119.9,18.8,3.4,1049.2,48.6,,28.8,23.94,31.44,30.96,26.49
East Uttar Pradesh,1925,1114.1,5.2,37.9,1054.1,16.9,,28.67,23.57,31.47,30.67,26.59
East Uttar Pradesh,1926,989.5,13.8,77.6,869.3,28.8,,28.7,24.73,30.21,31.14,26.61
