SUBDIVISION,YEAR,ANNUAL,JF,MAM,JJAS,OND,Dengue cases,ANNUAL_TEMP,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC
Gangetic West Bengal,1901,1487.6,95.5,189.7,1068.0,134.4,,28.96,23.27,31.46,31.27,27.25
Gangetic West Bengal,1902,1347.7,1.2,309.6,984.0,52.9,,29.22,25.75,31.76,31.09,26.49
Gangetic West Bengal,1903,1354.3,42.1,146.4,959.6,206.2,,28.47,24.24,30.71,30.92,26.26
Gangetic West Bengal,1904,1383.1,24.0,213.3,1106.4,39.3,,28.49,23.62,30.95,30.66,26.4
Gangetic West Bengal,1905,1666.9,80.5,326.3,1147.6,112.6,,28.3,22.25,30.0,31.33,26.57
Gangetic West Bengal,1906,1395.6,170.4,135.7,936.9,152.6,,28.73,23.03,31.11,30.86,27.29
Gangetic West Bengal,1907,1337.0,24.8,226.9,1047.3,38.0,,28.65,24.23,29.92,30.8,27.36
Gangetic West Bengal,1908,1400.0,32.1,117.1,1229.2,21.5,,28.83,24.42,31.43,30.72,26.64
Gangetic West Bengal,1909,1697.8,12.1,242.9,1344.8,98.0,,28.38,23.52,31.02,30.33,26.88
Gangetic West Bengal,1910,1385.9,33.8,159.4,1021.8,170.9,,28.53,24.2,31.14,30.48,26.2
Gangetic West Bengal,1911,1264.9,4.1,188.5,966.7,105.5,,28.62,23.9,30.7,31.14,26.31
Gangetic West Bengal,1912,1347.4,25.3,229.8,914.0,178.2,,28.95,24.88,31.1,31.15,26.57
Gangetic West Bengal,1913,1826.8,114.8,204.9,1356.3,150.9,,28.67,24.25,30.89,30.92,26.42
Gangetic West Bengal,1914,1383.9,31.0,309.2,998.8,44.9,,28.66,24.59,30.73,30.84,26.4
Gangetic West Bengal,1915,1310.3,15.1,228.5,919.0,147.6,,28.94,23.22,31.06,31.51,27.19
Gangetic West Bengal,1916,1600.5,2.7,101.2,1131.6,365.0,,28.82,24.57,31.88,30.52,26.31
Gangetic West Bengal,1917,1775.8,34.0,220.6,1153.2,368.0,,28.11,24.52,30.06,30.24,25.74
Gangetic West Bengal,1918,1395.4,1.4,281.8,1104.8,7.5,,28.66,23.57,30.68,31.1,26.78
Gangetic West Bengal,1919,1482.2,61.3,197.6,1139.8,83.6,,28.66,23.71,31.17,30.8,26.6
Gangetic West Bengal,1920,1363.6,37.1,244.1,973.7,108.7,,28.76,23.64,30.4,31.08,27.45
Gangetic West Bengal,1921,1300.2,46.6,123.9,1077.8,51.9,,28.86,23.91,32.05,30.81,26.43
Gangetic West Bengal,1922,1655.6,10.5,95.4,1467.7,81.9,,28.8,24.43,31.21,30.9,26.38
Gangetic West Bengal,1923,1285.2,92.3,101.8,1000.8,90.3,,28.74,23.73,31.4,30.98,26.43
Gangetic West Bengal,1924,1266.5,13.5,103.7,1004.7,144.6,,28.8,23.94,31.44,30.96,26.49
Gangetic West Bengal,1925,1273.6,25.5,213.5,847.0,187.6,,28.67,23.57,31.47,30.67,26.59
Gangetic West Bengal,1926,1705.4,35.9,222.4,1358.1,89.0,,28.7,24.73,30.21,31.14,26.61
Gangetic West Bengal,1927,1190.5,69.0,128.1,931.2,62.3,,28.59,23.76,30.72,30.8,26.73
Gangetic West Bengal,1928,1625.0,15.9,163.8,1293.5,151.8,,28.98,24.21,31.51,31.14,26.74
Gangetic West Bengal,1929,1557.3,56.0,133.1,1072.3,296.0,,28.76,23.53,31.72,31.03,26.28
Gangetic West Bengal,1930,1380.8,13.8,124.8,1105.0,137.3,,28.65,23.2,30.94,30.98,26.9
Gangetic West Bengal,1931,1475.8,76.8,161.3,1009.4,228.3,,29.15,24.55,31.71,31.16,26.97
Gangetic West Bengal,1932,1306.9,12.9,233.6,885.9,174.4,,29.09,24.51,31.17,31.25,27.18
Gangetic West Bengal,1933,1867.2,69.6,250.9,1398.9,147.7,,28.49,24.13,30.43,30.41,26.92
Gangetic West Bengal,1934,1117.4,25.1,99.0,875.6,117.7,,29.03,24.53,31.28,31.22,26.94
Gangetic West Bengal,1935,1015.1,38.3,99.0,866.5,11.2,,28.76,23.41,31.15,30.85,26.88
Gangetic West Bengal,1936,1505.6,22.4,260.5,1136.6,86.1,,28.71,24.11,31.17,30.68,26.69
Gangetic West Bengal,1937,1522.5,112.8,155.8,1142.5,111.4,,28.7,24.13,30.84,31.22,26.26
Gangetic West Bengal,1938,1337.8,48.8,246.6,949.3,93.1,,28.7,23.31,31.74,30.59,26.71
Gangetic West Bengal,1939,1698.4,25.5,101.3,1329.1,242.6,,28.85,24.25,30.76,31.06,27.05
Gangetic West Bengal,1940,1358.5,30.3,221.1,1038.1,68.9,,28.88,24.46,30.66,30.93,27.24
Gangetic West Bengal,1941,1801.1,29.7,115.9,1361.3,294.3,,29.46,24.37,32.12,31.37,27.62
Gangetic West Bengal,1942,1615.6,18.0,130.8,1310.3,156.5,,28.98,24.03,31.8,30.99,27.23
Gangetic West Bengal,1943,1446.2,65.1,155.9,1135.3,90.0,,28.8,24.03,30.8,30.83,27.33
Gangetic West Bengal,1944,1406.4,84.3,121.1,1121.8,79.1,,28.89,23.62,31.03,31.25,27.16
Gangetic West Bengal,1945,1271.5,31.6,191.0,804.3,244.6,,28.97,23.86,31.19,31.48,26.82
Gangetic West Bengal,1946,1714.2,4.2,260.4,1224.3,225.3,,29.37,25.49,31.5,31.23,27.3
Gangetic West Bengal,1947,1363.0,16.5,165.7,1050.9,129.9,,28.84,23.99,31.78,31.2,26.7
Gangetic West Bengal,1948,1532.1,58.1,236.9,1006.8,230.3,,28.73,23.62,31.27,30.84,26.77
Gangetic West Bengal,1949,1493.7,9.8,337.2,1034.8,111.8,,28.89,24.49,31.27,30.88,26.79
Gangetic West Bengal,1950,1615.6,6.5,141.2,1259.5,208.5,,28.47,24.02,30.72,30.48,26.58
Gangetic West Bengal,1951,1214.0,0.4,142.7,894.5,176.5,,29.09,24.16,30.67,31.13,27.77
Gangetic West Bengal,1952,1395.7,1.4,199.9,1032.2,162.1,,29.16,25.17,31.13,31.11,27.26
Gangetic West Bengal,1953,1505.8,39.9,80.3,1291.0,94.6,,29.43,24.71,32.19,31.12,27.56
Gangetic West Bengal,1954,1080.0,18.2,100.5,875.0,86.3,,28.92,24.2,31.89,30.9,26.46
Gangetic West Bengal,1955,1268.2,5.2,83.8,953.4,225.9,,28.76,24.9,30.88,30.72,26.59
Gangetic West Bengal,1956,1714.2,38.3,217.9,1283.7,174.2,,28.63,24.4,31.53,30.25,26.37
Gangetic West Bengal,1957,1130.5,76.8,31.1,984.4,38.3,,28.64,23.87,30.42,31.07,26.82
Gangetic West Bengal,1958,1151.1,38.4,109.5,885.1,118.2,,29.34,25.43,31.74,31.23,27.01
Gangetic West Bengal,1959,1812.9,46.3,137.0,1297.7,332.0,,29.02,24.05,31.71,30.99,27.03
Gangetic West Bengal,1960,1245.5,2.0,154.2,1017.7,71.6,,29.31,25.49,31.17,31.29,27.36
Gangetic West Bengal,1961,1290.4,86.8,111.6,990.1,101.9,,28.72,24.18,31.47,30.75,26.3
Gangetic West Bengal,1962,1173.6,21.9,140.9,869.7,141.1,,28.89,24.24,31.31,31.08,26.65
Gangetic West Bengal,1963,1289.5,2.7,170.9,974.4,141.5,,29.04,24.73,30.94,31.28,27.0
Gangetic West Bengal,1964,1278.5,13.8,161.1,971.6,132.0,,29.09,24.29,31.89,30.82,27.2
Gangetic West Bengal,1965,1263.7,34.2,124.5,1024.5,80.5,,29.16,24.67,30.73,31.37,27.61
Gangetic West Bengal,1966,1118.7,37.5,66.8,888.5,125.9,,29.41,25.54,31.69,31.24,27.26
Gangetic West Bengal,1967,1348.4,55.8,163.2,1074.4,55.0,,29.14,25.31,31.04,31.32,26.9
Gangetic West Bengal,1968,1597.7,13.3,55.7,1374.3,154.3,,29.07,23.68,31.24,31.55,27.19
Gangetic West Bengal,1969,1404.0,9.9,190.1,1134.9,69.3,,29.61,24.99,32.02,31.55,27.71
Gangetic West Bengal,1970,1648.5,25.9,111.1,1300.7,210.9,,29.47,25.19,32.03,31.16,27.5
Gangetic West Bengal,1971,2099.8,44.8,301.1,1559.0,194.9,,29.15,24.99,31.58,30.91,27.17
Gangetic West Bengal,1972,1333.2,45.8,45.6,1179.9,61.8,,29.31,24.49,31.49,31.67,27.21
Gangetic West Bengal,1973,1735.2,10.2,227.8,1245.7,251.5,,29.44,25.35,32.19,31.28,26.97
Gangetic West Bengal,1974,1470.7,3.6,207.5,1114.6,144.9,,29.26,24.34,31.92,31.39,27.03
Gangetic West Bengal,1975,1466.2,28.6,114.5,1138.9,184.2,,28.89,24.12,31.62,30.66,26.99
Gangetic West Bengal,1976,1240.6,32.8,201.3,922.6,83.8,,29.27,24.61,31.45,31.09,27.76
Gangetic West Bengal,1977,1840.6,35.9,273.6,1361.0,170.1,,29.41,25.15,31.65,31.22,27.59
Gangetic West Bengal,1978,1872.5,22.6,216.5,1467.9,165.5,,29.23,24.36,31.57,31.11,27.64
