SUBDIVISION,YEAR,ANNUAL,JF,MAM,JJAS,OND,Dengue cases,ANNUAL_TEMP,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC
Gujarat Region,1901,554.3,4.2,9.2,524.0,17.0,,28.96,23.27,31.46,31.27,27.25
Gujarat Region,1902,863.9,3.9,1.5,842.8,15.7,,29.22,25.75,31.76,31.09,26.49
Gujarat Region,1903,887.6,0.3,13.6,868.2,5.4,,28.47,24.24,30.71,30.92,26.26
Gujarat Region,1904,492.6,11.3,20.9,453.0,7.4,,28.49,23.62,30.95,30.66,26.4
Gujarat Region,1905,811.5,0.8,1.3,807.6,1.7,,28.3,22.25,30.0,31.33,26.57
Gujarat Region,1906,890.6,12.7,0.2,870.9,6.8,,28.73,23.03,31.11,30.86,27.29
Gujarat Region,1907,997.0,15.0,2.7,979.3,0.0,,28.65,24.23,29.92,30.8,27.36
Gujarat Region,1908,1027.5,5.5,0.3,1020.7,1.0,,28.83,24.42,31.43,30.72,26.64
Gujarat Region,1909,977.8,0.6,8.2,962.0,7.0,,28.38,23.52,31.02,30.33,26.88
Gujarat Region,1910,974.6,0.6,0.1,936.0,37.9,,28.53,24.2,31.14,30.48,26.2
Gujarat Region,1911,403.5,3.5,19.8,375.8,4.4,,28.62,23.9,30.7,31.14,26.31
Gujarat Region,1912,1118.5,0.1,0.8,1060.0,57.7,,28.95,24.88,31.1,31.15,26.57
Gujarat Region,1913,1162.6,0.0,13.7,1147.5,1.4,,28.67,24.25,30.89,30.92,26.42
Gujarat Region,1914,1107.5,3.7,5.6,1083.7,14.4,,28.66,24.59,30.73,30.84,26.4
Gujarat Region,1915,567.3,9.4,16.0,426.6,115.3,,28.94,23.22,31.06,31.51,27.19
Gujarat Region,1916,952.9,0.0,9.0,907.5,36.4,,28.82,24.57,31.88,30.52,26.31
Gujarat Region,1917,1524.9,7.8,103.6,1179.8,233.7,,28.11,24.52,30.06,30.24,25.74
Gujarat Region,1918,392.6,0.4,12.3,379.3,0.7,,28.66,23.57,30.68,31.1,26.78
Gujarat Region,1919,1067.4,6.2,3.5,1005.2,52.6,,28.66,23.71,31.17,30.8,26.6
Gujarat Region,1920,708.9,45.9,63.4,599.5,0.0,,28.76,23.64,30.4,31.08,27.45
