SUBDIVISION,YEAR,ANNUAL,JF,MAM,JJAS,OND,Dengue cases,ANNUAL_TEMP,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC
Haryana Delhi & Chandigarh,1901,390.1,64.3,16.2,301.6,8.1,,28.96,23.27,31.46,31.27,27.25
Haryana Delhi & Chandigarh,1902,419.8,0.7,28.9,380.9,9.3,,29.22,25.75,31.76,31.09,26.49
Haryana Delhi & Chandigarh,1903,428.9,15.2,11.3,396.1,6.2,,28.47,24.24,30.71,30.92,26.26
Haryana Delhi & Chandigarh,1904,527.8,8.3,77.8,409.3,32.3,,28.49,23.62,30.95,30.66,26.4
Haryana Delhi & Chandigarh,1905,322.9,65.7,22.7,229.4,5.1,,28.3,22.25,30.0,31.33,26.57
Haryana Delhi & Chandigarh,1906,593.6,67.7,32.9,488.0,5.0,,28.73,23.03,31.11,30.86,27.29
Haryana Delhi & Chandigarh,1907,443.9,57.1,67.2,319.5,0.1,,28.65,24.23,29.92,30.8,27.36
Haryana Delhi & Chandigarh,1908,689.0,37.5,30.1,619.5,2.0,,28.83,24.42,31.43,30.72,26.64
Haryana Delhi & Chandigarh,1909,769.3,19.0,80.9,633.7,35.8,,28.38,23.52,31.02,30.33,26.88
Haryana Delhi & Chandigarh,1910,605.2,24.8,5.3,487.0,88.1,,28.53,24.2,31.14,30.48,26.2
Haryana Delhi & Chandigarh,1911,509.7,67.8,54.1,337.4,50.4,,28.62,23.9,30.7,31.14,26.31
Haryana Delhi & Chandigarh,1912,529.3,55.9,21.0,441.4,11.0,,28.95,24.88,31.1,31.15,26.57
Haryana Delhi & Chandigarh,1913,508.4,43.9,94.0,359.6,10.9,,28.67,24.25,30.89,30.92,26.42
Haryana Delhi & Chandigarh,1914,664.7,9.3,48.4,586.0,21.0,,28.66,24.59,30.73,30.84,26.4
Haryana Delhi & Chandigarh,1915,422.4,79.9,55.9,278.4,8.2,,28.94,23.22,31.06,31.51,27.19
Haryana Delhi & Chandigarh,1916,629.1,16.2,14.9,536.4,61.6,,28.82,24.57,31.88,30.52,26.31
Haryana Delhi & Chandigarh,1917,986.7,13.5,63.5,801.2,108.5,,28.11,24.52,30.06,30.24,25.74
Haryana Delhi & Chandigarh,1918,234.7,10.1,22.2,201.4,1.1,,28.66,23.57,30.68,31.1,26.78
Haryana Delhi & Chandigarh,1919,553.7,63.8,25.4,438.3,26.2,,28.66,23.71,31.17,30.8,26.6
Haryana Delhi & Chandigarh,1920,368.8,24.1,35.1,308.1,1.5,,28.76,23.64,30.4,31.08,27.45
Haryana Delhi & Chandigarh,1921,446.5,22.5,2.0,389.5,32.5,,28.86,23.91,32.05,30.81,26.43
Haryana Delhi & Chandigarh,1922,552.9,18.8,2.7,502.6,28.7,,28.8,24.43,31.21,30.9,26.38
Haryana Delhi & Chandigarh,1923,581.5,69.7,20.6,447.4,43.8,,28.74,23.73,31.4,30.98,26.43
Haryana Delhi & Chandigarh,1924,654.8,67.4,8.8,515.6,63.0,,28.8,23.94,31.44,30.96,26.49
Haryana Delhi & Chandigarh,1925,557.2,5.0,14.4,519.6,18.2,,28.67,23.57,31.47,30.67,26.59
Haryana Delhi & Chandigarh,1926,615.9,18.7,82.8,511.3,3.0,,28.7,24.73,30.21,31.14,26.61
Haryana Delhi & Chandigarh,1927,502.5,34.3,36.1,379.7,52.4,,28.59,23.76,30.72,30.8,26.73
Haryana Delhi & Chandigarh,1928,388.2,49.8,13.0,280.7,44.6,,28.98,24.21,31.51,31.14,26.74
Haryana Delhi & Chandigarh,1929,306.6,15.4,13.2,248.1,30.0,,28.76,23.53,31.72,31.03,26.28
Haryana Delhi & Chandigarh,1930,500.5,39.8,9.2,445.9,5.7,,28.65,23.2,30.94,30.98,26.9
Haryana Delhi & Chandigarh,1931,519.2,17.5,22.4,441.9,37.5,,29.15,24.55,31.71,31.16,26.97
Haryana Delhi & Chandigarh,1932,440.1,5.1,37.1,382.1,15.8,,29.09,24.51,31.17,31.25,27.18
Haryana Delhi & Chandigarh,1933,856.9,20.6,60.7,756.8,18.7,,28.49,24.13,30.43,30.41,26.92
Haryana Delhi & Chandigarh,1934,501.4,22.6,50.4,422.8,5.6,,29.03,24.53,31.28,31.22,26.94
Haryana Delhi & Chandigarh,1935,568.3,60.2,37.0,443.5,27.7,,28.76,23.41,31.15,30.85,26.88
Haryana Delhi & Chandigarh,1936,511.1,19.8,10.8,452.7,27.7,,28.71,24.11,31.17,30.68,26.69
Haryana Delhi & Chandigarh,1937,481.7,76.7,30.8,364.4,9.8,,28.7,24.13,30.84,31.22,26.26
Haryana Delhi & Chandigarh,1938,278.8,45.9,8.9,216.3,7.7,,28.7,23.31,31.74,30.59,26.71
Haryana Delhi & Chandigarh,1939,310.2,40.5,20.9,247.6,1.2,,28.85,24.25,30.76,31.06,27.05
Haryana Delhi & Chandigarh,1940,395.7,63.8,20.3,311.1,0.5,,28.88,24.46,30.66,30.93,27.24
Haryana Delhi & Chandigarh,1941,363.9,64.3,18.4,273.8,7.4,,29.46,24.37,32.12,31.37,27.62
Haryana Delhi & Chandigarh,1942,804.5,73.6,21.2,697.6,12.2,,28.98,24.03,31.8,30.99,27.23
Haryana Delhi & Chandigarh,1943,407.9,21.7,25.6,360.4,0.1,,28.8,24.03,30.8,30.83,27.33
Haryana Delhi & Chandigarh,1944,484.2,54.4,63.1,340.7,26.0,,28.89,23.62,31.03,31.25,27.16
Haryana Delhi & Chandigarh,1945,654.6,41.5,16.8,591.2,5.1,,28.97,23.86,31.19,31.48,26.82
Haryana Delhi & Chandigarh,1946,437.8,9.8,32.1,367.6,28.3,,29.37,25.49,31.5,31.23,27.3
Haryana Delhi & Chandigarh,1947,464.5,33.0,10.8,410.0,10.7,,28.84,23.99,31.78,31.2,26.7
Haryana Delhi & Chandigarh,1948,592.1,65.9,24.7,496.1,5.4,,28.73,23.62,31.27,30.84,26.77
Haryana Delhi & Chandigarh,1949,485.3,31.3,7.8,442.9,3.2,,28.89,24.49,31.27,30.88,26.79
Haryana Delhi & Chandigarh,1950,551.1,28.7,24.7,496.4,1.4,,28.47,24.02,30.72,30.48,26.58
Haryana Delhi & Chandigarh,1951,338.2,8.7,54.2,247.7,27.7,,29.09,24.16,30.67,31.13,27.77
Haryana Delhi & Chandigarh,1952,556.3,26.0,25.3,501.9,3.2,,29.16,25.17,31.13,31.11,27.26
Haryana Delhi & Chandigarh,1953,561.9,41.1,10.0,503.3,7.5,,29.43,24.71,32.19,31.12,27.56
Haryana Delhi & Chandigarh,1954,537.0,117.1,14.5,361.2,44.2,,28.92,24.2,31.89,30.9,26.46
Haryana Delhi & Chandigarh,1955,694.1,34.7,27.7,498.8,132.8,,28.76,24.9,30.88,30.72,26.59
Haryana Delhi & Chandigarh,1956,653.8,19.7,28.9,468.9,136.3,,28.63,24.4,31.53,30.25,26.37
Haryana Delhi & Chandigarh,1957,617.2,53.4,38.7,466.2,58.9,,28.64,23.87,30.42,31.07,26.82
Haryana Delhi & Chandigarh,1958,673.0,4.8,11.7,623.1,33.4,,29.34,25.43,31.74,31.23,27.01
Haryana Delhi & Chandigarh,1959,484.9,36.4,17.4,395.7,35.4,,29.02,24.05,31.71,30.99,27.03
Haryana Delhi & Chandigarh,1960,722.9,11.3,30.0,637.5,44.1,,29.31,25.49,31.17,31.29,27.36
Haryana Delhi & Chandigarh,1961,627.9,70.2,16.0,500.1,41.6,,28.72,24.18,31.47,30.75,26.3
Haryana Delhi & Chandigarh,1962,511.0,31.5,10.5,459.6,9.4,,28.89,24.24,31.31,31.08,26.65
Haryana Delhi & Chandigarh,1963,521.8,7.2,10.4,488.9,15.4,,29.04,24.73,30.94,31.28,27.0
Haryana Delhi & Chandigarh,1964,710.9,6.2,15.9,682.1,6.7,,29.09,24.29,31.89,30.82,27.2
Haryana Delhi & Chandigarh,1965,381.9,17.7,36.3,316.7,11.3,,29.16,24.67,30.73,31.37,27.61
Haryana Delhi & Chandigarh,1966,707.7,37.3,53.7,609.0,7.8,,29.41,25.54,31.69,31.24,27.26
Haryana Delhi & Chandigarh,1967,839.9,2.4,57.3,689.7,90.5,,29.14,25.31,31.04,31.32,26.9
Haryana Delhi & Chandigarh,1968,388.3,30.0,19.6,329.6,9.1,,29.07,23.68,31.24,31.55,27.19
Haryana Delhi & Chandigarh,1969,477.2,8.3,34.3,433.7,1.0,,29.61,24.99,32.02,31.55,27.71
Haryana Delhi & Chandigarh,1970,538.2,70.8,20.9,445.7,0.8,,29.47,25.19,32.03,31.16,27.5
Haryana Delhi & Chandigarh,1971,636.8,35.9,67.4,520.5,13.1,,29.15,24.99,31.58,30.91,27.17
Haryana Delhi & Chandigarh,1972,440.8,18.9,17.4,360.6,44.0,,29.31,24.49,31.49,31.67,27.21
Haryana Delhi & Chandigarh,1973,527.2,21.0,36.7,440.8,28.6,,29.44,25.35,32.19,31.28,26.97
Haryana Delhi & Chandigarh,1974,384.9,1.8,7.0,346.1,29.9,,29.26,24.34,31.92,31.39,27.03
Haryana Delhi & Chandigarh,1975,622.1,23.2,15.3,563.0,20.6,,28.89,24.12,31.62,30.66,26.99
Haryana Delhi & Chandigarh,1976,726.7,31.8,41.9,651.8,1.1,,29.27,24.61,31.45,31.09,27.76
Haryana Delhi & Chandigarh,1977,740.1,51.6,47.2,623.1,18.3,,29.41,25.15,31.65,31.22,27.59
Haryana Delhi & Chandigarh,1978,651.1,25.0,57.4,563.4,5.3,,29.23,24.36,31.57,31.11,27.64
Haryana Delhi & Chandigarh,1979,341.5,68.7,44.1,215.9,12.7,,29.63,24.99,31.7,31.87,27.67
Haryana Delhi & Chandigarh,1980,513.2,8.0,31.2,434.3,39.7,,29.58,25.21,32.2,31.36,27.51
Haryana Delhi & Chandigarh,1981,493.4,39.0,53.2,358.4,42.9,,29.32,24.9,31.64,31.34,27.24
Haryana Delhi & Chandigarh,1982,506.6,41.4,161.1,284.9,19.2,,29.12,24.51,30.79,31.55,27.26
Haryana Delhi & Chandigarh,1983,744.5,43.2,124.3,568.2,8.7,,29.11,24.62,30.84,31.48,27.23
Haryana Delhi & Chandigarh,1984,479.2,16.4,3.8,457.8,1.1,,29.28,24.11,32.12,31.09,27.46
Haryana Delhi & Chandigarh,1985,572.4,3.8,12.3,489.4,66.9,,29.61,25.29,32.51,31.28,27.35
Haryana Delhi & Chandigarh,1986,450.9,38.2,52.1,339.3,21.4,,29.33,24.64,31.58,31.44,27.4
Haryana Delhi & Chandigarh,1987,318.6,49.1,81.3,178.7,9.5,,29.72,25.07,31.37,32.24,27.82
Haryana Delhi & Chandigarh,1988,845.0,14.7,41.5,776.7,12.1,,29.55,25.39,31.75,31.34,27.76
