SUBDIVISION,YEAR,ANNUAL,JF,MAM,JJAS,OND,Dengue cases,ANNUAL_TEMP,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC
Jammu & Kashmir,1901,979.9,135.6,307.6,508.2,28.5,,28.96,23.27,31.46,31.27,27.25
Jammu & Kashmir,1902,760.5,16.2,262.5,420.9,60.9,,29.22,25.75,31.76,31.09,26.49
Jammu & Kashmir,1903,1286.6,117.7,354.6,746.9,67.5,,28.47,24.24,30.71,30.92,26.26
Jammu & Kashmir,1904,982.2,128.0,277.5,402.7,174.0,,28.49,23.62,30.95,30.66,26.4
Jammu & Kashmir,1905,1157.7,223.0,298.4,539.7,96.7,,28.3,22.25,30.0,31.33,26.57
Jammu & Kashmir,1906,1193.1,241.4,255.9,653.6,42.1,,28.73,23.03,31.11,30.86,27.29
Jammu & Kashmir,1907,1069.6,295.4,340.2,416.3,17.8,,28.65,24.23,29.92,30.8,27.36
Jammu & Kashmir,1908,1227.3,137.7,269.1,724.3,96.2,,28.83,24.42,31.43,30.72,26.64
Jammu & Kashmir,1909,1339.9,241.2,147.2,822.9,128.7,,28.38,23.52,31.02,30.33,26.88
Jammu & Kashmir,1910,1109.4,208.7,198.3,635.4,67.1,,28.53,24.2,31.14,30.48,26.2
Jammu & Kashmir,1911,1280.2,397.1,357.2,389.0,136.9,,28.62,23.9,30.7,31.14,26.31
Jammu & Kashmir,1912,936.7,209.5,271.4,382.5,73.3,,28.95,24.88,31.1,31.15,26.57
Jammu & Kashmir,1913,1000.2,210.3,230.4,449.6,109.8,,28.67,24.25,30.89,30.92,26.42
Jammu & Kashmir,1914,1692.1,276.7,400.9,718.6,295.9,,28.66,24.59,30.73,30.84,26.4
Jammu & Kashmir,1915,963.9,265.8,260.2,388.4,49.5,,28.94,23.22,31.06,31.51,27.19
Jammu & Kashmir,1916,1034.3,196.8,195.3,600.6,41.6,,28.82,24.57,31.88,30.52,26.31
Jammu & Kashmir,1917,1386.1,97.8,305.6,776.7,206.0,,28.11,24.52,30.06,30.24,25.74
Jammu & Kashmir,1918,916.5,53.5,447.6,292.0,123.4,,28.66,23.57,30.68,31.1,26.78
Jammu & Kashmir,1919,1189.2,285.9,244.4,530.4,128.5,,28.66,23.71,31.17,30.8,26.6
Jammu & Kashmir,1920,889.9,209.2,360.4,267.5,52.8,,28.76,23.64,30.4,31.08,27.45
Jammu & Kashmir,1921,1057.6,211.9,127.1,469.5,249.2,,28.86,23.91,32.05,30.81,26.43
Jammu & Kashmir,1922,890.8,148.5,176.3,476.1,89.8,,28.8,24.43,31.21,30.9,26.38
Jammu & Kashmir,1923,1264.3,349.2,303.5,478.3,133.3,,28.74,23.73,31.4,30.98,26.43
Jammu & Kashmir,1924,1182.2,307.9,311.5,449.5,113.4,,28.8,23.94,31.44,30.96,26.49
Jammu & Kashmir,1925,1013.3,177.3,222.7,528.2,85.2,,28.67,23.57,31.47,30.67,26.59
Jammu & Kashmir,1926,1123.6,114.4,398.3,574.0,36.9,,28.7,24.73,30.21,31.14,26.61
Jammu & Kashmir,1927,973.1,202.0,216.6,502.2,52.3,,28.59,23.76,30.72,30.8,26.73
Jammu & Kashmir,1928,1291.0,335.1,253.4,460.6,241.9,,28.98,24.21,31.51,31.14,26.74
Jammu & Kashmir,1929,1102.7,187.6,135.9,530.2,249.0,,28.76,23.53,31.72,31.03,26.28
Jammu & Kashmir,1930,1168.0,317.9,376.9,421.1,52.2,,28.65,23.2,30.94,30.98,26.9
Jammu & Kashmir,1931,955.0,267.1,191.7,439.1,57.2,,29.15,24.55,31.71,31.16,26.97
Jammu & Kashmir,1932,1039.4,202.1,242.6,499.2,95.5,,29.09,24.51,31.17,31.25,27.18
Jammu & Kashmir,1933,1187.7,241.4,325.4,558.5,62.4,,28.49,24.13,30.43,30.41,26.92
Jammu & Kashmir,1934,803.1,137.3,204.1,382.7,79.0,,29.03,24.53,31.28,31.22,26.94
Jammu & Kashmir,1935,1085.5,289.0,295.6,412.8,88.1,,28.76,23.41,31.15,30.85,26.88
Jammu & Kashmir,1936,1140.8,228.8,326.3,454.4,131.3,,28.71,24.11,31.17,30.68,26.69
Jammu & Kashmir,1937,939.6,227.8,191.2,296.2,224.4,,28.7,24.13,30.84,31.22,26.26
Jammu & Kashmir,1938,1061.7,377.3,223.7,389.6,71.0,,28.7,23.31,31.74,30.59,26.71
Jammu & Kashmir,1939,1003.5,310.2,268.1,366.7,58.6,,28.85,24.25,30.76,31.06,27.05
Jammu & Kashmir,1940,878.3,157.8,249.8,434.3,36.4,,28.88,24.46,30.66,30.93,27.24
Jammu & Kashmir,1941,871.6,134.2,191.0,428.1,118.3,,29.46,24.37,32.12,31.37,27.62
Jammu & Kashmir,1942,1239.8,324.6,213.3,590.2,111.7,,28.98,24.03,31.8,30.99,27.23
Jammu & Kashmir,1943,1167.7,283.1,364.6,485.5,34.5,,28.8,24.03,30.8,30.83,27.33
Jammu & Kashmir,1944,1051.0,257.4,197.7,465.5,130.4,,28.89,23.62,31.03,31.25,27.16
Jammu & Kashmir,1945,856.2,154.7,277.8,377.8,45.8,,28.97,23.86,31.19,31.48,26.82
Jammu & Kashmir,1946,922.3,126.2,145.6,431.7,218.8,,29.37,25.49,31.5,31.23,27.3
Jammu & Kashmir,1947,914.0,146.6,135.3,529.2,102.9,,28.84,23.99,31.78,31.2,26.7
Jammu & Kashmir,1948,1183.1,181.6,325.9,587.8,87.9,,28.73,23.62,31.27,30.84,26.77
Jammu & Kashmir,1949,946.9,295.3,241.6,337.5,72.4,,28.89,24.49,31.27,30.88,26.79
Jammu & Kashmir,1950,1523.1,463.9,290.2,749.8,19.2,,28.47,24.02,30.72,30.48,26.58
Jammu & Kashmir,1951,963.0,206.6,305.3,369.8,81.3,,29.09,24.16,30.67,31.13,27.77
Jammu & Kashmir,1952,1069.6,182.3,305.0,489.6,92.6,,29.16,25.17,31.13,31.11,27.26
Jammu & Kashmir,1953,1229.6,182.0,225.4,699.1,123.1,,29.43,24.71,32.19,31.12,27.56
Jammu & Kashmir,1954,1307.1,559.0,150.5,531.4,66.2,,28.92,24.2,31.89,30.9,26.46
Jammu & Kashmir,1955,1156.4,62.8,302.2,599.3,192.0,,28.76,24.9,30.88,30.72,26.59
Jammu & Kashmir,1956,1520.8,200.3,314.5,811.6,194.4,,28.63,24.4,31.53,30.25,26.37
Jammu & Kashmir,1957,1520.3,328.7,478.0,450.4,263.1,,28.64,23.87,30.42,31.07,26.82
