SUBDIVISION,YEAR,ANNUAL,JF,MAM,JJAS,OND,Dengue cases,ANNUAL_TEMP,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC
Jharkhand,1901,1274.5,159.3,63.0,1003.4,48.8,,28.96,23.27,31.46,31.27,27.25
Jharkhand,1902,1197.6,11.9,101.5,1057.5,26.7,,29.22,25.75,31.76,31.09,26.49
Jharkhand,1903,1174.3,44.6,99.9,819.3,210.6,,28.47,24.24,30.71,30.92,26.26
Jharkhand,1904,1480.7,19.6,163.3,1264.6,33.3,,28.49,23.62,30.95,30.66,26.4
Jharkhand,1905,1354.7,91.7,160.7,1078.3,24.0,,28.3,22.25,30.0,31.33,26.57
Jharkhand,1906,1314.3,174.3,71.5,963.5,105.0,,28.73,23.03,31.11,30.86,27.29
Jharkhand,1907,1455.7,61.4,129.7,1238.1,26.5,,28.65,24.23,29.92,30.8,27.36
Jharkhand,1908,1214.2,58.7,54.0,1075.9,25.6,,28.83,24.42,31.43,30.72,26.64
Jharkhand,1909,1447.9,42.3,106.9,1262.0,36.7,,28.38,23.52,31.02,30.33,26.88
Jharkhand,1910,1297.6,29.7,70.5,1103.3,94.0,,28.53,24.2,31.14,30.48,26.2
Jharkhand,1911,1475.4,0.9,64.7,1269.6,140.2,,28.62,23.9,30.7,31.14,26.31
Jharkhand,1912,1142.9,26.9,87.4,943.2,85.5,,28.95,24.88,31.1,31.15,26.57
Jharkhand,1913,1585.6,113.5,118.9,1244.8,108.4,,28.67,24.25,30.89,30.92,26.42
Jharkhand,1914,1215.5,24.8,193.1,974.7,23.0,,28.66,24.59,30.73,30.84,26.4
Jharkhand,1915,1102.3,44.4,102.7,855.1,100.0,,28.94,23.22,31.06,31.51,27.19
Jharkhand,1916,1364.3,14.3,39.9,1043.1,267.0,,28.82,24.57,31.88,30.52,26.31
Jharkhand,1917,1724.4,41.8,133.2,1270.5,278.8,,28.11,24.52,30.06,30.24,25.74
Jharkhand,1918,1162.6,6.5,97.6,1056.3,2.2,,28.66,23.57,30.68,31.1,26.78
Jharkhand,1919,1633.5,119.1,110.4,1313.0,91.0,,28.66,23.71,31.17,30.8,26.6
Jharkhand,1920,1415.0,19.5,113.3,1275.9,6.3,,28.76,23.64,30.4,31.08,27.45
Jharkhand,1921,1233.8,48.1,35.2,1127.7,22.8,,28.86,23.91,32.05,30.81,26.43
Jharkhand,1922,1443.2,14.4,34.0,1325.9,68.9,,28.8,24.43,31.21,30.9,26.38
Jharkhand,1923,1431.9,69.0,37.1,1260.9,64.8,,28.74,23.73,31.4,30.98,26.43
Jharkhand,1924,1431.8,39.5,40.4,1173.7,178.2,,28.8,23.94,31.44,30.96,26.49
Jharkhand,1925,1327.6,10.8,133.8,1111.3,71.7,,28.67,23.57,31.47,30.67,26.59
Jharkhand,1926,1478.4,36.9,150.0,1223.0,68.5,,28.7,24.73,30.21,31.14,26.61
Jharkhand,1927,1283.1,126.8,76.3,1012.8,67.2,,28.59,23.76,30.72,30.8,26.73
