SUBDIVISION,YEAR,ANNUAL,JF,MAM,JJAS,OND,Dengue cases,ANNUAL_TEMP,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC
Lakshadweep,1901,1459.2,109.0,415.9,505.7,428.6,,28.96,23.27,31.46,31.27,27.25
Lakshadweep,1902,2158.8,108.9,252.1,1171.8,626.0,,29.22,25.75,31.76,31.09,26.49
Lakshadweep,1903,,158.5,173.6,968.3,,,28.47,24.24,30.71,30.92,26.26
Lakshadweep,1904,1176.9,0.0,170.0,776.1,230.8,,28.49,23.62,30.95,30.66,26.4
Lakshadweep,1905,1574.9,62.4,166.7,954.4,391.4,,28.3,22.25,30.0,31.33,26.57
Lakshadweep,1906,1811.6,17.8,271.2,1100.0,422.6,,28.73,23.03,31.11,30.86,27.29
Lakshadweep,1907,1458.8,109.9,200.5,632.0,516.4,,28.65,24.23,29.92,30.8,27.36
Lakshadweep,1908,1959.1,27.2,318.5,1167.5,445.9,,28.83,24.42,31.43,30.72,26.64
Lakshadweep,1909,1463.5,70.4,175.0,800.3,417.8,,28.38,23.52,31.02,30.33,26.88
Lakshadweep,1910,1849.2,2.3,268.2,1089.8,488.9,,28.53,24.2,31.14,30.48,26.2
Lakshadweep,1911,1687.7,22.4,104.2,799.0,762.1,,28.62,23.9,30.7,31.14,26.31
Lakshadweep,1912,1654.9,66.0,291.8,810.6,486.5,,28.95,24.88,31.1,31.15,26.57
Lakshadweep,1913,1518.5,78.8,347.7,741.4,350.6,,28.67,24.25,30.89,30.92,26.42
Lakshadweep,1914,2034.0,10.4,184.2,971.5,867.9,,28.66,24.59,30.73,30.84,26.4
Lakshadweep,1915,1545.5,0.0,216.7,943.1,385.7,,28.94,23.22,31.06,31.51,27.19
Lakshadweep,1916,1398.5,13.5,191.2,1080.7,113.1,,28.82,24.57,31.88,30.52,26.31
Lakshadweep,1917,,,,,,,28.11,24.52,30.06,30.24,25.74
Lakshadweep,1918,,,,,,,28.66,23.57,30.68,31.1,26.78
Lakshadweep,1919,1926.5,75.7,314.8,1092.0,444.0,,28.66,23.71,31.17,30.8,26.6
Lakshadweep,1920,,,288.1,1028.7,651.5,,28.76,23.64,30.4,31.08,27.45
Lakshadweep,1921,,37.6,255.5,,373.6,,28.86,23.91,32.05,30.81,26.43
Lakshadweep,1922,1928.5,74.5,326.9,1106.5,420.6,,28.8,24.43,31.21,30.9,26.38
Lakshadweep,1923,1572.2,45.3,38.5,1075.6,412.8,,28.74,23.73,31.4,30.98,26.43
Lakshadweep,1924,1972.0,24.8,287.2,1539.7,120.3,,28.8,23.94,31.44,30.96,26.49
Lakshadweep,1925,1676.9,9.8,292.3,878.6,496.2,,28.67,23.57,31.47,30.67,26.59
Lakshadweep,1926,1836.2,278.8,429.6,911.3,216.5,,28.7,24.73,30.21,31.14,26.61
Lakshadweep,1927,,122.9,310.1,,,,28.59,23.76,30.72,30.8,26.73
Lakshadweep,1928,,109.1,,704.4,379.7,,28.98,24.21,31.51,31.14,26.74
Lakshadweep,1929,,72.7,388.5,932.5,,,28.76,23.53,31.72,31.03,26.28
Lakshadweep,1930,1258.4,38.6,124.8,772.4,322.6,,28.65,23.2,30.94,30.98,26.9
Lakshadweep,1931,,,223.1,1067.4,316.4,,29.15,24.55,31.71,31.16,26.97
Lakshadweep,1932,1893.7,0.2,377.8,1024.6,491.1,,29.09,24.51,31.17,31.25,27.18
Lakshadweep,1933,2314.1,40.6,721.8,1291.1,260.6,,28.49,24.13,30.43,30.41,26.92
Lakshadweep,1934,1087.9,128.0,73.3,649.9,236.7,,29.03,24.53,31.28,31.22,26.94
Lakshadweep,1935,1529.2,16.9,56.9,1074.8,380.6,,28.76,23.41,31.15,30.85,26.88
Lakshadweep,1936,1744.1,1.5,414.7,1021.5,306.4,,28.71,24.11,31.17,30.68,26.69
Lakshadweep,1937,1443.6,10.8,97.0,944.1,391.7,,28.7,24.13,30.84,31.22,26.26
Lakshadweep,1938,1547.6,13.1,195.8,894.3,444.4,,28.7,23.31,31.74,30.59,26.71
Lakshadweep,1939,1207.3,9.5,22.8,927.8,247.2,,28.85,24.25,30.76,31.06,27.05
Lakshadweep,1940,1406.7,15.2,80.6,838.1,472.8,,28.88,24.46,30.66,30.93,27.24
Lakshadweep,1941,1163.4,60.9,231.3,676.2,195.0,,29.46,24.37,32.12,31.37,27.62
Lakshadweep,1942,1786.2,43.8,238.3,1183.7,320.4,,28.98,24.03,31.8,30.99,27.23
Lakshadweep,1943,,170.0,,1126.2,507.6,,28.8,24.03,30.8,30.83,27.33
Lakshadweep,1944,1668.1,93.3,196.9,880.4,497.5,,28.89,23.62,31.03,31.25,27.16
Lakshadweep,1945,1321.3,18.1,55.1,894.6,353.5,,28.97,23.86,31.19,31.48,26.82
Lakshadweep,1946,,17.2,,,,,29.37,25.49,31.5,31.23,27.3
Lakshadweep,1947,1755.9,29.2,252.4,1341.8,132.5,,28.84,23.99,31.78,31.2,26.7
Lakshadweep,1948,1325.3,75.7,138.4,601.8,509.4,,28.73,23.62,31.27,30.84,26.77
Lakshadweep,1949,,3.2,374.9,1288.2,,,28.89,24.49,31.27,30.88,26.79
Lakshadweep,1950,1494.1,47.2,253.6,1009.9,183.4,,28.47,24.02,30.72,30.48,26.58
Lakshadweep,1951,1715.3,53.2,273.6,1169.0,219.5,,29.09,24.16,30.67,31.13,27.77
Lakshadweep,1952,1124.5,32.5,164.8,619.3,307.9,,29.16,25.17,31.13,31.11,27.26
Lakshadweep,1953,1606.2,51.2,59.6,937.7,557.7,,29.43,24.71,32.19,31.12,27.56
Lakshadweep,1954,1555.5,74.1,176.7,991.1,313.6,,28.92,24.2,31.89,30.9,26.46
Lakshadweep,1955,1548.3,50.5,340.6,926.6,230.6,,28.76,24.9,30.88,30.72,26.59
Lakshadweep,1956,1287.4,41.3,311.6,705.5,229.0,,28.63,24.4,31.53,30.25,26.37
Lakshadweep,1957,1347.2,12.3,253.9,636.1,444.9,,28.64,23.87,30.42,31.07,26.82
Lakshadweep,1958,992.6,1.8,124.0,646.1,220.7,,29.34,25.43,31.74,31.23,27.01
Lakshadweep,1959,1583.6,15.0,380.1,877.9,310.6,,29.02,24.05,31.71,30.99,27.03
Lakshadweep,1960,1901.8,69.6,585.8,823.8,422.6,,29.31,25.49,31.17,31.29,27.36
Lakshadweep,1961,2235.3,107.7,452.4,1334.5,340.7,,28.72,24.18,31.47,30.75,26.3
Lakshadweep,1962,1586.6,11.1,412.7,842.3,320.5,,28.89,24.24,31.31,31.08,26.65
Lakshadweep,1963,1902.1,239.6,283.7,971.7,407.1,,29.04,24.73,30.94,31.28,27.0
Lakshadweep,1964,1651.7,6.0,109.8,1300.2,235.7,,29.09,24.29,31.89,30.82,27.2
Lakshadweep,1965,1405.9,7.5,205.8,724.9,467.7,,29.16,24.67,30.73,31.37,27.61
Lakshadweep,1966,1741.5,21.5,45.5,1182.9,491.6,,29.41,25.54,31.69,31.24,27.26
Lakshadweep,1967,1287.3,10.5,148.3,978.6,149.9,,29.14,25.31,31.04,31.32,26.9
Lakshadweep,1968,1344.4,10.5,92.6,1120.5,120.8,,29.07,23.68,31.24,31.55,27.19
Lakshadweep,1969,1416.1,34.1,301.2,595.8,485.0,,29.61,24.99,32.02,31.55,27.71
Lakshadweep,1970,1783.0,25.0,211.0,1320.0,227.0,,29.47,25.19,32.03,31.16,27.5
Lakshadweep,1971,1901.4,16.1,302.0,1273.4,309.9,,29.15,24.99,31.58,30.91,27.17
Lakshadweep,1972,1287.6,1.1,92.7,871.0,322.8,,29.31,24.49,31.49,31.67,27.21
Lakshadweep,1973,1557.4,6.1,137.0,1055.6,358.7,,29.44,25.35,32.19,31.28,26.97
Lakshadweep,1974,1511.3,16.8,208.1,1193.2,93.2,,29.26,24.34,31.92,31.39,27.03
Lakshadweep,1975,1890.5,9.3,393.5,1175.9,311.8,,28.89,24.12,31.62,30.66,26.99
Lakshadweep,1976,1502.1,10.3,159.3,970.6,361.9,,29.27,24.61,31.45,31.09,27.76
Lakshadweep,1977,1848.2,39.6,300.9,1014.1,493.6,,29.41,25.15,31.65,31.22,27.59
Lakshadweep,1978,1967.4,6.7,354.2,1201.6,404.9,,29.23,24.36,31.57,31.11,27.64
Lakshadweep,1979,1825.4,16.2,48.5,1166.8,593.9,,29.63,24.99,31.7,31.87,27.67
Lakshadweep,1980,1211.7,18.0,156.3,703.2,334.2,,29.58,25.21,32.2,31.36,27.51
Lakshadweep,1981,1617.4,22.2,231.5,1085.1,278.6,,29.32,24.9,31.64,31.34,27.24
Lakshadweep,1982,1392.0,2.0,107.8,1023.5,258.7,,29.12,24.51,30.79,31.55,27.26
Lakshadweep,1983,1403.2,1.4,113.7,1086.8,201.3,,29.11,24.62,30.84,31.48,27.23
Lakshadweep,1984,1591.6,186.0,208.5,798.4,398.7,,29.28,24.11,32.12,31.09,27.46
Lakshadweep,1985,1303.4,6.4,221.4,887.6,188.0,,29.61,25.29,32.51,31.28,27.35
Lakshadweep,1986,1465.9,15.4,133.9,990.7,325.9,,29.33,24.64,31.58,31.44,27.4
Lakshadweep,1987,1288.6,3.4,89.4,886.8,309.0,,29.72,25.07,31.37,32.24,27.82
Lakshadweep,1988,1450.8,7.8,197.7,1127.9,117.4,,29.55,25.39,31.75,31.34,27.76
Lakshadweep,1989,1714.4,20.6,204.1,1244.6,245.1,,29.18,24.51,31.35,31.11,27.57
Lakshadweep,1990,1310.5,39.2,212.5,738.0,320.8,,29.14,25.0,30.84,31.18,27.5
Lakshadweep,1991,1583.0,12.3,99.0,1144.9,326.8,,29.32,24.74,31.46,31.45,27.4
Lakshadweep,1992,1534.9,4.1,131.4,1178.0,221.4,,29.23,24.6,31.32,31.28,27.49
Lakshadweep,1993,1449.7,1.7,56.9,938.2,452.9,,29.55,25.31,31.61,31.47,27.74
Lakshadweep,1994,1547.1,79.0,202.5,897.2,368.4,,29.46,25.09,31.85,31.3,27.52
Lakshadweep,1995,2030.9,149.8,495.3,1229.3,156.5,,30.18,25.68,32.4,32.01,28.52
Lakshadweep,1996,1606.0,45.8,69.0,1190.1,301.1,,29.58,26.3,32.07,31.19,27.29
Lakshadweep,1997,1764.7,2.3,101.0,1127.4,534.0,,29.05,24.63,31.26,31.77,26.65
Lakshadweep,1998,1986.9,52.0,110.3,1242.2,582.4,,29.7,24.96,31.89,31.75,27.83
Lakshadweep,1999,1857.3,50.3,455.6,946.2,405.2,,29.81,25.16,32.45,31.55,27.95
Lakshadweep,2000,1372.1,102.2,255.9,805.3,208.7,0.0,29.75,24.82,32.22,31.25,28.53
Lakshadweep,2001,1380.6,24.8,291.9,840.6,223.3,0.0,29.99,25.88,32.61,31.62,28.13
Lakshadweep,2002,1033.5,27.6,220.4,537.0,248.5,0.0,30.23,25.37,33.06,32.02,28.36
Lakshadweep,2003,1532.9,30.0,156.2,941.5,405.2,6.0,29.75,25.32,32.05,31.72,27.7
Lakshadweep,2004,1553.2,8.7,339.8,901.5,303.2,0.0,29.79,25.47,32.69,31.42,27.65
Lakshadweep,2005,1575.4,28.7,129.8,1007.8,409.1,0.0,29.6,24.96,31.81,31.84,27.5
Lakshadweep,2006,1598.6,20.1,361.2,928.4,288.9,0.0,30.06,27.44,32.08,31.39,27.78
Lakshadweep,2007,2361.6,6.7,188.6,1753.0,413.3,274.0,29.84,25.73,32.32,31.4,28.03
Lakshadweep,2008,1726.8,25.3,316.9,934.0,450.6,35.0,29.64,24.72,32.11,31.25,28.29
Lakshadweep,2009,1570.1,6.2,180.3,997.7,385.9,66.0,30.3,26.51,32.57,32.24,27.96
Lakshadweep,2010,1725.2,18.8,115.8,1152.2,438.4,96.0,30.13,25.96,33.47,31.43,27.78
Lakshadweep,2011,1533.7,7.9,196.2,1013.0,316.6,,29.82,25.33,32.07,31.55,28.23
Lakshadweep,2012,1405.5,19.3,99.6,1119.5,167.1,,29.81,25.03,32.33,31.77,27.88
Lakshadweep,2013,1426.3,60.6,131.1,1057.0,177.6,2215.0,29.81,25.58,32.58,31.33,27.83
Lakshadweep,2014,1395.0,69.3,76.7,958.5,290.5,1322.0,29.72,24.9,31.82,32.0,27.81
Lakshadweep,2015,1642.9,2.7,223.9,860.9,555.4,771.0,29.9,25.74,31.68,31.87,28.27
Lakshadweep,2016,1065.7,71.7,83.2,745.4,165.4,,31.63,28.33,34.57,32.28,30.03
Lakshadweep,2017,1738.9,22.2,247.8,1108.3,360.7,,,,,,
