SUBDIVISION,YEAR,ANNUAL,JF,MAM,JJAS,OND,Dengue cases,ANNUAL_TEMP,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC
Matathwada,1901,908.7,19.1,107.1,700.9,81.6,,28.96,23.27,31.46,31.27,27.25
Matathwada,1902,744.1,1.3,8.4,531.8,202.7,,29.22,25.75,31.76,31.09,26.49
Matathwada,1903,1032.6,3.4,60.0,823.8,145.4,,28.47,24.24,30.71,30.92,26.26
Matathwada,1904,690.5,0.9,19.5,593.9,76.2,,28.49,23.62,30.95,30.66,26.4
Matathwada,1905,505.9,3.3,11.4,474.8,16.3,,28.3,22.25,30.0,31.33,26.57
Matathwada,1906,770.7,19.8,0.3,714.5,36.1,,28.73,23.03,31.11,30.86,27.29
Matathwada,1907,557.9,7.6,62.4,479.2,8.7,,28.65,24.23,29.92,30.8,27.36
Matathwada,1908,682.5,0.8,17.5,663.8,0.4,,28.83,24.42,31.43,30.72,26.64
Matathwada,1909,892.7,7.2,34.7,808.8,42.0,,28.38,23.52,31.02,30.33,26.88
Matathwada,1910,1134.4,0.0,4.0,1025.3,105.0,,28.53,24.2,31.14,30.48,26.2
Matathwada,1911,612.4,6.4,3.0,561.0,42.0,,28.62,23.9,30.7,31.14,26.31
Matathwada,1912,488.4,13.7,16.0,420.8,37.9,,28.95,24.88,31.1,31.15,26.57
Matathwada,1913,656.5,3.4,53.6,562.6,36.9,,28.67,24.25,30.89,30.92,26.42
Matathwada,1914,989.1,10.4,22.3,884.2,72.1,,28.66,24.59,30.73,30.84,26.4
Matathwada,1915,1001.6,30.6,86.3,749.8,134.9,,28.94,23.22,31.06,31.51,27.19
Matathwada,1916,1177.9,5.0,48.3,969.3,155.3,,28.82,24.57,31.88,30.52,26.31
Matathwada,1917,1168.3,65.2,35.0,929.4,138.8,,28.11,24.52,30.06,30.24,25.74
Matathwada,1918,486.1,0.7,122.2,327.9,35.3,,28.66,23.57,30.68,31.1,26.78
Matathwada,1919,662.8,12.8,16.6,583.0,50.4,,28.66,23.71,31.17,30.8,26.6
Matathwada,1920,361.2,27.0,5.6,324.8,3.8,,28.76,23.64,30.4,31.08,27.45
Matathwada,1921,562.4,2.1,2.4,509.4,48.5,,28.86,23.91,32.05,30.81,26.43
