SUBDIVISION,YEAR,ANNUAL,JF,MAM,JJAS,OND,Dengue cases,ANNUAL_TEMP,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC
North Interior Karnataka,1901,773.0,22.3,139.8,516.4,94.5,,28.96,23.27,31.46,31.27,27.25
North Interior Karnataka,1902,716.1,0.0,57.1,419.3,239.6,,29.22,25.75,31.76,31.09,26.49
North Interior Karnataka,1903,928.5,3.5,60.3,647.9,216.8,,28.47,24.24,30.71,30.92,26.26
North Interior Karnataka,1904,578.6,0.5,65.8,425.8,86.5,,28.49,23.62,30.95,30.66,26.4
North Interior Karnataka,1905,506.2,6.0,69.8,341.1,89.4,,28.3,22.25,30.0,31.33,26.57
North Interior Karnataka,1906,783.8,21.3,32.7,560.4,169.4,,28.73,23.03,31.11,30.86,27.29
North Interior Karnataka,1907,746.7,1.1,114.6,596.7,34.3,,28.65,24.23,29.92,30.8,27.36
North Interior Karnataka,1908,595.1,1.6,39.1,536.4,18.0,,28.83,24.42,31.43,30.72,26.64
North Interior Karnataka,1909,675.8,2.5,77.1,532.5,63.6,,28.38,23.52,31.02,30.33,26.88
North Interior Karnataka,1910,759.4,0.0,35.2,587.9,136.4,,28.53,24.2,31.14,30.48,26.2
North Interior Karnataka,1911,510.0,0.0,51.4,378.1,80.6,,28.62,23.9,30.7,31.14,26.31
North Interior Karnataka,1912,758.7,12.5,80.8,532.3,133.1,,28.95,24.88,31.1,31.15,26.57
North Interior Karnataka,1913,572.3,0.9,93.0,389.2,89.2,,28.67,24.25,30.89,30.92,26.42
North Interior Karnataka,1914,824.8,0.0,54.2,684.5,86.1,,28.66,24.59,30.73,30.84,26.4
North Interior Karnataka,1915,753.3,28.9,98.3,488.8,137.4,,28.94,23.22,31.06,31.51,27.19
North Interior Karnataka,1916,1087.9,1.2,83.0,604.6,399.1,,28.82,24.57,31.88,30.52,26.31
North Interior Karnataka,1917,823.8,21.1,54.6,551.6,196.6,,28.11,24.52,30.06,30.24,25.74
North Interior Karnataka,1918,528.0,6.1,142.0,292.3,87.6,,28.66,23.57,30.68,31.1,26.78
North Interior Karnataka,1919,727.1,10.8,78.1,466.3,171.9,,28.66,23.71,31.17,30.8,26.6
North Interior Karnataka,1920,470.3,2.6,57.4,353.9,56.4,,28.76,23.64,30.4,31.08,27.45
North Interior Karnataka,1921,582.8,0.2,40.2,312.7,229.7,,28.86,23.91,32.05,30.81,26.43
North Interior Karnataka,1922,509.0,26.0,70.8,255.1,157.0,,28.8,24.43,31.21,30.9,26.38
North Interior Karnataka,1923,602.8,13.4,82.5,495.1,11.8,,28.74,23.73,31.4,30.98,26.43
North Interior Karnataka,1924,591.2,5.1,70.0,461.7,54.4,,28.8,23.94,31.44,30.96,26.49
North Interior Karnataka,1925,642.6,0.0,120.6,373.9,148.1,,28.67,23.57,31.47,30.67,26.59
