SUBDIVISION,YEAR,ANNUAL,JF,MAM,JJAS,OND,Dengue cases,ANNUAL_TEMP,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC
Orissa,1901,1284.2,104.6,146.7,859.6,173.3,,28.96,23.27,31.46,31.27,27.25
Orissa,1902,1349.0,3.5,172.1,1097.6,75.8,,29.22,25.75,31.76,31.09,26.49
Orissa,1903,1568.3,38.6,118.5,1125.5,285.7,,28.47,24.24,30.71,30.92,26.26
Orissa,1904,1514.8,12.4,130.9,1257.8,113.7,,28.49,23.62,30.95,30.66,26.4
Orissa,1905,1357.3,41.5,230.7,1047.6,37.5,,28.3,22.25,30.0,31.33,26.57
Orissa,1906,1408.2,108.1,92.2,1081.3,126.7,,28.73,23.03,31.11,30.86,27.29
Orissa,1907,1447.1,17.0,202.3,1166.8,61.1,,28.65,24.23,29.92,30.8,27.36
Orissa,1908,1430.6,36.8,81.4,1267.1,45.3,,28.83,24.42,31.43,30.72,26.64
Orissa,1909,1535.5,17.7,206.3,1209.2,102.2,,28.38,23.52,31.02,30.33,26.88
Orissa,1910,1598.5,11.2,115.5,1247.1,224.7,,28.53,24.2,31.14,30.48,26.2
Orissa,1911,1417.3,2.7,101.4,1200.0,113.2,,28.62,23.9,30.7,31.14,26.31
Orissa,1912,1397.2,63.5,99.3,1123.4,111.0,,28.95,24.88,31.1,31.15,26.57
Orissa,1913,1544.3,57.5,108.9,1200.7,177.1,,28.67,24.25,30.89,30.92,26.42
Orissa,1914,1598.5,20.2,252.3,1305.3,20.7,,28.66,24.59,30.73,30.84,26.4
Orissa,1915,1437.1,36.9,137.1,988.3,274.8,,28.94,23.22,31.06,31.51,27.19
Orissa,1916,1479.4,5.0,80.1,1122.5,271.9,,28.82,24.57,31.88,30.52,26.31
Orissa,1917,1850.1,68.5,145.2,1255.4,381.1,,28.11,24.52,30.06,30.24,25.74
Orissa,1918,1297.4,11.1,175.5,1094.7,16.1,,28.66,23.57,30.68,31.1,26.78
Orissa,1919,1758.1,116.4,131.7,1317.6,192.4,,28.66,23.71,31.17,30.8,26.6
Orissa,1920,1402.6,21.5,128.8,1205.8,46.5,,28.76,23.64,30.4,31.08,27.45
Orissa,1921,1324.0,49.7,47.7,1159.4,67.2,,28.86,23.91,32.05,30.81,26.43
Orissa,1922,1466.5,20.2,62.4,1302.9,81.0,,28.8,24.43,31.21,30.9,26.38
Orissa,1923,1258.6,66.4,61.1,939.0,192.1,,28.74,23.73,31.4,30.98,26.43
Orissa,1924,1263.4,36.1,100.8,868.1,258.3,,28.8,23.94,31.44,30.96,26.49
Orissa,1925,1807.8,2.0,170.0,1418.6,217.2,,28.67,23.57,31.47,30.67,26.59
Orissa,1926,1535.8,46.1,176.5,1222.4,90.7,,28.7,24.73,30.21,31.14,26.61
Orissa,1927,1525.5,30.2,72.2,1308.8,114.3,,28.59,23.76,30.72,30.8,26.73
Orissa,1928,1585.6,9.3,137.9,1228.2,210.3,,28.98,24.21,31.51,31.14,26.74
Orissa,1929,1637.8,36.8,67.2,1332.7,201.1,,28.76,23.53,31.72,31.03,26.28
Orissa,1930,1446.4,12.4,81.4,1156.3,196.3,,28.65,23.2,30.94,30.98,26.9
Orissa,1931,1477.2,44.2,83.6,1055.9,293.4,,29.15,24.55,31.71,31.16,26.97
Orissa,1932,1440.2,34.3,104.1,1108.6,193.3,,29.09,24.51,31.17,31.25,27.18
Orissa,1933,1851.0,75.2,169.9,1436.7,169.2,,28.49,24.13,30.43,30.41,26.92
Orissa,1934,1488.9,1.5,36.2,1327.9,123.3,,29.03,24.53,31.28,31.22,26.94
Orissa,1935,1219.4,11.3,70.7,1117.5,19.9,,28.76,23.41,31.15,30.85,26.88
Orissa,1936,1876.0,59.7,174.9,1469.9,171.4,,28.71,24.11,31.17,30.68,26.69
Orissa,1937,1567.3,89.0,160.2,1241.6,76.5,,28.7,24.13,30.84,31.22,26.26
Orissa,1938,1441.6,27.8,148.1,1063.0,202.7,,28.7,23.31,31.74,30.59,26.71
Orissa,1939,1563.4,18.9,80.2,1260.9,203.3,,28.85,24.25,30.76,31.06,27.05
Orissa,1940,1687.7,35.3,232.3,1348.0,72.1,,28.88,24.46,30.66,30.93,27.24
Orissa,1941,1435.2,29.7,85.0,1103.0,217.5,,29.46,24.37,32.12,31.37,27.62
Orissa,1942,1448.3,23.4,69.8,1216.9,138.3,,28.98,24.03,31.8,30.99,27.23
Orissa,1943,1586.5,68.0,135.3,1291.2,92.0,,28.8,24.03,30.8,30.83,27.33
Orissa,1944,1608.1,108.0,154.8,1180.6,164.6,,28.89,23.62,31.03,31.25,27.16
Orissa,1945,1538.6,25.0,108.7,1215.9,189.0,,28.97,23.86,31.19,31.48,26.82
Orissa,1946,1614.9,2.6,193.1,1242.3,176.8,,29.37,25.49,31.5,31.23,27.3
Orissa,1947,1410.9,41.1,70.4,1100.7,198.6,,28.84,23.99,31.78,31.2,26.7
Orissa,1948,1333.8,50.1,102.7,1024.1,156.9,,28.73,23.62,31.27,30.84,26.77
Orissa,1949,1348.9,4.0,121.8,999.8,223.3,,28.89,24.49,31.27,30.88,26.79
Orissa,1950,1392.8,21.2,126.8,1051.6,193.2,,28.47,24.02,30.72,30.48,26.58
Orissa,1951,1396.2,2.2,174.8,1026.6,192.6,,29.09,24.16,30.67,31.13,27.77
Orissa,1952,1516.7,9.8,123.7,1203.4,179.9,,29.16,25.17,31.13,31.11,27.26
Orissa,1953,1437.7,45.8,37.7,1245.3,109.0,,29.43,24.71,32.19,31.12,27.56
Orissa,1954,1208.0,6.8,78.1,990.8,132.4,,28.92,24.2,31.89,30.9,26.46
Orissa,1955,1597.0,0.3,114.4,1167.0,315.3,,28.76,24.9,30.88,30.72,26.59
Orissa,1956,1885.4,39.3,148.2,1499.5,198.4,,28.63,24.4,31.53,30.25,26.37
Orissa,1957,1277.5,39.0,76.3,1112.7,49.6,,28.64,23.87,30.42,31.07,26.82
Orissa,1958,1624.0,54.3,87.8,1212.6,269.3,,29.34,25.43,31.74,31.23,27.01
Orissa,1959,1495.9,30.9,72.1,1218.2,174.7,,29.02,24.05,31.71,30.99,27.03
Orissa,1960,1593.0,6.2,106.8,1331.8,148.2,,29.31,25.49,31.17,31.29,27.36
Orissa,1961,1945.3,132.1,78.9,1542.1,192.2,,28.72,24.18,31.47,30.75,26.3
Orissa,1962,1346.5,13.4,89.8,1072.2,171.2,,28.89,24.24,31.31,31.08,26.65
Orissa,1963,1562.0,7.0,146.1,1198.1,210.8,,29.04,24.73,30.94,31.28,27.0
Orissa,1964,1354.7,30.0,94.0,1138.3,92.3,,29.09,24.29,31.89,30.82,27.2
Orissa,1965,1174.7,27.8,134.7,926.2,85.9,,29.16,24.67,30.73,31.37,27.61
Orissa,1966,1286.8,53.5,66.8,1013.4,153.2,,29.41,25.54,31.69,31.24,27.26
Orissa,1967,1427.5,71.4,154.3,1171.0,30.8,,29.14,25.31,31.04,31.32,26.9
Orissa,1968,1464.1,63.1,92.9,1070.3,237.8,,29.07,23.68,31.24,31.55,27.19
Orissa,1969,1283.2,1.7,112.1,1082.3,87.1,,29.61,24.99,32.02,31.55,27.71
Orissa,1970,1412.3,32.1,140.2,1170.5,69.5,,29.47,25.19,32.03,31.16,27.5
Orissa,1971,1596.8,39.6,161.0,1164.2,232.1,,29.15,24.99,31.58,30.91,27.17
Orissa,1972,1324.9,22.0,44.8,1133.8,124.4,,29.31,24.49,31.49,31.67,27.21
Orissa,1973,1573.5,7.3,109.7,1185.4,271.0,,29.44,25.35,32.19,31.28,26.97
Orissa,1974,987.0,1.3,84.3,790.4,111.1,,29.26,24.34,31.92,31.39,27.03
Orissa,1975,1392.0,19.5,58.1,1161.4,153.0,,28.89,24.12,31.62,30.66,26.99
Orissa,1976,1178.8,10.1,94.3,1002.5,72.0,,29.27,24.61,31.45,31.09,27.76
Orissa,1977,1477.9,9.9,181.1,1129.1,157.8,,29.41,25.15,31.65,31.22,27.59
Orissa,1978,1439.0,35.0,111.5,1180.8,111.7,,29.23,24.36,31.57,31.11,27.64
Orissa,1979,995.9,21.5,50.9,862.2,61.2,,29.63,24.99,31.7,31.87,27.67
Orissa,1980,1462.9,20.0,124.8,1223.3,94.8,,29.58,25.21,32.2,31.36,27.51
Orissa,1981,1295.7,39.4,197.8,1032.7,25.7,,29.32,24.9,31.64,31.34,27.24
Orissa,1982,1258.5,37.8,170.1,1010.7,39.8,,29.12,24.51,30.79,31.55,27.26
Orissa,1983,1432.0,56.9,137.3,1130.1,107.7,,29.11,24.62,30.84,31.48,27.23
Orissa,1984,1377.6,16.0,84.1,1221.8,55.7,,29.28,24.11,32.12,31.09,27.46
Orissa,1985,1607.3,59.2,74.0,1297.2,176.9,,29.61,25.29,32.51,31.28,27.35
Orissa,1986,1560.0,61.6,129.1,1125.2,244.1,,29.33,24.64,31.58,31.44,27.4
Orissa,1987,1097.6,14.1,104.0,791.6,187.9,,29.72,25.07,31.37,32.24,27.82
Orissa,1988,1306.9,49.5,137.7,1055.1,64.6,,29.55,25.39,31.75,31.34,27.76
Orissa,1989,1299.7,0.1,99.2,1170.2,30.2,,29.18,24.51,31.35,31.11,27.57
Orissa,1990,1905.0,50.3,325.2,1152.3,377.2,,29.14,25.0,30.84,31.18,27.5
Orissa,1991,1472.8,22.8,87.7,1228.6,133.7,,29.32,24.74,31.46,31.45,27.4
Orissa,1992,1329.5,23.0,83.8,1149.1,73.6,,29.23,24.6,31.32,31.28,27.49
Orissa,1993,1448.0,1.3,149.6,1200.9,96.2,,29.55,25.31,31.61,31.47,27.74
Orissa,1994,1744.6,32.6,100.6,1529.9,81.5,,29.46,25.09,31.85,31.3,27.52
Orissa,1995,1614.0,67.7,337.7,954.3,254.3,,30.18,25.68,32.4,32.01,28.52
Orissa,1996,1061.8,24.8,68.4,909.3,59.3,,29.58,26.3,32.07,31.19,27.29
Orissa,1997,1504.5,23.2,142.7,1215.5,123.2,,29.05,24.63,31.26,31.77,26.65
Orissa,1998,1357.1,59.8,149.1,934.8,213.4,,29.7,24.96,31.89,31.75,27.83
Orissa,1999,1484.3,0.8,168.9,1085.3,229.3,,29.81,25.16,32.45,31.55,27.95
Orissa,2000,1097.2,34.2,97.0,937.6,28.3,,29.75,24.82,32.22,31.25,28.53
Orissa,2001,1672.5,1.8,132.0,1433.2,105.6,,29.99,25.88,32.61,31.62,28.13
Orissa,2002,1102.8,11.9,105.7,930.2,54.9,,30.23,25.37,33.06,32.02,28.36
Orissa,2003,1648.2,16.3,68.9,1235.7,327.3,,29.75,25.32,32.05,31.72,27.7
Orissa,2004,1290.4,14.8,85.3,1038.9,151.4,,29.79,25.47,32.69,31.42,27.65
Orissa,2005,1503.4,33.4,90.1,1153.5,226.4,,29.6,24.96,31.81,31.84,27.5
Orissa,2006,1716.9,0.2,160.5,1508.8,47.4,,30.06,27.44,32.08,31.39,27.78
Orissa,2007,1633.8,33.2,91.8,1428.4,80.4,,29.84,25.73,32.32,31.4,28.03
