SUBDIVISION,YEAR,ANNUAL,JF,MAM,JJAS,OND,Dengue cases,ANNUAL_TEMP,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC
Rayalseema,1901,714.0,57.2,51.0,295.6,310.1,,28.96,23.27,31.46,31.27,27.25
Rayalseema,1902,818.4,10.1,49.6,444.9,313.8,,29.22,25.75,31.76,31.09,26.49
Rayalseema,1903,1138.2,30.1,84.1,555.3,468.7,,28.47,24.24,30.71,30.92,26.26
Rayalseema,1904,433.4,14.8,67.6,219.0,132.0,,28.49,23.62,30.95,30.66,26.4
Rayalseema,1905,703.4,13.3,79.6,372.9,237.6,,28.3,22.25,30.0,31.33,26.57
Rayalseema,1906,912.6,122.4,18.5,496.8,274.9,,28.73,23.03,31.11,30.86,27.29
Rayalseema,1907,640.4,1.1,97.7,283.0,258.7,,28.65,24.23,29.92,30.8,27.36
Rayalseema,1908,617.1,10.0,51.4,369.3,186.4,,28.83,24.42,31.43,30.72,26.64
Rayalseema,1909,870.6,89.2,147.6,591.4,42.4,,28.38,23.52,31.02,30.33,26.88
Rayalseema,1910,1001.1,2.7,47.0,597.9,353.5,,28.53,24.2,31.14,30.48,26.2
Rayalseema,1911,590.6,0.0,86.7,282.6,221.2,,28.62,23.9,30.7,31.14,26.31
Rayalseema,1912,745.5,5.3,30.5,328.0,381.8,,28.95,24.88,31.1,31.15,26.57
Rayalseema,1913,616.3,0.4,64.4,289.3,262.2,,28.67,24.25,30.89,30.92,26.42
Rayalseema,1914,678.3,3.6,77.9,439.6,157.1,,28.66,24.59,30.73,30.84,26.4
Rayalseema,1915,923.1,49.7,139.5,438.2,295.6,,28.94,23.22,31.06,31.51,27.19
Rayalseema,1916,1047.0,1.3,40.8,601.2,403.7,,28.82,24.57,31.88,30.52,26.31
Rayalseema,1917,933.1,40.1,75.6,506.6,310.8,,28.11,24.52,30.06,30.24,25.74
Rayalseema,1918,645.8,63.2,90.0,253.8,238.7,,28.66,23.57,30.68,31.1,26.78
Rayalseema,1919,890.5,24.8,88.4,494.9,282.3,,28.66,23.71,31.17,30.8,26.6
Rayalseema,1920,674.8,80.7,39.4,308.3,246.4,,28.76,23.64,30.4,31.08,27.45
Rayalseema,1921,743.6,43.2,49.8,416.6,234.0,,28.86,23.91,32.05,30.81,26.43
Rayalseema,1922,770.3,36.9,64.0,233.1,436.3,,28.8,24.43,31.21,30.9,26.38
Rayalseema,1923,515.8,31.6,59.3,291.5,133.6,,28.74,23.73,31.4,30.98,26.43
Rayalseema,1924,684.3,9.8,50.9,417.7,205.9,,28.8,23.94,31.44,30.96,26.49
Rayalseema,1925,865.5,0.0,150.1,361.1,354.3,,28.67,23.57,31.47,30.67,26.59
Rayalseema,1926,682.6,57.4,80.9,411.2,133.2,,28.7,24.73,30.21,31.14,26.61
Rayalseema,1927,682.0,4.8,31.0,434.2,212.1,,28.59,23.76,30.72,30.8,26.73
Rayalseema,1928,711.3,40.0,56.9,344.6,269.8,,28.98,24.21,31.51,31.14,26.74
Rayalseema,1929,696.6,21.3,66.7,314.6,294.1,,28.76,23.53,31.72,31.03,26.28
Rayalseema,1930,995.5,49.5,185.5,314.1,446.4,,28.65,23.2,30.94,30.98,26.9
Rayalseema,1931,719.2,0.2,64.9,362.3,291.8,,29.15,24.55,31.71,31.16,26.97
Rayalseema,1932,635.8,17.2,62.9,338.3,217.4,,29.09,24.51,31.17,31.25,27.18
Rayalseema,1933,678.2,1.7,71.9,336.2,268.4,,28.49,24.13,30.43,30.41,26.92
Rayalseema,1934,611.5,21.5,52.4,307.5,230.1,,29.03,24.53,31.28,31.22,26.94
Rayalseema,1935,782.3,9.0,42.2,512.3,218.7,,28.76,23.41,31.15,30.85,26.88
Rayalseema,1936,695.6,32.1,73.7,362.2,227.6,,28.71,24.11,31.17,30.68,26.69
Rayalseema,1937,775.4,9.5,125.6,334.8,305.5,,28.7,24.13,30.84,31.22,26.26
Rayalseema,1938,674.4,6.7,61.3,572.2,34.2,,28.7,23.31,31.74,30.59,26.71
Rayalseema,1939,798.2,17.4,101.4,337.2,342.2,,28.85,24.25,30.76,31.06,27.05
Rayalseema,1940,904.6,0.4,160.3,390.1,353.8,,28.88,24.46,30.66,30.93,27.24
Rayalseema,1941,653.5,12.9,45.8,291.4,303.3,,29.46,24.37,32.12,31.37,27.62
Rayalseema,1942,536.9,0.7,43.3,324.8,168.0,,28.98,24.03,31.8,30.99,27.23
Rayalseema,1943,1036.5,23.7,266.8,333.9,412.1,,28.8,24.03,30.8,30.83,27.33
Rayalseema,1944,917.4,10.6,118.0,452.0,336.8,,28.89,23.62,31.03,31.25,27.16
Rayalseema,1945,604.1,0.0,59.2,408.8,136.1,,28.97,23.86,31.19,31.48,26.82
Rayalseema,1946,953.7,5.8,61.4,342.2,544.3,,29.37,25.49,31.5,31.23,27.3
Rayalseema,1947,624.3,24.6,31.4,452.0,116.3,,28.84,23.99,31.78,31.2,26.7
Rayalseema,1948,608.9,5.3,73.6,299.7,230.3,,28.73,23.62,31.27,30.84,26.77
Rayalseema,1949,826.5,0.0,78.0,597.3,151.2,,28.89,24.49,31.27,30.88,26.79
Rayalseema,1950,510.9,6.1,42.4,319.8,142.6,,28.47,24.02,30.72,30.48,26.58
Rayalseema,1951,538.4,0.1,140.4,284.0,113.9,,29.09,24.16,30.67,31.13,27.77
Rayalseema,1952,701.2,4.3,196.9,249.8,250.2,,29.16,25.17,31.13,31.11,27.26
Rayalseema,1953,795.7,1.7,59.0,389.5,345.4,,29.43,24.71,32.19,31.12,27.56
Rayalseema,1954,785.4,13.4,56.1,411.4,304.5,,28.92,24.2,31.89,30.9,26.46
Rayalseema,1955,816.4,16.2,154.3,451.7,194.1,,28.76,24.9,30.88,30.72,26.59
Rayalseema,1956,931.0,3.7,115.6,475.6,336.0,,28.63,24.4,31.53,30.25,26.37
Rayalseema,1957,571.7,1.4,63.7,358.5,148.2,,28.64,23.87,30.42,31.07,26.82
Rayalseema,1958,808.4,8.8,79.3,409.5,310.7,,29.34,25.43,31.74,31.23,27.01
Rayalseema,1959,635.8,5.4,58.4,417.5,154.4,,29.02,24.05,31.71,30.99,27.03
Rayalseema,1960,744.0,0.5,53.1,396.5,294.0,,29.31,25.49,31.17,31.29,27.36
Rayalseema,1961,651.5,10.4,44.9,387.7,208.5,,28.72,24.18,31.47,30.75,26.3
Rayalseema,1962,816.3,5.9,127.7,352.5,330.3,,28.89,24.24,31.31,31.08,26.65
Rayalseema,1963,709.1,7.4,74.6,404.4,222.7,,29.04,24.73,30.94,31.28,27.0
Rayalseema,1964,791.6,0.0,13.9,584.5,193.1,,29.09,24.29,31.89,30.82,27.2
Rayalseema,1965,595.9,1.2,61.2,403.9,129.7,,29.16,24.67,30.73,31.37,27.61
Rayalseema,1966,904.1,6.3,54.9,464.2,378.7,,29.41,25.54,31.69,31.24,27.26
Rayalseema,1967,737.6,16.8,93.4,379.9,247.6,,29.14,25.31,31.04,31.32,26.9
Rayalseema,1968,623.9,2.6,70.1,287.0,264.2,,29.07,23.68,31.24,31.55,27.19
Rayalseema,1969,842.4,0.0,61.2,355.3,425.9,,29.61,24.99,32.02,31.55,27.71
Rayalseema,1970,776.4,14.3,91.9,497.6,172.6,,29.47,25.19,32.03,31.16,27.5
Rayalseema,1971,621.1,8.3,99.8,285.0,227.9,,29.15,24.99,31.58,30.91,27.17
Rayalseema,1972,826.0,3.9,103.0,300.4,418.7,,29.31,24.49,31.49,31.67,27.21
Rayalseema,1973,689.5,0.0,31.8,423.6,234.0,,29.44,25.35,32.19,31.28,26.97
Rayalseema,1974,728.5,0.0,69.6,435.3,223.6,,29.26,24.34,31.92,31.39,27.03
Rayalseema,1975,1041.6,0.9,55.5,513.4,471.8,,28.89,24.12,31.62,30.66,26.99
Rayalseema,1976,817.0,0.9,26.3,444.5,345.3,,29.27,24.61,31.45,31.09,27.76
Rayalseema,1977,866.6,0.8,95.2,377.4,393.2,,29.41,25.15,31.65,31.22,27.59
Rayalseema,1978,869.3,9.1,64.1,481.3,314.8,,29.23,24.36,31.57,31.11,27.64
Rayalseema,1979,813.4,22.6,103.6,356.8,330.4,,29.63,24.99,31.7,31.87,27.67
Rayalseema,1980,573.7,0.0,37.7,311.1,224.8,,29.58,25.21,32.2,31.36,27.51
Rayalseema,1981,785.2,7.9,70.3,487.1,219.9,,29.32,24.9,31.64,31.34,27.24
Rayalseema,1982,595.6,0.9,49.2,287.2,258.2,,29.12,24.51,30.79,31.55,27.26
Rayalseema,1983,943.0,1.0,63.2,630.3,248.6,,29.11,24.62,30.84,31.48,27.23
Rayalseema,1984,733.0,87.5,51.0,340.0,254.7,,29.28,24.11,32.12,31.09,27.46
Rayalseema,1985,685.8,17.7,29.8,336.4,301.9,,29.61,25.29,32.51,31.28,27.35
Rayalseema,1986,580.9,83.3,26.2,276.3,195.2,,29.33,24.64,31.58,31.44,27.4
Rayalseema,1987,769.5,5.1,48.5,328.3,387.6,,29.72,25.07,31.37,32.24,27.82
Rayalseema,1988,842.3,1.1,99.9,606.5,134.8,,29.55,25.39,31.75,31.34,27.76
Rayalseema,1989,693.7,0.0,51.5,469.1,173.0,,29.18,24.51,31.35,31.11,27.57
Rayalseema,1990,930.7,7.6,163.8,396.0,363.3,,29.14,25.0,30.84,31.18,27.5
Rayalseema,1991,967.5,11.5,64.9,468.9,422.3,,29.32,24.74,31.46,31.45,27.4
Rayalseema,1992,596.0,7.7,58.6,293.2,236.6,,29.23,24.6,31.32,31.28,27.49
Rayalseema,1993,887.1,6.7,77.6,403.2,399.6,,29.55,25.31,31.61,31.47,27.74
Rayalseema,1994,690.5,18.6,71.0,271.6,329.3,,29.46,25.09,31.85,31.3,27.52
Rayalseema,1995,874.3,32.9,159.6,501.6,180.1,,30.18,25.68,32.4,32.01,28.52
Rayalseema,1996,1277.7,0.9,71.9,736.8,468.1,,29.58,26.3,32.07,31.19,27.29
Rayalseema,1997,835.0,17.9,86.6,402.5,327.9,,29.05,24.63,31.26,31.77,26.65
Rayalseema,1998,948.1,3.3,66.0,546.1,332.6,,29.7,24.96,31.89,31.75,27.83
Rayalseema,1999,537.2,5.8,80.4,268.8,182.1,,29.81,25.16,32.45,31.55,27.95
Rayalseema,2000,871.3,34.3,96.1,531.8,209.1,,29.75,24.82,32.22,31.25,28.53
Rayalseema,2001,924.5,7.7,99.2,385.4,432.3,,29.99,25.88,32.61,31.62,28.13
Rayalseema,2002,615.2,28.8,80.2,281.6,224.6,,30.23,25.37,33.06,32.02,28.36
Rayalseema,2003,725.5,1.3,45.2,482.2,196.8,,29.75,25.32,32.05,31.72,27.7
Rayalseema,2004,741.7,14.5,197.7,339.5,190.1,,29.79,25.47,32.69,31.42,27.65
Rayalseema,2005,1066.4,14.9,101.6,418.6,531.2,,29.6,24.96,31.81,31.84,27.5
Rayalseema,2006,638.1,0.2,105.2,345.7,187.0,,30.06,27.44,32.08,31.39,27.78
Rayalseema,2007,980.6,0.5,21.2,665.0,294.0,,29.84,25.73,32.32,31.4,28.03
Rayalseema,2008,798.0,25.1,109.1,339.8,323.9,,29.64,24.72,32.11,31.25,28.29
Rayalseema,2009,688.2,0.5,61.1,386.4,240.3,,30.3,26.51,32.57,32.24,27.96
Rayalseema,2010,963.5,5.5,79.0,573.8,305.2,,30.13,25.96,33.47,31.43,27.78
Rayalseema,2011,738.0,12.8,67.6,408.2,249.4,,29.82,25.33,32.07,31.55,28.23
Rayalseema,2012,715.0,2.7,74.0,376.2,262.1,,29.81,25.03,32.33,31.77,27.88
Rayalseema,2013,762.6,31.9,77.3,443.0,210.5,,29.81,25.58,32.58,31.33,27.83
Rayalseema,2014,551.8,0.9,64.2,331.5,155.2,,29.72,24.9,31.82,32.0,27.81
Rayalseema,2015,1047.1,1.9,126.4,376.0,542.8,,29.9,25.74,31.68,31.87,28.27
Rayalseema,2016,555.4,7.9,81.7,391.9,73.9,,31.63,28.33,34.57,32.28,30.03
Rayalseema,2017,834.5,3.9,61.5,507.2,261.8,,,,,,
