SUBDIVISION,YEAR,ANNUAL,JF,MAM,JJAS,OND,Dengue cases,ANNUAL_TEMP,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC
Saurashtra & Kutch,1901,181.3,1.9,3.5,171.4,4.4,,28.96,23.27,31.46,31.27,27.25
Saurashtra & Kutch,1902,401.1,0.1,1.6,391.2,8.2,,29.22,25.75,31.76,31.09,26.49
Saurashtra & Kutch,1903,522.8,0.5,4.8,506.4,11.1,,28.47,24.24,30.71,30.92,26.26
Saurashtra & Kutch,1904,185.6,7.1,17.5,159.0,2.0,,28.49,23.62,30.95,30.66,26.4
Saurashtra & Kutch,1905,290.0,2.5,1.0,286.0,0.5,,28.3,22.25,30.0,31.33,26.57
Saurashtra & Kutch,1906,540.3,29.1,0.0,495.7,15.5,,28.73,23.03,31.11,30.86,27.29
Saurashtra & Kutch,1907,509.6,19.8,2.7,487.1,0.0,,28.65,24.23,29.92,30.8,27.36
Saurashtra & Kutch,1908,527.9,3.6,0.0,524.3,0.1,,28.83,24.42,31.43,30.72,26.64
Saurashtra & Kutch,1909,586.4,3.7,4.5,569.2,9.0,,28.38,23.52,31.02,30.33,26.88
Saurashtra & Kutch,1910,549.7,0.3,0.8,544.8,3.8,,28.53,24.2,31.14,30.48,26.2
Saurashtra & Kutch,1911,140.4,1.5,36.1,102.0,0.8,,28.62,23.9,30.7,31.14,26.31
Saurashtra & Kutch,1912,652.6,0.0,1.5,645.0,6.0,,28.95,24.88,31.1,31.15,26.57
Saurashtra & Kutch,1913,751.9,0.0,0.9,750.3,0.6,,28.67,24.25,30.89,30.92,26.42
Saurashtra & Kutch,1914,577.1,9.8,5.2,553.9,8.3,,28.66,24.59,30.73,30.84,26.4
Saurashtra & Kutch,1915,245.8,2.6,16.4,176.0,50.8,,28.94,23.22,31.06,31.51,27.19
Saurashtra & Kutch,1916,495.9,0.0,2.7,463.9,29.3,,28.82,24.57,31.88,30.52,26.31
Saurashtra & Kutch,1917,886.7,3.7,58.5,616.1,208.5,,28.11,24.52,30.06,30.24,25.74
Saurashtra & Kutch,1918,117.6,0.0,5.0,112.4,0.2,,28.66,23.57,30.68,31.1,26.78
