SUBDIVISION,YEAR,ANNUAL,JF,MAM,JJAS,OND,Dengue cases,ANNUAL_TEMP,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC
South Interior Karnataka,1901,1003.0,36.8,145.4,566.0,254.9,,28.96,23.27,31.46,31.27,27.25
South Interior Karnataka,1902,1020.1,2.4,147.0,522.3,348.5,,29.22,25.75,31.76,31.09,26.49
South Interior Karnataka,1903,1269.9,0.3,137.7,766.9,364.9,,28.47,24.24,30.71,30.92,26.26
South Interior Karnataka,1904,845.8,1.5,193.3,527.8,123.2,,28.49,23.62,30.95,30.66,26.4
South Interior Karnataka,1905,759.4,9.5,156.5,427.9,165.5,,28.3,22.25,30.0,31.33,26.57
South Interior Karnataka,1906,1004.5,15.6,53.1,693.5,242.4,,28.73,23.03,31.11,30.86,27.29
South Interior Karnataka,1907,998.5,4.5,142.9,734.9,116.3,,28.65,24.23,29.92,30.8,27.36
South Interior Karnataka,1908,790.2,10.7,146.2,561.9,71.3,,28.83,24.42,31.43,30.72,26.64
South Interior Karnataka,1909,1087.4,21.0,215.4,684.0,167.1,,28.38,23.52,31.02,30.33,26.88
South Interior Karnataka,1910,1157.3,1.1,124.4,735.1,296.7,,28.53,24.2,31.14,30.48,26.2
South Interior Karnataka,1911,906.3,0.9,157.2,547.8,200.5,,28.62,23.9,30.7,31.14,26.31
South Interior Karnataka,1912,1150.2,5.4,114.6,782.4,247.7,,28.95,24.88,31.1,31.15,26.57
South Interior Karnataka,1913,876.4,0.1,116.8,621.4,138.1,,28.67,24.25,30.89,30.92,26.42
South Interior Karnataka,1914,926.7,0.6,80.3,640.4,205.3,,28.66,24.59,30.73,30.84,26.4
South Interior Karnataka,1915,1031.9,12.4,142.0,667.8,209.6,,28.94,23.22,31.06,31.51,27.19
South Interior Karnataka,1916,1230.7,0.1,170.4,722.8,337.4,,28.82,24.57,31.88,30.52,26.31
South Interior Karnataka,1917,1094.3,37.5,86.1,715.0,255.7,,28.11,24.52,30.06,30.24,25.74
South Interior Karnataka,1918,733.3,11.7,165.0,318.1,238.5,,28.66,23.57,30.68,31.1,26.78
South Interior Karnataka,1919,1011.4,4.8,134.6,653.0,218.9,,28.66,23.71,31.17,30.8,26.6
South Interior Karnataka,1920,828.9,8.8,103.2,586.6,130.3,,28.76,23.64,30.4,31.08,27.45
South Interior Karnataka,1921,986.1,15.4,134.7,579.7,256.3,,28.86,23.91,32.05,30.81,26.43
South Interior Karnataka,1922,897.1,17.2,143.3,453.5,283.1,,28.8,24.43,31.21,30.9,26.38
South Interior Karnataka,1923,990.5,7.6,132.8,800.4,49.6,,28.74,23.73,31.4,30.98,26.43
South Interior Karnataka,1924,1127.0,1.0,140.5,868.3,117.2,,28.8,23.94,31.44,30.96,26.49
South Interior Karnataka,1925,982.2,0.1,187.9,612.4,181.9,,28.67,23.57,31.47,30.67,26.59
South Interior Karnataka,1926,897.0,23.4,108.7,666.4,98.5,,28.7,24.73,30.21,31.14,26.61
South Interior Karnataka,1927,863.7,2.5,98.9,668.7,93.5,,28.59,23.76,30.72,30.8,26.73
South Interior Karnataka,1928,950.5,44.9,133.5,500.8,271.3,,28.98,24.21,31.51,31.14,26.74
South Interior Karnataka,1929,1034.9,18.4,230.9,603.1,182.5,,28.76,23.53,31.72,31.03,26.28
South Interior Karnataka,1930,993.3,11.8,194.5,480.1,306.9,,28.65,23.2,30.94,30.98,26.9
South Interior Karnataka,1931,1012.6,0.0,130.4,695.7,186.5,,29.15,24.55,31.71,31.16,26.97
South Interior Karnataka,1932,1270.1,10.4,192.0,716.6,351.0,,29.09,24.51,31.17,31.25,27.18
South Interior Karnataka,1933,1329.2,2.9,230.3,793.4,302.5,,28.49,24.13,30.43,30.41,26.92
South Interior Karnataka,1934,786.3,6.3,94.6,473.3,212.1,,29.03,24.53,31.28,31.22,26.94
South Interior Karnataka,1935,954.5,7.4,106.3,635.2,205.6,,28.76,23.41,31.15,30.85,26.88
South Interior Karnataka,1936,958.4,6.3,152.5,629.2,170.5,,28.71,24.11,31.17,30.68,26.69
South Interior Karnataka,1937,911.2,9.9,187.0,532.0,182.2,,28.7,24.13,30.84,31.22,26.26
South Interior Karnataka,1938,871.4,3.9,103.9,714.6,49.1,,28.7,23.31,31.74,30.59,26.71
South Interior Karnataka,1939,1024.6,3.5,133.2,589.6,298.1,,28.85,24.25,30.76,31.06,27.05
South Interior Karnataka,1940,1180.0,0.2,199.1,650.4,330.4,,28.88,24.46,30.66,30.93,27.24
South Interior Karnataka,1941,937.6,3.4,119.9,626.2,188.1,,29.46,24.37,32.12,31.37,27.62
South Interior Karnataka,1942,932.9,2.1,136.4,634.8,159.5,,28.98,24.03,31.8,30.99,27.23
