SUBDIVISION,YEAR,ANNUAL,JF,MAM,JJAS,OND,Dengue cases,ANNUAL_TEMP,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC
Tamil Nadu,1901,960.3,63.6,131.6,350.1,415.0,,28.96,23.27,31.46,31.27,27.25
Tamil Nadu,1902,1138.2,77.0,131.7,306.7,622.9,,29.22,25.75,31.76,31.09,26.49
Tamil Nadu,1903,1163.9,27.1,148.4,456.5,531.9,,28.47,24.24,30.71,30.92,26.26
Tamil Nadu,1904,663.1,35.3,142.1,249.9,235.8,,28.49,23.62,30.95,30.66,26.4
Tamil Nadu,1905,821.1,14.0,165.7,264.1,377.2,,28.3,22.25,30.0,31.33,26.57
Tamil Nadu,1906,990.2,65.4,65.1,380.0,479.6,,28.73,23.03,31.11,30.86,27.29
Tamil Nadu,1907,885.6,9.6,160.5,291.9,423.6,,28.65,24.23,29.92,30.8,27.36
Tamil Nadu,1908,765.0,53.7,119.8,274.3,317.2,,28.83,24.42,31.43,30.72,26.64
Tamil Nadu,1909,954.6,127.7,193.8,379.7,253.6,,28.38,23.52,31.02,30.33,26.88
Tamil Nadu,1910,943.7,30.4,93.8,394.2,425.3,,28.53,24.2,31.14,30.48,26.2
Tamil Nadu,1911,814.9,3.9,108.9,270.3,431.9,,28.62,23.9,30.7,31.14,26.31
Tamil Nadu,1912,904.1,8.7,85.6,282.4,527.5,,28.95,24.88,31.1,31.15,26.57
Tamil Nadu,1913,878.8,6.1,92.2,275.4,505.1,,28.67,24.25,30.89,30.92,26.42
Tamil Nadu,1914,953.3,7.6,97.3,306.1,542.3,,28.66,24.59,30.73,30.84,26.4
Tamil Nadu,1915,988.5,53.2,133.0,399.9,402.3,,28.94,23.22,31.06,31.51,27.19
Tamil Nadu,1916,897.4,3.3,83.3,423.4,387.5,,28.82,24.57,31.88,30.52,26.31
Tamil Nadu,1917,948.3,53.4,121.7,436.7,336.5,,28.11,24.52,30.06,30.24,25.74
Tamil Nadu,1918,871.7,86.3,117.6,182.5,485.3,,28.66,23.57,30.68,31.1,26.78
Tamil Nadu,1919,1028.6,23.7,129.7,352.0,523.2,,28.66,23.71,31.17,30.8,26.6
Tamil Nadu,1920,1154.2,139.0,130.5,315.7,569.0,,28.76,23.64,30.4,31.08,27.45
Tamil Nadu,1921,979.4,141.3,113.5,356.1,368.6,,28.86,23.91,32.05,30.81,26.43
Tamil Nadu,1922,1080.5,60.1,137.5,256.7,626.2,,28.8,24.43,31.21,30.9,26.38
Tamil Nadu,1923,834.1,138.5,107.5,213.8,374.3,,28.74,23.73,31.4,30.98,26.43
Tamil Nadu,1924,895.1,30.4,136.9,426.7,301.2,,28.8,23.94,31.44,30.96,26.49
Tamil Nadu,1925,1013.3,22.1,172.2,258.3,560.8,,28.67,23.57,31.47,30.67,26.59
Tamil Nadu,1926,815.6,90.2,125.5,303.2,296.7,,28.7,24.73,30.21,31.14,26.61
Tamil Nadu,1927,829.9,39.6,141.6,357.8,291.0,,28.59,23.76,30.72,30.8,26.73
Tamil Nadu,1928,970.8,75.9,131.9,271.5,491.6,,28.98,24.21,31.51,31.14,26.74
Tamil Nadu,1929,977.7,49.6,167.4,317.9,442.8,,28.76,23.53,31.72,31.03,26.28
Tamil Nadu,1930,1275.4,113.9,221.4,268.7,671.4,,28.65,23.2,30.94,30.98,26.9
Tamil Nadu,1931,1039.8,22.7,113.0,304.4,599.5,,29.15,24.55,31.71,31.16,26.97
Tamil Nadu,1932,1109.8,32.6,179.8,324.6,572.8,,29.09,24.51,31.17,31.25,27.18
Tamil Nadu,1933,1010.9,7.7,199.1,372.0,432.2,,28.49,24.13,30.43,30.41,26.92
Tamil Nadu,1934,839.7,99.9,95.9,225.5,418.4,,29.03,24.53,31.28,31.22,26.94
Tamil Nadu,1935,893.9,40.0,96.9,330.6,426.3,,28.76,23.41,31.15,30.85,26.88
Tamil Nadu,1936,944.5,53.0,165.3,323.2,402.9,,28.71,24.11,31.17,30.68,26.69
Tamil Nadu,1937,1020.1,27.4,182.7,317.2,492.8,,28.7,24.13,30.84,31.22,26.26
Tamil Nadu,1938,783.2,53.3,133.7,417.5,178.6,,28.7,23.31,31.74,30.59,26.71
Tamil Nadu,1939,1055.8,36.1,218.1,283.0,518.6,,28.85,24.25,30.76,31.06,27.05
Tamil Nadu,1940,1178.5,1.6,226.9,334.8,615.2,,28.88,24.46,30.66,30.93,27.24
Tamil Nadu,1941,1006.9,36.1,130.9,367.8,472.1,,29.46,24.37,32.12,31.37,27.62
Tamil Nadu,1942,847.3,1.1,145.8,338.9,361.4,,28.98,24.03,31.8,30.99,27.23
Tamil Nadu,1943,1187.3,130.5,287.3,298.4,471.1,,28.8,24.03,30.8,30.83,27.33
Tamil Nadu,1944,1227.6,53.0,162.3,403.9,608.5,,28.89,23.62,31.03,31.25,27.16
Tamil Nadu,1945,784.0,10.1,117.9,265.7,390.3,,28.97,23.86,31.19,31.48,26.82
Tamil Nadu,1946,1294.1,20.8,168.4,344.7,760.2,,29.37,25.49,31.5,31.23,27.3
Tamil Nadu,1947,939.5,74.3,188.2,420.7,256.4,,28.84,23.99,31.78,31.2,26.7
Tamil Nadu,1948,906.7,61.6,118.4,318.4,408.3,,28.73,23.62,31.27,30.84,26.77
Tamil Nadu,1949,840.7,11.6,161.2,419.7,248.1,,28.89,24.49,31.27,30.88,26.79
Tamil Nadu,1950,747.5,70.4,83.1,298.1,296.0,,28.47,24.02,30.72,30.48,26.58
