SUBDIVISION,YEAR,ANNUAL,JF,MAM,JJAS,OND,Dengue cases,ANNUAL_TEMP,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC
Telangana,1901,827.7,48.7,75.0,616.4,87.7,,28.96,23.27,31.46,31.27,27.25
Telangana,1902,630.4,0.0,18.2,532.0,80.2,,29.22,25.75,31.76,31.09,26.49
Telangana,1903,1283.4,17.5,50.5,1042.9,172.4,,28.47,24.24,30.71,30.92,26.26
Telangana,1904,526.7,0.0,26.3,456.0,44.4,,28.49,23.62,30.95,30.66,26.4
Telangana,1905,724.9,4.3,72.6,628.4,19.6,,28.3,22.25,30.0,31.33,26.57
Telangana,1906,855.2,23.7,16.5,744.8,70.2,,28.73,23.03,31.11,30.86,27.29
Telangana,1907,843.7,4.3,72.3,758.1,8.9,,28.65,24.23,29.92,30.8,27.36
Telangana,1908,982.8,38.3,12.0,931.8,0.8,,28.83,24.42,31.43,30.72,26.64
Telangana,1909,769.5,6.3,29.1,729.2,4.8,,28.38,23.52,31.02,30.33,26.88
Telangana,1910,975.9,0.0,29.2,799.9,146.8,,28.53,24.2,31.14,30.48,26.2
Telangana,1911,662.0,0.0,16.4,606.7,39.0,,28.62,23.9,30.7,31.14,26.31
Telangana,1912,743.8,37.5,26.9,638.1,41.3,,28.95,24.88,31.1,31.15,26.57
Telangana,1913,732.2,13.4,42.6,631.3,44.9,,28.67,24.25,30.89,30.92,26.42
Telangana,1914,1083.5,0.0,76.8,978.1,28.5,,28.66,24.59,30.73,30.84,26.4
Telangana,1915,1022.0,24.0,123.3,729.0,145.7,,28.94,23.22,31.06,31.51,27.19
Telangana,1916,1162.6,4.1,32.0,878.4,248.1,,28.82,24.57,31.88,30.52,26.31
Telangana,1917,1206.0,65.5,119.9,907.3,113.4,,28.11,24.52,30.06,30.24,25.74
Telangana,1918,554.7,20.2,96.4,390.3,47.8,,28.66,23.57,30.68,31.1,26.78
Telangana,1919,894.6,44.8,89.9,543.4,216.6,,28.66,23.71,31.17,30.8,26.6
Telangana,1920,437.0,7.4,57.6,347.1,24.9,,28.76,23.64,30.4,31.08,27.45
Telangana,1921,1003.3,7.1,11.0,899.4,85.9,,28.86,23.91,32.05,30.81,26.43
Telangana,1922,767.5,55.3,56.7,581.9,73.7,,28.8,24.43,31.21,30.9,26.38
Telangana,1923,786.2,8.3,52.0,680.9,45.0,,28.74,23.73,31.4,30.98,26.43
Telangana,1924,944.5,37.0,43.8,695.9,167.7,,28.8,23.94,31.44,30.96,26.49
Telangana,1925,1167.9,0.0,147.6,821.6,198.7,,28.67,23.57,31.47,30.67,26.59
Telangana,1926,763.5,48.1,96.8,577.6,41.0,,28.7,24.73,30.21,31.14,26.61
