SUBDIVISION,YEAR,ANNUAL,JF,MAM,JJAS,OND,Dengue cases,ANNUAL_TEMP,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC
West Madhya Pradesh,1901,718.2,31.6,10.7,667.9,7.9,,28.96,23.27,31.46,31.27,27.25
West Madhya Pradesh,1902,911.7,30.5,8.0,811.2,62.0,,29.22,25.75,31.76,31.09,26.49
West Madhya Pradesh,1903,949.6,5.3,22.3,866.8,55.1,,28.47,24.24,30.71,30.92,26.26
West Madhya Pradesh,1904,774.4,18.7,26.9,714.1,14.7,,28.49,23.62,30.95,30.66,26.4
West Madhya Pradesh,1905,696.5,7.9,4.9,683.5,0.3,,28.3,22.25,30.0,31.33,26.57
West Madhya Pradesh,1906,1010.2,11.0,7.3,989.3,2.6,,28.73,23.03,31.11,30.86,27.29
West Madhya Pradesh,1907,650.4,30.3,15.7,596.6,7.8,,28.65,24.23,29.92,30.8,27.36
West Madhya Pradesh,1908,832.6,12.7,13.6,803.6,2.7,,28.83,24.42,31.43,30.72,26.64
West Madhya Pradesh,1909,830.2,5.6,35.0,760.8,28.8,,28.38,23.52,31.02,30.33,26.88
West Madhya Pradesh,1910,959.5,1.5,1.3,872.6,84.1,,28.53,24.2,31.14,30.48,26.2
West Madhya Pradesh,1911,676.5,16.7,4.3,599.9,55.6,,28.62,23.9,30.7,31.14,26.31
West Madhya Pradesh,1912,807.3,10.5,2.7,729.6,64.5,,28.95,24.88,31.1,31.15,26.57
West Madhya Pradesh,1913,790.5,7.6,31.2,737.7,14.1,,28.67,24.25,30.89,30.92,26.42
West Madhya Pradesh,1914,836.3,2.6,24.9,790.2,18.7,,28.66,24.59,30.73,30.84,26.4
West Madhya Pradesh,1915,772.7,34.0,46.3,608.5,83.9,,28.94,23.22,31.06,31.51,27.19
West Madhya Pradesh,1916,1219.2,8.6,17.9,1090.4,102.3,,28.82,24.57,31.88,30.52,26.31
West Madhya Pradesh,1917,1309.3,31.4,69.1,1114.3,94.5,,28.11,24.52,30.06,30.24,25.74
West Madhya Pradesh,1918,509.4,1.8,12.2,478.1,17.2,,28.66,23.57,30.68,31.1,26.78
West Madhya Pradesh,1919,1232.8,45.5,15.5,1109.1,62.7,,28.66,23.71,31.17,30.8,26.6
West Madhya Pradesh,1920,714.8,55.1,25.7,634.0,0.0,,28.76,23.64,30.4,31.08,27.45
West Madhya Pradesh,1921,808.7,29.0,0.0,778.3,1.3,,28.86,23.91,32.05,30.81,26.43
West Madhya Pradesh,1922,918.2,35.0,6.8,833.5,42.9,,28.8,24.43,31.21,30.9,26.38
West Madhya Pradesh,1923,1071.0,3.7,14.4,1043.4,9.5,,28.74,23.73,31.4,30.98,26.43
West Madhya Pradesh,1924,1031.3,15.4,3.2,924.9,87.9,,28.8,23.94,31.44,30.96,26.49
West Madhya Pradesh,1925,693.5,0.0,34.9,610.2,48.3,,28.67,23.57,31.47,30.67,26.59
West Madhya Pradesh,1926,913.8,16.8,19.8,862.8,14.5,,28.7,24.73,30.21,31.14,26.61
West Madhya Pradesh,1927,872.9,1.7,8.6,704.4,158.2,,28.59,23.76,30.72,30.8,26.73
West Madhya Pradesh,1928,895.6,32.3,5.3,737.7,120.3,,28.98,24.21,31.51,31.14,26.74
West Madhya Pradesh,1929,728.7,15.1,5.6,700.8,7.1,,28.76,23.53,31.72,31.03,26.28
West Madhya Pradesh,1930,888.2,3.3,7.3,839.8,37.8,,28.65,23.2,30.94,30.98,26.9
West Madhya Pradesh,1931,1131.6,3.5,2.0,979.9,146.2,,29.15,24.55,31.71,31.16,26.97
West Madhya Pradesh,1932,988.3,2.9,17.1,942.1,26.2,,29.09,24.51,31.17,31.25,27.18
West Madhya Pradesh,1933,1211.6,5.2,50.5,1113.3,42.7,,28.49,24.13,30.43,30.41,26.92
West Madhya Pradesh,1934,1164.9,7.0,6.9,1118.5,32.6,,29.03,24.53,31.28,31.22,26.94
West Madhya Pradesh,1935,871.1,8.2,8.4,826.6,27.9,,28.76,23.41,31.15,30.85,26.88
West Madhya Pradesh,1936,901.2,8.7,31.2,755.0,106.3,,28.71,24.11,31.17,30.68,26.69
West Madhya Pradesh,1937,1053.4,13.1,17.8,985.4,37.2,,28.7,24.13,30.84,31.22,26.26
West Madhya Pradesh,1938,1001.2,8.7,26.8,896.5,69.1,,28.7,23.31,31.74,30.59,26.71
West Madhya Pradesh,1939,802.5,7.1,8.8,780.8,5.8,,28.85,24.25,30.76,31.06,27.05
West Madhya Pradesh,1940,1064.7,14.9,18.7,963.1,68.1,,28.88,24.46,30.66,30.93,27.24
West Madhya Pradesh,1941,739.4,39.1,8.3,691.1,0.9,,29.46,24.37,32.12,31.37,27.62
West Madhya Pradesh,1942,1201.7,56.5,3.5,1130.1,11.6,,28.98,24.03,31.8,30.99,27.23
West Madhya Pradesh,1943,962.9,25.1,28.7,848.4,60.6,,28.8,24.03,30.8,30.83,27.33
West Madhya Pradesh,1944,1347.7,30.7,37.5,1226.8,52.8,,28.89,23.62,31.03,31.25,27.16
West Madhya Pradesh,1945,1047.4,22.2,6.9,1014.7,3.6,,28.97,23.86,31.19,31.48,26.82
West Madhya Pradesh,1946,1250.7,10.9,6.3,1086.1,147.5,,29.37,25.49,31.5,31.23,27.3
West Madhya Pradesh,1947,1064.7,22.3,7.9,1000.2,34.2,,28.84,23.99,31.78,31.2,26.7
West Madhya Pradesh,1948,1247.6,43.3,2.3,1122.9,79.1,,28.73,23.62,31.27,30.84,26.77
West Madhya Pradesh,1949,966.2,3.4,20.4,889.1,53.2,,28.89,24.49,31.27,30.88,26.79
West Madhya Pradesh,1950,904.5,4.4,21.2,859.2,19.8,,28.47,24.02,30.72,30.48,26.58
West Madhya Pradesh,1951,649.7,5.7,10.0,610.7,23.2,,29.09,24.16,30.67,31.13,27.77
West Madhya Pradesh,1952,829.1,9.5,4.2,806.4,9.0,,29.16,25.17,31.13,31.11,27.26
West Madhya Pradesh,1953,793.7,19.1,3.1,756.9,14.6,,29.43,24.71,32.19,31.12,27.56
West Madhya Pradesh,1954,1100.7,24.2,6.6,1052.6,17.3,,28.92,24.2,31.89,30.9,26.46
West Madhya Pradesh,1955,1149.2,29.0,3.6,977.1,139.5,,28.76,24.9,30.88,30.72,26.59
West Madhya Pradesh,1956,1065.8,11.7,53.0,886.8,114.3,,28.63,24.4,31.53,30.25,26.37
West Madhya Pradesh,1957,832.9,12.6,40.0,765.0,15.2,,28.64,23.87,30.42,31.07,26.82
