SUBDIVISION,YEAR,ANNUAL,JF,MAM,JJAS,OND,Dengue cases,ANNUAL_TEMP,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC
West Uttar Pradesh,1901,775.9,76.9,15.8,667.7,15.4,,28.96,23.27,31.46,31.27,27.25
West Uttar Pradesh,1902,736.6,9.2,12.7,704.1,10.6,,29.22,25.75,31.76,31.09,26.49
West Uttar Pradesh,1903,808.4,13.7,9.4,607.6,177.6,,28.47,24.24,30.71,30.92,26.26
West Uttar Pradesh,1904,945.2,8.2,54.9,835.5,46.6,,28.49,23.62,30.95,30.66,26.4
West Uttar Pradesh,1905,433.5,59.0,25.5,345.9,3.1,,28.3,22.25,30.0,31.33,26.57
West Uttar Pradesh,1906,978.7,66.5,25.2,880.2,6.8,,28.73,23.03,31.11,30.86,27.29
West Uttar Pradesh,1907,589.5,78.6,54.4,456.6,0.0,,28.65,24.23,29.92,30.8,27.36
West Uttar Pradesh,1908,866.3,33.9,15.7,814.6,2.2,,28.83,24.42,31.43,30.72,26.64
West Uttar Pradesh,1909,903.0,22.8,71.9,775.8,32.5,,28.38,23.52,31.02,30.33,26.88
West Uttar Pradesh,1910,875.9,13.6,15.0,688.3,159.0,,28.53,24.2,31.14,30.48,26.2
West Uttar Pradesh,1911,751.6,64.3,32.6,598.0,56.7,,28.62,23.9,30.7,31.14,26.31
West Uttar Pradesh,1912,804.5,30.5,17.7,745.2,11.0,,28.95,24.88,31.1,31.15,26.57
West Uttar Pradesh,1913,495.3,37.6,80.8,368.9,8.0,,28.67,24.25,30.89,30.92,26.42
West Uttar Pradesh,1914,887.5,8.5,70.2,791.9,16.9,,28.66,24.59,30.73,30.84,26.4
West Uttar Pradesh,1915,802.5,80.9,69.6,631.7,20.2,,28.94,23.22,31.06,31.51,27.19
West Uttar Pradesh,1916,1114.2,18.0,13.0,1027.0,56.3,,28.82,24.57,31.88,30.52,26.31
West Uttar Pradesh,1917,1120.2,35.3,77.0,924.3,83.6,,28.11,24.52,30.06,30.24,25.74
West Uttar Pradesh,1918,371.9,7.9,21.4,337.8,4.8,,28.66,23.57,30.68,31.1,26.78
West Uttar Pradesh,1919,969.1,73.0,23.4,842.1,30.5,,28.66,23.71,31.17,30.8,26.6
West Uttar Pradesh,1920,622.8,14.5,29.7,576.8,1.8,,28.76,23.64,30.4,31.08,27.45
West Uttar Pradesh,1921,992.3,50.7,5.1,923.7,12.9,,28.86,23.91,32.05,30.81,26.43
West Uttar Pradesh,1922,1000.8,40.9,4.1,931.6,24.2,,28.8,24.43,31.21,30.9,26.38
West Uttar Pradesh,1923,902.3,44.6,7.8,772.4,77.5,,28.74,23.73,31.4,30.98,26.43
West Uttar Pradesh,1924,1064.1,49.4,10.2,938.0,66.6,,28.8,23.94,31.44,30.96,26.49
West Uttar Pradesh,1925,943.8,4.4,18.1,896.3,25.1,,28.67,23.57,31.47,30.67,26.59
West Uttar Pradesh,1926,917.0,21.1,93.2,778.8,23.8,,28.7,24.73,30.21,31.14,26.61
West Uttar Pradesh,1927,934.2,23.0,42.7,708.6,159.9,,28.59,23.76,30.72,30.8,26.73
West Uttar Pradesh,1928,644.6,118.5,18.4,437.1,70.7,,28.98,24.21,31.51,31.14,26.74
West Uttar Pradesh,1929,650.1,28.7,9.1,561.0,51.3,,28.76,23.53,31.72,31.03,26.28
West Uttar Pradesh,1930,788.1,42.1,7.4,703.6,35.1,,28.65,23.2,30.94,30.98,26.9
West Uttar Pradesh,1931,930.8,26.4,12.9,807.0,84.4,,29.15,24.55,31.71,31.16,26.97
West Uttar Pradesh,1932,706.0,4.2,20.1,665.1,16.6,,29.09,24.51,31.17,31.25,27.18
West Uttar Pradesh,1933,1035.3,20.2,58.9,868.0,88.3,,28.49,24.13,30.43,30.41,26.92
West Uttar Pradesh,1934,897.7,29.9,29.6,825.3,12.9,,29.03,24.53,31.28,31.22,26.94
West Uttar Pradesh,1935,784.6,50.3,19.0,683.7,31.7,,28.76,23.41,31.15,30.85,26.88
West Uttar Pradesh,1936,1218.4,20.3,31.9,1123.3,42.9,,28.71,24.11,31.17,30.68,26.69
West Uttar Pradesh,1937,676.7,64.9,23.7,574.3,13.8,,28.7,24.13,30.84,31.22,26.26
