SUBDIVISION,YEAR,ANNUAL,JF,MAM,JJAS,OND,Dengue cases,ANNUAL_TEMP,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC
East Rajasthan,1901,412.5,30.5,8.5,362.9,10.6,,28.96,23.27,31.46,31.27,27.25
East Rajasthan,1902,578.3,4.8,11.7,544.5,17.2,,29.22,25.75,31.76,31.09,26.49
East Rajasthan,1903,686.1,2.7,14.2,651.4,17.8,,28.47,24.24,30.71,30.92,26.26
East Rajasthan,1904,694.5,9.8,49.4,613.3,22.0,,28.49,23.62,30.95,30.66,26.4
East Rajasthan,1905,279.8,12.8,6.8,259.6,0.6,,28.3,22.25,30.0,31.33,26.57
East Rajasthan,1906,647.4,23.4,7.8,611.3,4.9,,28.73,23.03,31.11,30.86,27.29
East Rajasthan,1907,551.8,42.0,34.0,475.7,0.0,,28.65,24.23,29.92,30.8,27.36
East Rajasthan,1908,870.2,14.7,8.3,845.6,1.7,,28.83,24.42,31.43,30.72,26.64
East Rajasthan,1909,781.6,6.2,48.3,704.6,22.4,,28.38,23.52,31.02,30.33,26.88
East Rajasthan,1910,685.3,9.0,3.2,622.9,50.2,,28.53,24.2,31.14,30.48,26.2
East Rajasthan,1911,420.4,14.1,19.2,359.3,27.8,,28.62,23.9,30.7,31.14,26.31
East Rajasthan,1912,655.4,14.9,10.0,621.6,9.0,,28.95,24.88,31.1,31.15,26.57
East Rajasthan,1913,498.3,9.5,46.9,423.3,18.5,,28.67,24.25,30.89,30.92,26.42
East Rajasthan,1914,676.6,0.9,8.7,647.0,20.0,,28.66,24.59,30.73,30.84,26.4
East Rajasthan,1915,401.8,49.2,40.6,242.0,69.9,,28.94,23.22,31.06,31.51,27.19
East Rajasthan,1916,845.3,3.2,10.3,805.1,26.6,,28.82,24.57,31.88,30.52,26.31
East Rajasthan,1917,1350.4,12.4,105.9,1132.0,100.1,,28.11,24.52,30.06,30.24,25.74
East Rajasthan,1918,273.6,4.0,5.6,260.2,3.7,,28.66,23.57,30.68,31.1,26.78
East Rajasthan,1919,787.0,29.3,20.2,705.8,31.8,,28.66,23.71,31.17,30.8,26.6
East Rajasthan,1920,596.7,12.3,49.2,535.0,0.1,,28.76,23.64,30.4,31.08,27.45
East Rajasthan,1921,547.8,18.3,0.2,527.6,1.6,,28.86,23.91,32.05,30.81,26.43
East Rajasthan,1922,669.9,6.3,9.4,639.7,14.5,,28.8,24.43,31.21,30.9,26.38
East Rajasthan,1923,690.1,10.5,17.2,650.2,12.2,,28.74,23.73,31.4,30.98,26.43
East Rajasthan,1924,924.4,19.5,5.3,830.2,69.4,,28.8,23.94,31.44,30.96,26.49
East Rajasthan,1925,483.7,0.1,14.8,445.7,23.2,,28.67,23.57,31.47,30.67,26.59
East Rajasthan,1926,832.4,7.3,49.8,774.9,0.4,,28.7,24.73,30.21,31.14,26.61
East Rajasthan,1927,725.8,9.4,8.0,645.4,63.0,,28.59,23.76,30.72,30.8,26.73
East Rajasthan,1928,608.3,19.3,2.9,485.2,100.9,,28.98,24.21,31.51,31.14,26.74
East Rajasthan,1929,576.0,5.1,10.9,550.3,9.7,,28.76,23.53,31.72,31.03,26.28
East Rajasthan,1930,661.3,17.7,22.8,568.8,52.1,,28.65,23.2,30.94,30.98,26.9
East Rajasthan,1931,774.2,2.5,12.1,697.8,61.9,,29.15,24.55,31.71,31.16,26.97
East Rajasthan,1932,543.8,0.9,23.3,516.7,2.8,,29.09,24.51,31.17,31.25,27.18
