SUBDIVISION,YEAR,ANNUAL,JF,MAM,JJAS,OND,Dengue cases,ANNUAL_TEMP,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC
Himachal Pradesh,1901,1345.1,312.3,183.8,825.9,23.0,,28.96,23.27,31.46,31.27,27.25
Himachal Pradesh,1902,951.6,33.6,241.9,650.0,26.1,,29.22,25.75,31.76,31.09,26.49
Himachal Pradesh,1903,993.3,97.9,293.7,554.2,47.4,,28.47,24.24,30.71,30.92,26.26
Himachal Pradesh,1904,987.6,101.7,270.0,515.0,100.9,,28.49,23.62,30.95,30.66,26.4
Himachal Pradesh,1905,930.2,158.1,249.8,486.6,35.6,,28.3,22.25,30.0,31.33,26.57
Himachal Pradesh,1906,1317.5,188.0,124.7,986.0,18.8,,28.73,23.03,31.11,30.86,27.29
Himachal Pradesh,1907,875.4,269.4,252.1,338.9,14.9,,28.65,24.23,29.92,30.8,27.36
Himachal Pradesh,1908,987.6,114.5,237.6,602.9,32.6,,28.83,24.42,31.43,30.72,26.64
Himachal Pradesh,1909,1077.0,193.0,76.1,740.4,67.5,,28.38,23.52,31.02,30.33,26.88
Himachal Pradesh,1910,1406.9,98.8,138.4,1071.4,98.3,,28.53,24.2,31.14,30.48,26.2
Himachal Pradesh,1911,1333.8,268.1,321.3,639.5,104.9,,28.62,23.9,30.7,31.14,26.31
Himachal Pradesh,1912,1207.6,130.3,170.1,867.9,39.3,,28.95,24.88,31.1,31.15,26.57
Himachal Pradesh,1913,1119.3,147.9,222.5,662.7,86.2,,28.67,24.25,30.89,30.92,26.42
Himachal Pradesh,1914,1735.9,104.7,292.4,1192.8,146.1,,28.66,24.59,30.73,30.84,26.4
Himachal Pradesh,1915,1236.8,162.6,176.0,854.8,43.4,,28.94,23.22,31.06,31.51,27.19
Himachal Pradesh,1916,1172.1,85.7,110.8,888.5,87.1,,28.82,24.57,31.88,30.52,26.31
Himachal Pradesh,1917,1703.6,50.5,304.5,1151.5,197.1,,28.11,24.52,30.06,30.24,25.74
Himachal Pradesh,1918,984.7,43.4,288.9,566.6,85.8,,28.66,23.57,30.68,31.1,26.78
Himachal Pradesh,1919,1213.1,188.6,179.4,791.7,53.3,,28.66,23.71,31.17,30.8,26.6
Himachal Pradesh,1920,1084.8,111.1,268.3,684.7,20.7,,28.76,23.64,30.4,31.08,27.45
Himachal Pradesh,1921,1311.2,108.7,70.6,968.0,164.0,,28.86,23.91,32.05,30.81,26.43
Himachal Pradesh,1922,1718.6,164.1,169.0,1314.7,70.9,,28.8,24.43,31.21,30.9,26.38
Himachal Pradesh,1923,1620.9,264.6,171.1,1021.9,163.2,,28.74,23.73,31.4,30.98,26.43
Himachal Pradesh,1924,1660.7,185.3,176.3,1210.0,89.0,,28.8,23.94,31.44,30.96,26.49
Himachal Pradesh,1925,1509.3,147.8,185.5,1054.3,121.6,,28.67,23.57,31.47,30.67,26.59
Himachal Pradesh,1926,1450.0,101.5,380.5,924.3,43.7,,28.7,24.73,30.21,31.14,26.61
Himachal Pradesh,1927,1435.0,150.0,178.8,1043.1,63.1,,28.59,23.76,30.72,30.8,26.73
Himachal Pradesh,1928,1308.9,241.9,157.2,756.0,153.8,,28.98,24.21,31.51,31.14,26.74
Himachal Pradesh,1929,1424.7,161.2,90.5,939.6,233.3,,28.76,23.53,31.72,31.03,26.28
Himachal Pradesh,1930,1305.5,163.0,168.6,930.0,43.9,,28.65,23.2,30.94,30.98,26.9
Himachal Pradesh,1931,1266.3,208.1,179.0,830.7,48.5,,29.15,24.55,31.71,31.16,26.97
Himachal Pradesh,1932,1418.9,95.9,140.7,1098.3,84.1,,29.09,24.51,31.17,31.25,27.18
Himachal Pradesh,1933,1240.4,153.8,244.3,782.2,60.2,,28.49,24.13,30.43,30.41,26.92
Himachal Pradesh,1934,982.1,104.7,182.5,623.2,71.7,,29.03,24.53,31.28,31.22,26.94
Himachal Pradesh,1935,1027.9,210.1,162.3,578.5,77.1,,28.76,23.41,31.15,30.85,26.88
Himachal Pradesh,1936,1158.0,122.7,221.9,716.2,97.1,,28.71,24.11,31.17,30.68,26.69
Himachal Pradesh,1937,1465.0,198.3,149.1,952.3,165.2,,28.7,24.13,30.84,31.22,26.26
Himachal Pradesh,1938,927.5,299.8,98.1,510.4,19.2,,28.7,23.31,31.74,30.59,26.71
Himachal Pradesh,1939,877.8,168.7,155.0,523.2,30.9,,28.85,24.25,30.76,31.06,27.05
Himachal Pradesh,1940,1088.6,144.0,186.2,730.4,28.0,,28.88,24.46,30.66,30.93,27.24
Himachal Pradesh,1941,895.5,93.9,162.3,589.9,49.5,,29.46,24.37,32.12,31.37,27.62
Himachal Pradesh,1942,1328.3,231.6,186.4,842.7,67.6,,28.98,24.03,31.8,30.99,27.23
Himachal Pradesh,1943,1223.1,197.2,249.6,763.0,13.3,,28.8,24.03,30.8,30.83,27.33
Himachal Pradesh,1944,1128.8,220.8,174.2,635.3,98.5,,28.89,23.62,31.03,31.25,27.16
Himachal Pradesh,1945,1646.9,206.3,210.4,1182.0,48.2,,28.97,23.86,31.19,31.48,26.82
Himachal Pradesh,1946,1539.0,131.0,176.5,1041.9,189.6,,29.37,25.49,31.5,31.23,27.3
Himachal Pradesh,1947,1313.2,116.2,119.4,1005.7,71.9,,28.84,23.99,31.78,31.2,26.7
Himachal Pradesh,1948,1758.7,218.5,443.2,1007.5,89.5,,28.73,23.62,31.27,30.84,26.77
Himachal Pradesh,1949,1310.9,168.0,161.7,961.5,19.7,,28.89,24.49,31.27,30.88,26.79
Himachal Pradesh,1950,1684.4,278.0,271.7,1125.6,9.2,,28.47,24.02,30.72,30.48,26.58
Himachal Pradesh,1951,1238.5,181.7,266.8,690.0,100.0,,29.09,24.16,30.67,31.13,27.77
Himachal Pradesh,1952,1263.7,169.2,293.4,742.8,58.2,,29.16,25.17,31.13,31.11,27.26
Himachal Pradesh,1953,1425.7,201.1,221.8,919.1,83.7,,29.43,24.71,32.19,31.12,27.56
Himachal Pradesh,1954,1717.6,468.3,152.4,1026.4,70.5,,28.92,24.2,31.89,30.9,26.46
