SUBDIVISION,YEAR,ANNUAL,JF,MAM,JJAS,OND,Dengue cases,ANNUAL_TEMP,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC
Kerala,1901,3248.6,73.4,386.2,2122.8,666.1,,28.96,23.27,31.46,31.27,27.25
Kerala,1902,3326.6,9.3,275.7,2403.4,638.2,,29.22,25.75,31.76,31.09,26.49
Kerala,1903,3271.2,21.7,336.3,2343.0,570.1,,28.47,24.24,30.71,30.92,26.26
Kerala,1904,3129.7,26.7,339.4,2398.2,365.3,,28.49,23.62,30.95,30.66,26.4
Kerala,1905,2741.6,23.4,378.5,1881.5,458.1,,28.3,22.25,30.0,31.33,26.57
Kerala,1906,2708.0,34.1,230.0,1943.1,500.8,,28.73,23.03,31.11,30.86,27.29
Kerala,1907,3671.1,23.7,328.0,2737.8,581.7,,28.65,24.23,29.92,30.8,27.36
Kerala,1908,2648.3,28.8,283.7,2023.6,312.2,,28.83,24.42,31.43,30.72,26.64
Kerala,1909,3050.2,65.9,628.3,1940.4,415.5,,28.38,23.52,31.02,30.33,26.88
Kerala,1910,2848.6,28.4,296.7,1886.5,637.0,,28.53,24.2,31.14,30.48,26.2
Kerala,1911,2726.7,7.3,249.7,1934.0,535.7,,28.62,23.9,30.7,31.14,26.31
Kerala,1912,3451.3,16.9,351.1,2453.1,630.2,,28.95,24.88,31.1,31.15,26.57
Kerala,1913,2610.8,8.3,295.2,1729.0,578.3,,28.67,24.25,30.89,30.92,26.42
Kerala,1914,2899.1,7.6,215.0,2066.1,610.5,,28.66,24.59,30.73,30.84,26.4
Kerala,1915,3024.5,40.4,303.1,2167.0,514.0,,28.94,23.22,31.06,31.51,27.19
Kerala,1916,2945.3,7.8,303.4,2170.2,463.9,,28.82,24.57,31.88,30.52,26.31
Kerala,1917,2704.8,50.5,240.4,1851.7,562.1,,28.11,24.52,30.06,30.24,25.74
Kerala,1918,2501.9,47.9,767.0,1104.3,582.6,,28.66,23.57,30.68,31.1,26.78
Kerala,1919,3003.3,49.2,346.8,2025.0,582.3,,28.66,23.71,31.17,30.8,26.6
Kerala,1920,3303.1,40.6,283.7,2318.2,660.6,,28.76,23.64,30.4,31.08,27.45
Kerala,1921,2719.9,47.8,290.3,1927.5,454.3,,28.86,23.91,32.05,30.81,26.43
Kerala,1922,3267.6,51.9,399.4,2231.2,585.1,,28.8,24.43,31.21,30.9,26.38
Kerala,1923,3484.7,25.3,202.3,2928.4,328.6,,28.74,23.73,31.4,30.98,26.43
Kerala,1924,4226.4,22.2,363.0,3451.3,389.9,,28.8,23.94,31.44,30.96,26.49
Kerala,1925,3062.1,20.5,428.5,1995.2,617.9,,28.67,23.57,31.47,30.67,26.59
Kerala,1926,2965.4,34.4,301.5,2307.8,321.7,,28.7,24.73,30.21,31.14,26.61
Kerala,1927,2994.7,54.1,401.4,2258.9,280.2,,28.59,23.76,30.72,30.8,26.73
Kerala,1928,2502.8,78.6,254.3,1640.4,529.4,,28.98,24.21,31.51,31.14,26.74
Kerala,1929,3361.6,42.6,417.6,2353.5,548.0,,28.76,23.53,31.72,31.03,26.28
Kerala,1930,3018.0,21.6,546.5,1719.7,730.2,,28.65,23.2,30.94,30.98,26.9
Kerala,1931,3259.6,3.6,277.8,2558.0,420.1,,29.15,24.55,31.71,31.16,26.97
Kerala,1932,3403.0,19.4,788.1,1797.8,797.7,,29.09,24.51,31.17,31.25,27.18
Kerala,1933,4072.9,10.3,915.2,2581.9,565.5,,28.49,24.13,30.43,30.41,26.92
Kerala,1934,2410.7,76.2,246.8,1653.5,434.2,,29.03,24.53,31.28,31.22,26.94
Kerala,1935,2498.2,32.3,195.4,1682.9,587.6,,28.76,23.41,31.15,30.85,26.88
Kerala,1936,3043.3,17.7,616.6,1947.5,461.5,,28.71,24.11,31.17,30.68,26.69
Kerala,1937,2818.2,27.7,371.3,1877.1,542.0,,28.7,24.13,30.84,31.22,26.26
Kerala,1938,2634.1,79.4,397.3,1841.3,316.1,,28.7,23.31,31.74,30.59,26.71
Kerala,1939,2937.5,17.2,302.8,1969.4,648.1,,28.85,24.25,30.76,31.06,27.05
Kerala,1940,3117.8,2.1,347.6,2162.7,605.3,,28.88,24.46,30.66,30.93,27.24
Kerala,1941,3111.1,20.5,532.0,2031.8,526.7,,29.46,24.37,32.12,31.37,27.62
Kerala,1942,3050.9,7.0,395.4,2071.4,577.0,,28.98,24.03,31.8,30.99,27.23
Kerala,1943,3464.2,98.1,624.3,2067.0,674.9,,28.8,24.03,30.8,30.83,27.33
Kerala,1944,2490.0,33.0,336.0,1498.7,622.3,,28.89,23.62,31.03,31.25,27.16
Kerala,1945,2432.4,14.3,170.2,1716.5,531.4,,28.97,23.86,31.19,31.48,26.82
Kerala,1946,3565.5,7.3,331.2,2485.7,741.3,,29.37,25.49,31.5,31.23,27.3
Kerala,1947,2998.1,49.5,325.9,2359.5,263.2,,28.84,23.99,31.78,31.2,26.7
Kerala,1948,3039.2,51.3,385.5,2183.7,418.7,,28.73,23.62,31.27,30.84,26.77
Kerala,1949,2942.6,2.4,542.6,2094.7,302.8,,28.89,24.49,31.27,30.88,26.79
Kerala,1950,3146.6,53.8,341.5,2342.9,408.4,,28.47,24.02,30.72,30.48,26.58
Kerala,1951,2705.5,13.1,366.0,1823.0,503.5,,29.09,24.16,30.67,31.13,27.77
Kerala,1952,2334.8,53.4,347.6,1477.7,456.1,,29.16,25.17,31.13,31.11,27.26
Kerala,1953,2544.9,35.7,206.3,1825.1,477.8,,29.43,24.71,32.19,31.12,27.56
Kerala,1954,2938.0,26.3,407.0,2107.4,397.2,,28.92,24.2,31.89,30.9,26.46
Kerala,1955,3134.7,10.5,698.3,1849.7,576.1,,28.76,24.9,30.88,30.72,26.59
Kerala,1956,2798.4,19.6,518.0,1720.1,540.6,,28.63,24.4,31.53,30.25,26.37
Kerala,1957,3103.3,17.2,477.2,2107.4,501.5,,28.64,23.87,30.42,31.07,26.82
Kerala,1958,2923.1,23.7,545.9,1948.7,404.8,,29.34,25.43,31.74,31.23,27.01
Kerala,1959,3746.0,24.3,504.2,2831.2,386.3,,29.02,24.05,31.71,30.99,27.03
Kerala,1960,3385.5,17.8,791.0,1939.2,637.5,,29.31,25.49,31.17,31.29,27.36
Kerala,1961,4257.8,45.0,606.0,3229.3,377.6,,28.72,24.18,31.47,30.75,26.3
Kerala,1962,3375.8,83.1,607.1,2101.6,584.0,,28.89,24.24,31.31,31.08,26.65
Kerala,1963,2651.1,55.0,323.2,1848.5,424.4,,29.04,24.73,30.94,31.28,27.0
Kerala,1964,2869.1,8.8,245.2,2079.8,535.2,,29.09,24.29,31.89,30.82,27.2
Kerala,1965,2342.4,10.0,352.6,1508.9,470.9,,29.16,24.67,30.73,31.37,27.61
Kerala,1966,2621.7,9.9,330.3,1593.3,688.2,,29.41,25.54,31.69,31.24,27.26
Kerala,1967,2569.1,14.4,339.6,1937.3,277.8,,29.14,25.31,31.04,31.32,26.9
Kerala,1968,3392.7,37.8,312.5,2711.4,331.0,,29.07,23.68,31.24,31.55,27.19
Kerala,1969,2665.0,9.1,364.0,1870.6,421.3,,29.61,24.99,32.02,31.55,27.71
