SUBDIVISION,YEAR,ANNUAL,JF,MAM,JJAS,OND,Dengue cases,ANNUAL_TEMP,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC
Konkan & Goa,1901,2792.9,5.7,56.0,2687.0,44.1,,28.96,23.27,31.46,31.27,27.25
Konkan & Goa,1902,2673.9,0.3,8.0,2500.6,165.0,,29.22,25.75,31.76,31.09,26.49
Konkan & Goa,1903,3084.3,0.0,201.2,2728.2,154.9,,28.47,24.24,30.71,30.92,26.26
Konkan & Goa,1904,2393.7,0.1,17.5,2285.8,90.3,,28.49,23.62,30.95,30.66,26.4
Konkan & Goa,1905,1682.8,0.2,9.0,1578.1,95.5,,28.3,22.25,30.0,31.33,26.57
Konkan & Goa,1906,2418.9,5.9,2.9,2367.5,42.6,,28.73,23.03,31.11,30.86,27.29
Konkan & Goa,1907,2766.6,2.8,20.1,2729.5,14.2,,28.65,24.23,29.92,30.8,27.36
Konkan & Goa,1908,2735.5,2.0,3.3,2704.0,26.2,,28.83,24.42,31.43,30.72,26.64
Konkan & Goa,1909,2860.5,0.1,8.2,2827.2,25.0,,28.38,23.52,31.02,30.33,26.88
Konkan & Goa,1910,2544.0,0.0,2.9,2378.0,163.1,,28.53,24.2,31.14,30.48,26.2
Konkan & Goa,1911,2134.7,0.2,20.4,2055.0,59.1,,28.62,23.9,30.7,31.14,26.31
Konkan & Goa,1912,2793.3,0.0,33.0,2590.8,169.5,,28.95,24.88,31.1,31.15,26.57
Konkan & Goa,1913,2617.4,0.0,20.0,2488.4,109.1,,28.67,24.25,30.89,30.92,26.42
Konkan & Goa,1914,3464.6,0.8,2.5,3424.7,36.6,,28.66,24.59,30.73,30.84,26.4
Konkan & Goa,1915,2525.8,4.8,23.8,2346.7,150.5,,28.94,23.22,31.06,31.51,27.19
Konkan & Goa,1916,3402.6,0.0,42.3,3069.5,290.8,,28.82,24.57,31.88,30.52,26.31
Konkan & Goa,1917,3430.9,18.4,19.0,2952.9,440.6,,28.11,24.52,30.06,30.24,25.74
Konkan & Goa,1918,1867.3,0.1,348.8,1460.4,57.9,,28.66,23.57,30.68,31.1,26.78
Konkan & Goa,1919,2851.7,2.5,9.6,2684.0,155.6,,28.66,23.71,31.17,30.8,26.6
Konkan & Goa,1920,1924.1,15.3,17.2,1836.4,55.3,,28.76,23.64,30.4,31.08,27.45
Konkan & Goa,1921,2899.2,0.3,5.0,2822.7,71.2,,28.86,23.91,32.05,30.81,26.43
Konkan & Goa,1922,2817.5,0.0,19.7,2665.3,132.5,,28.8,24.43,31.21,30.9,26.38
Konkan & Goa,1923,2770.5,0.5,13.8,2747.7,8.4,,28.74,23.73,31.4,30.98,26.43
Konkan & Goa,1924,2444.3,0.0,0.6,2420.9,22.8,,28.8,23.94,31.44,30.96,26.49
Konkan & Goa,1925,2305.1,0.1,133.6,2078.3,93.2,,28.67,23.57,31.47,30.67,26.59
Konkan & Goa,1926,3165.9,31.8,1.5,3092.3,40.3,,28.7,24.73,30.21,31.14,26.61
