SUBDIVISION,YEAR,ANNUAL,JF,MAM,JJAS,OND,Dengue cases,ANNUAL_TEMP,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC
Madhya Maharashtra,1901,769.0,19.4,74.7,601.4,73.5,,28.96,23.27,31.46,31.27,27.25
Madhya Maharashtra,1902,784.0,7.8,14.9,597.5,163.8,,29.22,25.75,31.76,31.09,26.49
Madhya Maharashtra,1903,837.9,7.6,80.4,665.9,84.1,,28.47,24.24,30.71,30.92,26.26
Madhya Maharashtra,1904,603.5,5.1,23.4,483.6,91.4,,28.49,23.62,30.95,30.66,26.4
Madhya Maharashtra,1905,537.8,1.2,25.9,449.5,61.2,,28.3,22.25,30.0,31.33,26.57
Madhya Maharashtra,1906,744.3,11.3,9.4,677.8,45.8,,28.73,23.03,31.11,30.86,27.29
Madhya Maharashtra,1907,815.1,4.2,56.6,742.3,12.1,,28.65,24.23,29.92,30.8,27.36
Madhya Maharashtra,1908,722.0,0.3,16.8,684.6,20.3,,28.83,24.42,31.43,30.72,26.64
Madhya Maharashtra,1909,755.2,1.3,40.6,674.4,38.9,,28.38,23.52,31.02,30.33,26.88
Madhya Maharashtra,1910,915.2,0.0,14.0,800.9,100.3,,28.53,24.2,31.14,30.48,26.2
Madhya Maharashtra,1911,544.3,2.1,14.3,457.6,70.3,,28.62,23.9,30.7,31.14,26.31
Madhya Maharashtra,1912,764.9,0.5,29.9,580.5,153.9,,28.95,24.88,31.1,31.15,26.57
Madhya Maharashtra,1913,732.5,0.2,42.4,640.1,49.8,,28.67,24.25,30.89,30.92,26.42
Madhya Maharashtra,1914,1039.0,0.4,19.2,953.0,66.3,,28.66,24.59,30.73,30.84,26.4
Madhya Maharashtra,1915,908.1,15.3,48.0,729.1,115.7,,28.94,23.22,31.06,31.51,27.19
Madhya Maharashtra,1916,1072.4,0.2,60.5,805.9,206.0,,28.82,24.57,31.88,30.52,26.31
Madhya Maharashtra,1917,938.2,20.1,28.1,687.1,203.0,,28.11,24.52,30.06,30.24,25.74
Madhya Maharashtra,1918,438.0,5.6,94.0,287.6,50.8,,28.66,23.57,30.68,31.1,26.78
Madhya Maharashtra,1919,879.1,3.5,42.2,757.9,75.5,,28.66,23.71,31.17,30.8,26.6
Madhya Maharashtra,1920,600.3,41.7,17.8,514.5,26.3,,28.76,23.64,30.4,31.08,27.45
Madhya Maharashtra,1921,734.3,1.6,10.4,651.1,71.2,,28.86,23.91,32.05,30.81,26.43
Madhya Maharashtra,1922,805.2,20.9,44.1,556.5,183.7,,28.8,24.43,31.21,30.9,26.38
Madhya Maharashtra,1923,680.9,3.5,51.9,616.7,8.7,,28.74,23.73,31.4,30.98,26.43
Madhya Maharashtra,1924,748.2,2.1,27.1,660.4,58.6,,28.8,23.94,31.44,30.96,26.49
Madhya Maharashtra,1925,661.8,0.0,43.5,539.6,78.6,,28.67,23.57,31.47,30.67,26.59
Madhya Maharashtra,1926,787.1,34.9,11.5,722.2,18.6,,28.7,24.73,30.21,31.14,26.61
Madhya Maharashtra,1927,925.2,1.0,14.9,772.7,136.6,,28.59,23.76,30.72,30.8,26.73
Madhya Maharashtra,1928,831.7,10.3,12.0,729.7,79.6,,28.98,24.21,31.51,31.14,26.74
Madhya Maharashtra,1929,690.4,7.4,45.5,549.4,88.1,,28.76,23.53,31.72,31.03,26.28
Madhya Maharashtra,1930,929.1,0.0,33.6,765.3,130.1,,28.65,23.2,30.94,30.98,26.9
Madhya Maharashtra,1931,1132.4,0.0,17.5,838.5,276.3,,29.15,24.55,31.71,31.16,26.97
Madhya Maharashtra,1932,1045.1,0.5,58.3,803.1,183.2,,29.09,24.51,31.17,31.25,27.18
Madhya Maharashtra,1933,1152.4,1.9,88.4,922.5,139.6,,28.49,24.13,30.43,30.41,26.92
Madhya Maharashtra,1934,858.3,3.7,17.2,714.2,123.2,,29.03,24.53,31.28,31.22,26.94
Madhya Maharashtra,1935,819.0,2.6,5.1,680.3,131.0,,28.76,23.41,31.15,30.85,26.88
Madhya Maharashtra,1936,735.6,7.5,29.2,550.9,147.9,,28.71,24.11,31.17,30.68,26.69
Madhya Maharashtra,1937,914.4,2.0,54.4,749.5,108.4,,28.7,24.13,30.84,31.22,26.26
Madhya Maharashtra,1938,1126.3,1.6,86.1,887.4,151.2,,28.7,23.31,31.74,30.59,26.71
Madhya Maharashtra,1939,821.9,0.5,11.5,740.0,70.0,,28.85,24.25,30.76,31.06,27.05
Madhya Maharashtra,1940,893.2,3.1,32.8,727.9,129.4,,28.88,24.46,30.66,30.93,27.24
Madhya Maharashtra,1941,774.3,36.2,11.4,681.7,45.0,,29.46,24.37,32.12,31.37,27.62
Madhya Maharashtra,1942,941.3,2.8,17.0,863.4,58.2,,28.98,24.03,31.8,30.99,27.23
Madhya Maharashtra,1943,993.2,4.1,68.4,713.9,206.7,,28.8,24.03,30.8,30.83,27.33
Madhya Maharashtra,1944,1086.0,1.6,31.8,923.7,128.9,,28.89,23.62,31.03,31.25,27.16
Madhya Maharashtra,1945,793.4,4.2,15.0,730.7,43.4,,28.97,23.86,31.19,31.48,26.82
Madhya Maharashtra,1946,1103.6,2.9,56.3,853.1,191.3,,29.37,25.49,31.5,31.23,27.3
Madhya Maharashtra,1947,905.7,20.0,55.0,782.7,48.0,,28.84,23.99,31.78,31.2,26.7
Madhya Maharashtra,1948,1016.3,17.6,20.7,774.1,203.8,,28.73,23.62,31.27,30.84,26.77
Madhya Maharashtra,1949,953.7,0.0,65.3,800.4,87.9,,28.89,24.49,31.27,30.88,26.79
Madhya Maharashtra,1950,932.6,0.2,30.6,811.4,90.3,,28.47,24.02,30.72,30.48,26.58
Madhya Maharashtra,1951,797.0,0.1,39.4,608.3,149.1,,29.09,24.16,30.67,31.13,27.77
Madhya Maharashtra,1952,683.3,1.9,27.8,596.2,57.5,,29.16,25.17,31.13,31.11,27.26
Madhya Maharashtra,1953,893.6,1.2,26.5,749.8,116.1,,29.43,24.71,32.19,31.12,27.56
Madhya Maharashtra,1954,985.1,2.4,37.8,898.5,46.4,,28.92,24.2,31.89,30.9,26.46
Madhya Maharashtra,1955,981.0,3.2,44.7,763.7,169.4,,28.76,24.9,30.88,30.72,26.59
Madhya Maharashtra,1956,1233.8,1.7,103.6,889.3,239.2,,28.63,24.4,31.53,30.25,26.37
Madhya Maharashtra,1957,849.8,0.1,62.6,675.1,112.0,,28.64,23.87,30.42,31.07,26.82
Madhya Maharashtra,1958,1054.1,1.6,61.9,903.9,86.7,,29.34,25.43,31.74,31.23,27.01
Madhya Maharashtra,1959,1118.9,2.4,56.1,920.7,139.7,,29.02,24.05,31.71,30.99,27.03
Madhya Maharashtra,1960,885.9,3.6,69.5,748.4,64.4,,29.31,25.49,31.17,31.29,27.36
Madhya Maharashtra,1961,1070.5,0.4,114.5,815.2,140.4,,28.72,24.18,31.47,30.75,26.3
Madhya Maharashtra,1962,899.0,0.3,76.8,698.3,123.6,,28.89,24.24,31.31,31.08,26.65
Madhya Maharashtra,1963,899.9,5.1,49.3,732.3,113.2,,29.04,24.73,30.94,31.28,27.0
Madhya Maharashtra,1964,945.7,0.0,17.3,844.0,84.3,,29.09,24.29,31.89,30.82,27.2
Madhya Maharashtra,1965,790.7,6.1,22.9,718.7,43.0,,29.16,24.67,30.73,31.37,27.61
Madhya Maharashtra,1966,837.3,2.4,85.0,641.7,108.3,,29.41,25.54,31.69,31.24,27.26
Madhya Maharashtra,1967,913.0,0.1,25.8,783.4,103.7,,29.14,25.31,31.04,31.32,26.9
Madhya Maharashtra,1968,824.0,5.2,23.2,719.6,76.0,,29.07,23.68,31.24,31.55,27.19
Madhya Maharashtra,1969,984.1,0.2,11.3,929.5,43.2,,29.61,24.99,32.02,31.55,27.71
Madhya Maharashtra,1970,941.4,1.0,57.6,811.8,70.9,,29.47,25.19,32.03,31.16,27.5
Madhya Maharashtra,1971,773.2,0.0,47.1,670.1,56.0,,29.15,24.99,31.58,30.91,27.17
