SUBDIVISION,YEAR,ANNUAL,JF,MAM,JJAS,OND,Dengue cases,ANNUAL_TEMP,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC
Naga Mani Mizo Tripura,1901,2168.4,29.8,359.6,1544.8,234.2,,28.96,23.27,31.46,31.27,27.25
Naga Mani Mizo Tripura,1902,2175.0,5.2,549.7,1504.0,116.0,,29.22,25.75,31.76,31.09,26.49
Naga Mani Mizo Tripura,1903,2230.7,47.0,345.1,1595.4,243.2,,28.47,24.24,30.71,30.92,26.26
Naga Mani Mizo Tripura,1904,2519.8,49.3,568.3,1678.2,224.0,,28.49,23.62,30.95,30.66,26.4
Naga Mani Mizo Tripura,1905,2527.6,44.5,661.8,1539.8,281.5,,28.3,22.25,30.0,31.33,26.57
Naga Mani Mizo Tripura,1906,2514.4,78.5,474.2,1770.9,190.9,,28.73,23.03,31.11,30.86,27.29
Naga Mani Mizo Tripura,1907,2121.7,69.5,437.9,1442.4,171.9,,28.65,24.23,29.92,30.8,27.36
Naga Mani Mizo Tripura,1908,2319.3,41.4,397.5,1581.3,299.1,,28.83,24.42,31.43,30.72,26.64
Naga Mani Mizo Tripura,1909,2308.7,10.7,439.9,1549.9,308.1,,28.38,23.52,31.02,30.33,26.88
Naga Mani Mizo Tripura,1910,2267.9,36.9,397.0,1625.8,208.3,,28.53,24.2,31.14,30.48,26.2
Naga Mani Mizo Tripura,1911,2479.8,59.1,574.9,1602.0,243.7,,28.62,23.9,30.7,31.14,26.31
Naga Mani Mizo Tripura,1912,2308.8,37.7,656.2,1394.9,220.0,,28.95,24.88,31.1,31.15,26.57
Naga Mani Mizo Tripura,1913,2613.2,67.7,512.2,1717.1,316.2,,28.67,24.25,30.89,30.92,26.42
Naga Mani Mizo Tripura,1914,2529.2,98.4,662.1,1543.5,225.2,,28.66,24.59,30.73,30.84,26.4
Naga Mani Mizo Tripura,1915,2819.9,49.4,737.2,1764.1,269.2,,28.94,23.22,31.06,31.51,27.19
Naga Mani Mizo Tripura,1916,2555.0,30.7,381.6,1663.1,479.6,,28.82,24.57,31.88,30.52,26.31
Naga Mani Mizo Tripura,1917,2222.2,83.1,436.4,1491.4,211.3,,28.11,24.52,30.06,30.24,25.74
Naga Mani Mizo Tripura,1918,3013.3,9.9,725.3,2145.5,132.5,,28.66,23.57,30.68,31.1,26.78
Naga Mani Mizo Tripura,1919,2047.9,35.6,301.0,1509.7,201.6,,28.66,23.71,31.17,30.8,26.6
Naga Mani Mizo Tripura,1920,2375.8,61.9,584.3,1582.7,146.9,,28.76,23.64,30.4,31.08,27.45
Naga Mani Mizo Tripura,1921,2638.2,70.9,628.8,1644.7,293.8,,28.86,23.91,32.05,30.81,26.43
Naga Mani Mizo Tripura,1922,2462.6,13.0,318.7,1916.2,214.8,,28.8,24.43,31.21,30.9,26.38
Naga Mani Mizo Tripura,1923,2685.5,64.9,525.8,1781.5,313.3,,28.74,23.73,31.4,30.98,26.43
Naga Mani Mizo Tripura,1924,2701.7,48.8,480.1,1779.7,393.0,,28.8,23.94,31.44,30.96,26.49
Naga Mani Mizo Tripura,1925,2447.5,79.4,616.2,1544.3,207.7,,28.67,23.57,31.47,30.67,26.59
Naga Mani Mizo Tripura,1926,2463.2,94.1,562.3,1567.7,239.1,,28.7,24.73,30.21,31.14,26.61
