SUBDIVISION,YEAR,ANNUAL,JF,MAM,JJAS,OND,Dengue cases,ANNUAL_TEMP,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC
Punjab,1901,523.5,105.9,52.5,358.1,7.0,,28.96,23.27,31.46,31.27,27.25
Punjab,1902,398.0,0.8,50.4,337.7,9.1,,29.22,25.75,31.76,31.09,26.49
Punjab,1903,571.0,29.9,55.5,469.1,16.4,,28.47,24.24,30.71,30.92,26.26
Punjab,1904,451.5,25.9,102.9,279.7,43.1,,28.49,23.62,30.95,30.66,26.4
Punjab,1905,434.3,93.3,27.0,303.2,10.7,,28.3,22.25,30.0,31.33,26.57
Punjab,1906,677.5,88.4,56.6,509.8,22.7,,28.73,23.03,31.11,30.86,27.29
Punjab,1907,589.2,122.6,107.2,358.9,0.4,,28.65,24.23,29.92,30.8,27.36
Punjab,1908,740.4,58.7,43.7,633.1,4.9,,28.83,24.42,31.43,30.72,26.64
Punjab,1909,846.1,55.1,50.7,698.2,42.1,,28.38,23.52,31.02,30.33,26.88
Punjab,1910,616.3,32.7,5.2,552.6,25.7,,28.53,24.2,31.14,30.48,26.2
Punjab,1911,505.6,119.4,113.1,228.8,44.4,,28.62,23.9,30.7,31.14,26.31
Punjab,1912,536.4,58.5,38.3,418.9,20.7,,28.95,24.88,31.1,31.15,26.57
Punjab,1913,561.2,59.6,100.9,380.1,20.6,,28.67,24.25,30.89,30.92,26.42
Punjab,1914,794.4,46.7,77.7,618.5,51.5,,28.66,24.59,30.73,30.84,26.4
Punjab,1915,421.7,88.5,61.9,249.6,21.7,,28.94,23.22,31.06,31.51,27.19
Punjab,1916,588.4,23.7,15.4,527.6,21.6,,28.82,24.57,31.88,30.52,26.31
Punjab,1917,1126.7,9.6,115.7,835.5,165.9,,28.11,24.52,30.06,30.24,25.74
Punjab,1918,339.6,4.4,100.5,226.5,8.3,,28.66,23.57,30.68,31.1,26.78
Punjab,1919,549.9,93.7,27.9,391.7,36.5,,28.66,23.71,31.17,30.8,26.6
Punjab,1920,383.1,44.0,41.9,295.3,1.9,,28.76,23.64,30.4,31.08,27.45
Punjab,1921,370.4,23.2,2.5,297.2,47.6,,28.86,23.91,32.05,30.81,26.43
Punjab,1922,513.6,37.8,7.7,432.1,36.0,,28.8,24.43,31.21,30.9,26.38
Punjab,1923,737.9,99.4,50.2,536.0,52.3,,28.74,23.73,31.4,30.98,26.43
Punjab,1924,590.8,81.4,21.3,452.1,36.0,,28.8,23.94,31.44,30.96,26.49
Punjab,1925,629.6,20.2,29.8,562.3,17.3,,28.67,23.57,31.47,30.67,26.59
Punjab,1926,607.3,21.6,101.2,478.7,5.8,,28.7,24.73,30.21,31.14,26.61
Punjab,1927,481.0,40.5,40.4,364.7,35.5,,28.59,23.76,30.72,30.8,26.73
Punjab,1928,437.1,46.9,19.2,306.1,64.9,,28.98,24.21,31.51,31.14,26.74
Punjab,1929,423.0,10.0,13.2,329.0,70.8,,28.76,23.53,31.72,31.03,26.28
Punjab,1930,557.2,52.5,27.1,462.4,15.1,,28.65,23.2,30.94,30.98,26.9
Punjab,1931,588.6,39.6,42.5,484.2,22.3,,29.15,24.55,31.71,31.16,26.97
Punjab,1932,490.3,32.2,47.7,378.7,31.6,,29.09,24.51,31.17,31.25,27.18
Punjab,1933,860.6,32.6,68.6,747.2,12.2,,28.49,24.13,30.43,30.41,26.92
Punjab,1934,429.2,20.0,46.0,353.3,9.9,,29.03,24.53,31.28,31.22,26.94
Punjab,1935,598.2,114.5,59.1,401.9,22.6,,28.76,23.41,31.15,30.85,26.88
Punjab,1936,626.4,60.1,33.7,498.4,34.3,,28.71,24.11,31.17,30.68,26.69
Punjab,1937,571.1,101.8,60.8,374.7,33.8,,28.7,24.13,30.84,31.22,26.26
Punjab,1938,430.9,99.7,14.3,306.4,10.5,,28.7,23.31,31.74,30.59,26.71
Punjab,1939,403.7,67.2,67.2,266.8,2.6,,28.85,24.25,30.76,31.06,27.05
Punjab,1940,532.2,81.9,23.0,426.6,0.7,,28.88,24.46,30.66,30.93,27.24
Punjab,1941,506.3,63.8,28.6,394.0,19.9,,29.46,24.37,32.12,31.37,27.62
Punjab,1942,871.6,84.4,48.4,693.9,44.9,,28.98,24.03,31.8,30.99,27.23
Punjab,1943,422.3,57.4,25.5,338.9,0.6,,28.8,24.03,30.8,30.83,27.33
Punjab,1944,626.9,86.9,96.7,418.7,24.7,,28.89,23.62,31.03,31.25,27.16
Punjab,1945,805.3,71.4,33.6,693.6,6.7,,28.97,23.86,31.19,31.48,26.82
Punjab,1946,478.1,18.7,30.6,350.5,78.3,,29.37,25.49,31.5,31.23,27.3
Punjab,1947,600.9,37.7,14.8,509.1,39.3,,28.84,23.99,31.78,31.2,26.7
Punjab,1948,620.2,73.0,75.3,454.8,17.2,,28.73,23.62,31.27,30.84,26.77
