SUBDIVISION,YEAR,ANNUAL,JF,MAM,JJAS,OND,Dengue cases,ANNUAL_TEMP,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC
Sub Himalayan West Bengal & Sikkim,1901,2113.2,41.3,238.9,1757.0,76.1,,28.96,23.27,31.46,31.27,27.25
Sub Himalayan West Bengal & Sikkim,1902,3180.4,1.9,484.6,2613.9,80.1,,29.22,25.75,31.76,31.09,26.49
Sub Himalayan West Bengal & Sikkim,1903,2404.5,14.3,201.9,2046.7,141.6,,28.47,24.24,30.71,30.92,26.26
Sub Himalayan West Bengal & Sikkim,1904,2169.9,32.5,458.8,1503.7,174.8,,28.49,23.62,30.95,30.66,26.4
Sub Himalayan West Bengal & Sikkim,1905,3005.0,43.2,447.0,2405.6,109.3,,28.3,22.25,30.0,31.33,26.57
Sub Himalayan West Bengal & Sikkim,1906,2618.0,58.5,241.5,2169.0,149.0,,28.73,23.03,31.11,30.86,27.29
Sub Himalayan West Bengal & Sikkim,1907,2530.0,31.2,336.1,2112.9,49.8,,28.65,24.23,29.92,30.8,27.36
Sub Himalayan West Bengal & Sikkim,1908,1988.2,43.5,378.6,1527.8,38.3,,28.83,24.42,31.43,30.72,26.64
Sub Himalayan West Bengal & Sikkim,1909,2670.1,10.7,339.7,2177.5,142.2,,28.38,23.52,31.02,30.33,26.88
Sub Himalayan West Bengal & Sikkim,1910,3046.1,19.9,291.1,2535.7,199.3,,28.53,24.2,31.14,30.48,26.2
Sub Himalayan West Bengal & Sikkim,1911,3194.2,29.7,473.3,2352.3,338.9,,28.62,23.9,30.7,31.14,26.31
Sub Himalayan West Bengal & Sikkim,1912,2793.6,14.3,493.8,2030.1,255.4,,28.95,24.88,31.1,31.15,26.57
Sub Himalayan West Bengal & Sikkim,1913,2935.1,35.9,400.1,2287.4,211.8,,28.67,24.25,30.89,30.92,26.42
Sub Himalayan West Bengal & Sikkim,1914,2414.1,72.2,396.0,1887.9,58.0,,28.66,24.59,30.73,30.84,26.4
Sub Himalayan West Bengal & Sikkim,1915,2504.9,53.9,489.5,1831.5,130.1,,28.94,23.22,31.06,31.51,27.19
Sub Himalayan West Bengal & Sikkim,1916,3476.8,24.2,479.4,2756.6,216.6,,28.82,24.57,31.88,30.52,26.31
Sub Himalayan West Bengal & Sikkim,1917,2841.6,22.4,264.5,2198.4,356.3,,28.11,24.52,30.06,30.24,25.74
Sub Himalayan West Bengal & Sikkim,1918,2981.4,2.2,465.3,2478.2,35.6,,28.66,23.57,30.68,31.1,26.78
Sub Himalayan West Bengal & Sikkim,1919,2544.5,24.6,276.7,2066.1,177.0,,28.66,23.71,31.17,30.8,26.6
Sub Himalayan West Bengal & Sikkim,1920,2884.1,25.1,295.3,2402.5,161.2,,28.76,23.64,30.4,31.08,27.45
Sub Himalayan West Bengal & Sikkim,1921,3513.4,43.9,715.5,2560.4,193.7,,28.86,23.91,32.05,30.81,26.43
Sub Himalayan West Bengal & Sikkim,1922,3001.9,20.4,268.1,2620.3,93.1,,28.8,24.43,31.21,30.9,26.38
Sub Himalayan West Bengal & Sikkim,1923,2489.0,40.2,444.5,1925.4,78.9,,28.74,23.73,31.4,30.98,26.43
Sub Himalayan West Bengal & Sikkim,1924,2950.9,4.3,379.7,2355.4,211.5,,28.8,23.94,31.44,30.96,26.49
Sub Himalayan West Bengal & Sikkim,1925,2886.6,9.1,559.3,2233.3,84.9,,28.67,23.57,31.47,30.67,26.59
Sub Himalayan West Bengal & Sikkim,1926,2637.7,15.6,346.4,2162.8,112.9,,28.7,24.73,30.21,31.14,26.61
Sub Himalayan West Bengal & Sikkim,1927,2732.2,55.0,401.2,2152.0,124.0,,28.59,23.76,30.72,30.8,26.73
Sub Himalayan West Bengal & Sikkim,1928,2868.9,37.3,308.9,2250.7,272.1,,28.98,24.21,31.51,31.14,26.74
Sub Himalayan West Bengal & Sikkim,1929,2931.3,51.7,399.4,1942.0,538.3,,28.76,23.53,31.72,31.03,26.28
Sub Himalayan West Bengal & Sikkim,1930,2184.5,37.5,305.4,1646.7,194.9,,28.65,23.2,30.94,30.98,26.9
Sub Himalayan West Bengal & Sikkim,1931,2876.5,12.4,423.2,2311.6,129.3,,29.15,24.55,31.71,31.16,26.97
Sub Himalayan West Bengal & Sikkim,1932,2715.6,10.0,336.9,2057.8,310.9,,29.09,24.51,31.17,31.25,27.18
Sub Himalayan West Bengal & Sikkim,1933,2514.2,25.9,318.9,2015.0,154.4,,28.49,24.13,30.43,30.41,26.92
Sub Himalayan West Bengal & Sikkim,1934,2612.9,70.7,314.7,2065.4,162.2,,29.03,24.53,31.28,31.22,26.94
Sub Himalayan West Bengal & Sikkim,1935,2785.1,37.9,289.7,2431.5,26.1,,28.76,23.41,31.15,30.85,26.88
Sub Himalayan West Bengal & Sikkim,1936,2660.3,12.5,407.3,2118.8,121.6,,28.71,24.11,31.17,30.68,26.69
Sub Himalayan West Bengal & Sikkim,1937,2568.4,68.6,336.0,1803.4,360.4,,28.7,24.13,30.84,31.22,26.26
Sub Himalayan West Bengal & Sikkim,1938,3249.3,8.9,544.7,2588.7,106.9,,28.7,23.31,31.74,30.59,26.71
Sub Himalayan West Bengal & Sikkim,1939,2591.1,19.8,280.8,2137.4,153.1,,28.85,24.25,30.76,31.06,27.05
Sub Himalayan West Bengal & Sikkim,1940,2320.2,54.2,363.0,1878.7,24.3,,28.88,24.46,30.66,30.93,27.24
Sub Himalayan West Bengal & Sikkim,1941,2718.0,10.1,477.0,2049.9,181.0,,29.46,24.37,32.12,31.37,27.62
Sub Himalayan West Bengal & Sikkim,1942,2365.4,26.1,486.4,1795.6,57.3,,28.98,24.03,31.8,30.99,27.23
Sub Himalayan West Bengal & Sikkim,1943,2917.6,80.8,424.9,2367.4,44.5,,28.8,24.03,30.8,30.83,27.33
