SUBDIVISION,YEAR,ANNUAL,JF,MAM,JJAS,OND,Dengue cases,ANNUAL_TEMP,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC
Uttarakhand,1901,1562.5,215.9,111.3,1194.1,41.3,,28.96,23.27,31.46,31.27,27.25
Uttarakhand,1902,1324.2,17.1,168.1,1105.1,34.0,,29.22,25.75,31.76,31.09,26.49
Uttarakhand,1903,1306.5,75.9,135.4,1026.5,68.7,,28.47,24.24,30.71,30.92,26.26
Uttarakhand,1904,1492.0,45.2,153.0,1221.0,72.9,,28.49,23.62,30.95,30.66,26.4
Uttarakhand,1905,1302.1,196.0,196.2,890.4,19.5,,28.3,22.25,30.0,31.33,26.57
Uttarakhand,1906,1537.9,188.1,91.5,1232.6,25.8,,28.73,23.03,31.11,30.86,27.29
Uttarakhand,1907,1194.4,181.0,243.7,769.1,0.5,,28.65,24.23,29.92,30.8,27.36
Uttarakhand,1908,1256.2,124.0,84.4,1036.1,11.7,,28.83,24.42,31.43,30.72,26.64
Uttarakhand,1909,1717.7,118.9,89.8,1430.8,78.2,,28.38,23.52,31.02,30.33,26.88
Uttarakhand,1910,1963.9,73.3,92.8,1517.3,280.5,,28.53,24.2,31.14,30.48,26.2
Uttarakhand,1911,1542.9,215.5,230.2,1001.7,95.4,,28.62,23.9,30.7,31.14,26.31
Uttarakhand,1912,1394.5,110.2,123.7,1119.2,41.5,,28.95,24.88,31.1,31.15,26.57
Uttarakhand,1913,1137.6,103.2,193.0,789.1,52.3,,28.67,24.25,30.89,30.92,26.42
Uttarakhand,1914,1940.9,120.8,248.2,1522.0,49.9,,28.66,24.59,30.73,30.84,26.4
Uttarakhand,1915,1601.3,158.7,198.9,1218.2,25.6,,28.94,23.22,31.06,31.51,27.19
Uttarakhand,1916,1678.8,39.6,71.4,1483.9,83.8,,28.82,24.57,31.88,30.52,26.31
Uttarakhand,1917,2102.9,63.0,263.2,1637.6,139.1,,28.11,24.52,30.06,30.24,25.74
Uttarakhand,1918,1215.2,17.2,205.9,961.5,30.6,,28.66,23.57,30.68,31.1,26.78
Uttarakhand,1919,1583.1,205.6,135.2,1189.4,52.9,,28.66,23.71,31.17,30.8,26.6
Uttarakhand,1920,1328.4,58.8,176.0,1078.1,15.4,,28.76,23.64,30.4,31.08,27.45
Uttarakhand,1921,1848.7,106.6,35.8,1645.7,60.6,,28.86,23.91,32.05,30.81,26.43
Uttarakhand,1922,1860.0,120.8,44.8,1638.3,56.2,,28.8,24.43,31.21,30.9,26.38
Uttarakhand,1923,1582.9,227.1,56.2,1175.1,124.5,,28.74,23.73,31.4,30.98,26.43
Uttarakhand,1924,1927.1,102.7,77.9,1555.1,191.5,,28.8,23.94,31.44,30.96,26.49
Uttarakhand,1925,1535.0,52.0,112.1,1314.0,56.8,,28.67,23.57,31.47,30.67,26.59
Uttarakhand,1926,1381.2,50.2,252.8,1044.1,34.2,,28.7,24.73,30.21,31.14,26.61
Uttarakhand,1927,1649.9,135.5,144.5,1195.9,174.0,,28.59,23.76,30.72,30.8,26.73
Uttarakhand,1928,1241.9,239.6,86.0,863.6,52.6,,28.98,24.21,31.51,31.14,26.74
