SUBDIVISION,YEAR,ANNUAL,JF,MAM,JJAS,OND,Dengue cases,ANNUAL_TEMP,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC
Vidarbha,1901,1093.3,76.6,64.3,917.2,35.2,,28.96,23.27,31.46,31.27,27.25
Vidarbha,1902,748.9,1.7,10.6,664.3,72.4,,29.22,25.75,31.76,31.09,26.49
Vidarbha,1903,1229.4,9.3,40.3,1077.0,102.8,,28.47,24.24,30.71,30.92,26.26
Vidarbha,1904,753.2,6.7,27.9,655.9,62.7,,28.49,23.62,30.95,30.66,26.4
Vidarbha,1905,941.8,20.0,42.6,873.1,6.2,,28.3,22.25,30.0,31.33,26.57
Vidarbha,1906,1191.2,16.2,18.2,1117.5,39.2,,28.73,23.03,31.11,30.86,27.29
Vidarbha,1907,1010.8,56.5,50.5,883.5,20.2,,28.65,24.23,29.92,30.8,27.36
Vidarbha,1908,1243.4,19.6,20.7,1191.4,11.8,,28.83,24.42,31.43,30.72,26.64
Vidarbha,1909,1061.6,11.3,54.1,898.3,97.9,,28.38,23.52,31.02,30.33,26.88
Vidarbha,1910,1294.0,0.0,10.0,1165.5,118.5,,28.53,24.2,31.14,30.48,26.2
Vidarbha,1911,982.8,18.2,4.9,892.3,67.4,,28.62,23.9,30.7,31.14,26.31
Vidarbha,1912,1014.0,49.9,13.5,927.5,23.1,,28.95,24.88,31.1,31.15,26.57
Vidarbha,1913,1052.6,24.9,23.0,959.6,45.1,,28.67,24.25,30.89,30.92,26.42
Vidarbha,1914,1199.0,13.4,67.8,1092.9,24.9,,28.66,24.59,30.73,30.84,26.4
Vidarbha,1915,1199.6,42.3,97.9,925.9,133.4,,28.94,23.22,31.06,31.51,27.19
Vidarbha,1916,1362.3,14.4,24.7,1161.6,161.5,,28.82,24.57,31.88,30.52,26.31
Vidarbha,1917,1396.9,79.4,81.0,1113.8,122.7,,28.11,24.52,30.06,30.24,25.74
Vidarbha,1918,801.4,5.4,86.4,676.2,33.4,,28.66,23.57,30.68,31.1,26.78
Vidarbha,1919,1212.6,92.8,42.2,959.3,118.4,,28.66,23.71,31.17,30.8,26.6
