SUBDIVISION,YEAR,ANNUAL,JF,MAM,JJAS,OND,Dengue cases,ANNUAL_TEMP,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC
West Rajasthan,1901,158.9,6.7,7.2,142.2,2.7,,28.96,23.27,31.46,31.27,27.25
West Rajasthan,1902,195.6,0.0,4.5,189.2,1.8,,29.22,25.75,31.76,31.09,26.49
West Rajasthan,1903,307.0,3.0,9.7,293.8,0.5,,28.47,24.24,30.71,30.92,26.26
West Rajasthan,1904,167.9,6.6,28.5,121.4,11.4,,28.49,23.62,30.95,30.66,26.4
West Rajasthan,1905,114.4,11.0,2.4,100.1,0.9,,28.3,22.25,30.0,31.33,26.57
West Rajasthan,1906,269.5,39.1,8.0,219.3,3.1,,28.73,23.03,31.11,30.86,27.29
West Rajasthan,1907,353.2,25.0,20.3,307.7,0.1,,28.65,24.23,29.92,30.8,27.36
West Rajasthan,1908,581.9,8.6,10.4,559.9,3.0,,28.83,24.42,31.43,30.72,26.64
West Rajasthan,1909,426.2,8.4,25.9,375.8,16.0,,28.38,23.52,31.02,30.33,26.88
West Rajasthan,1910,293.2,2.3,3.9,286.5,0.5,,28.53,24.2,31.14,30.48,26.2
West Rajasthan,1911,138.8,3.1,39.2,88.5,8.0,,28.62,23.9,30.7,31.14,26.31
West Rajasthan,1912,279.9,16.3,5.3,249.6,8.7,,28.95,24.88,31.1,31.15,26.57
West Rajasthan,1913,248.3,8.6,30.0,194.7,14.9,,28.67,24.25,30.89,30.92,26.42
West Rajasthan,1914,302.3,4.4,11.5,279.3,7.2,,28.66,24.59,30.73,30.84,26.4
West Rajasthan,1915,147.2,26.7,16.0,73.4,31.1,,28.94,23.22,31.06,31.51,27.19
West Rajasthan,1916,421.7,1.8,18.4,381.6,20.0,,28.82,24.57,31.88,30.52,26.31
West Rajasthan,1917,768.8,2.5,70.2,617.3,78.9,,28.11,24.52,30.06,30.24,25.74
West Rajasthan,1918,62.3,0.4,4.0,57.4,0.5,,28.66,23.57,30.68,31.1,26.78
West Rajasthan,1919,305.0,15.3,13.3,270.0,6.4,,28.66,23.71,31.17,30.8,26.6
West Rajasthan,1920,248.7,4.2,51.6,192.8,0.0,,28.76,23.64,30.4,31.08,27.45
West Rajasthan,1921,218.0,0.1,0.0,216.8,1.1,,28.86,23.91,32.05,30.81,26.43
West Rajasthan,1922,244.8,1.0,5.4,234.5,4.0,,28.8,24.43,31.21,30.9,26.38
West Rajasthan,1923,273.4,8.2,10.7,249.8,4.8,,28.74,23.73,31.4,30.98,26.43
West Rajasthan,1924,297.1,6.6,9.3,270.0,11.3,,28.8,23.94,31.44,30.96,26.49
West Rajasthan,1925,169.7,0.0,8.2,158.8,2.6,,28.67,23.57,31.47,30.67,26.59
West Rajasthan,1926,440.2,5.7,41.6,392.6,0.3,,28.7,24.73,30.21,31.14,26.61
West Rajasthan,1927,332.5,7.7,5.5,296.6,22.7,,28.59,23.76,30.72,30.8,26.73
West Rajasthan,1928,272.0,1.2,5.2,247.3,18.5,,28.98,24.21,31.51,31.14,26.74
West Rajasthan,1929,303.3,2.3,14.0,282.3,4.7,,28.76,23.53,31.72,31.03,26.28
West Rajasthan,1930,230.1,3.7,19.2,200.7,6.4,,28.65,23.2,30.94,30.98,26.9
West Rajasthan,1931,395.4,1.2,13.4,363.7,17.0,,29.15,24.55,31.71,31.16,26.97
West Rajasthan,1932,265.3,0.9,12.5,251.2,0.6,,29.09,24.51,31.17,31.25,27.18
West Rajasthan,1933,376.4,7.7,32.3,335.8,0.6,,28.49,24.13,30.43,30.41,26.92
West Rajasthan,1934,322.4,0.8,10.0,309.2,2.4,,29.03,24.53,31.28,31.22,26.94
West Rajasthan,1935,256.6,11.9,11.6,227.0,6.2,,28.76,23.41,31.15,30.85,26.88
West Rajasthan,1936,265.5,4.7,2.4,246.7,11.6,,28.71,24.11,31.17,30.68,26.69
West Rajasthan,1937,292.5,25.5,3.9,250.9,12.3,,28.7,24.13,30.84,31.22,26.26
West Rajasthan,1938,183.5,2.6,4.9,174.8,1.2,,28.7,23.31,31.74,30.59,26.71
West Rajasthan,1939,137.4,25.3,8.3,103.8,0.0,,28.85,24.25,30.76,31.06,27.05
West Rajasthan,1940,292.4,26.6,10.2,253.5,2.1,,28.88,24.46,30.66,30.93,27.24
West Rajasthan,1941,224.8,9.2,11.5,200.9,3.2,,29.46,24.37,32.12,31.37,27.62
West Rajasthan,1942,338.9,15.9,20.2,299.3,3.5,,28.98,24.03,31.8,30.99,27.23
West Rajasthan,1943,295.6,1.5,3.1,290.7,0.3,,28.8,24.03,30.8,30.83,27.33
West Rajasthan,1944,525.1,19.8,21.8,482.2,1.3,,28.89,23.62,31.03,31.25,27.16
West Rajasthan,1945,364.0,18.3,21.8,323.5,0.5,,28.97,23.86,31.19,31.48,26.82
West Rajasthan,1946,223.1,1.1,3.0,214.3,4.7,,29.37,25.49,31.5,31.23,27.3
West Rajasthan,1947,253.2,4.0,0.9,241.7,6.5,,28.84,23.99,31.78,31.2,26.7
West Rajasthan,1948,233.5,36.8,7.6,186.7,2.4,,28.73,23.62,31.27,30.84,26.77
West Rajasthan,1949,224.8,4.7,3.8,214.8,1.4,,28.89,24.49,31.27,30.88,26.79
West Rajasthan,1950,278.3,1.7,3.6,273.0,0.0,,28.47,24.02,30.72,30.48,26.58
West Rajasthan,1951,179.8,0.1,27.9,137.9,13.9,,29.09,24.16,30.67,31.13,27.77
West Rajasthan,1952,267.1,3.7,2.9,259.9,0.6,,29.16,25.17,31.13,31.11,27.26
West Rajasthan,1953,304.4,5.9,7.3,290.7,0.5,,29.43,24.71,32.19,31.12,27.56
West Rajasthan,1954,250.4,15.0,1.4,231.1,3.0,,28.92,24.2,31.89,30.9,26.46
West Rajasthan,1955,391.3,4.6,12.9,352.5,21.3,,28.76,24.9,30.88,30.72,26.59
West Rajasthan,1956,374.2,3.3,7.3,317.1,46.5,,28.63,24.4,31.53,30.25,26.37
West Rajasthan,1957,267.1,19.7,20.5,217.2,9.6,,28.64,23.87,30.42,31.07,26.82
West Rajasthan,1958,264.1,2.2,3.8,233.3,24.7,,29.34,25.43,31.74,31.23,27.01
West Rajasthan,1959,335.3,3.5,14.5,306.1,11.2,,29.02,24.05,31.71,30.99,27.03
West Rajasthan,1960,217.8,0.2,4.9,206.7,6.1,,29.31,25.49,31.17,31.29,27.36
West Rajasthan,1961,400.3,17.7,12.2,365.5,4.9,,28.72,24.18,31.47,30.75,26.3
West Rajasthan,1962,262.5,1.0,12.3,247.0,2.3,,28.89,24.24,31.31,31.08,26.65
West Rajasthan,1963,174.5,0.7,10.5,153.0,10.3,,29.04,24.73,30.94,31.28,27.0
West Rajasthan,1964,337.3,0.9,14.6,321.2,0.7,,29.09,24.29,31.89,30.82,27.2
West Rajasthan,1965,215.3,4.9,13.0,193.9,3.5,,29.16,24.67,30.73,31.37,27.61
West Rajasthan,1966,252.9,11.5,13.2,226.0,2.2,,29.41,25.54,31.69,31.24,27.26
West Rajasthan,1967,340.3,0.0,63.2,248.5,28.7,,29.14,25.31,31.04,31.32,26.9
West Rajasthan,1968,142.2,9.1,9.9,122.4,0.7,,29.07,23.68,31.24,31.55,27.19
West Rajasthan,1969,119.0,2.2,4.8,110.8,1.1,,29.61,24.99,32.02,31.55,27.71
West Rajasthan,1970,355.7,22.9,6.4,326.2,0.2,,29.47,25.19,32.03,31.16,27.5
West Rajasthan,1971,251.5,3.8,25.1,220.4,2.2,,29.15,24.99,31.58,30.91,27.17
West Rajasthan,1972,185.9,1.9,3.8,178.7,1.5,,29.31,24.49,31.49,31.67,27.21
West Rajasthan,1973,454.8,0.9,10.9,440.8,2.2,,29.44,25.35,32.19,31.28,26.97
West Rajasthan,1974,164.3,0.0,24.0,132.8,7.5,,29.26,24.34,31.92,31.39,27.03
West Rajasthan,1975,553.8,1.3,3.6,522.2,26.7,,28.89,24.12,31.62,30.66,26.99
West Rajasthan,1976,425.2,9.0,12.6,390.4,13.3,,29.27,24.61,31.45,31.09,27.76
West Rajasthan,1977,389.4,8.7,16.7,362.6,1.4,,29.41,25.15,31.65,31.22,27.59
West Rajasthan,1978,379.7,11.7,9.7,345.6,12.6,,29.23,24.36,31.57,31.11,27.64
West Rajasthan,1979,308.2,28.4,34.0,226.1,19.7,,29.63,24.99,31.7,31.87,27.67
West Rajasthan,1980,238.4,0.5,12.1,206.8,19.0,,29.58,25.21,32.2,31.36,27.51
West Rajasthan,1981,248.5,7.9,16.6,187.3,36.8,,29.32,24.9,31.64,31.34,27.24
West Rajasthan,1982,311.8,15.4,81.3,202.9,12.2,,29.12,24.51,30.79,31.55,27.26
West Rajasthan,1983,469.3,3.6,75.5,380.1,10.1,,29.11,24.62,30.84,31.48,27.23
West Rajasthan,1984,203.2,2.8,1.2,198.9,0.2,,29.28,24.11,32.12,31.09,27.46
West Rajasthan,1985,197.4,0.4,20.4,169.3,7.3,,29.61,25.29,32.51,31.28,27.35
West Rajasthan,1986,204.2,10.9,28.7,164.0,0.6,,29.33,24.64,31.58,31.44,27.4
West Rajasthan,1987,143.0,7.2,41.5,90.7,3.6,,29.72,25.07,31.37,32.24,27.82
West Rajasthan,1988,280.4,1.3,10.6,264.7,3.8,,29.55,25.39,31.75,31.34,27.76
West Rajasthan,1989,248.1,8.6,2.4,236.2,0.9,,29.18,24.51,31.35,31.11,27.57
West Rajasthan,1990,445.0,25.2,19.2,396.1,4.4,,29.14,25.0,30.84,31.18,27.5
West Rajasthan,1991,179.0,4.2,20.7,152.4,1.8,,29.32,24.74,31.46,31.45,27.4
West Rajasthan,1992,425.8,17.0,7.5,394.9,6.4,,29.23,24.6,31.32,31.28,27.49
West Rajasthan,1993,293.5,5.4,10.9,275.4,1.7,,29.55,25.31,31.61,31.47,27.74
West Rajasthan,1994,415.5,11.0,13.0,391.4,0.0,,29.46,25.09,31.85,31.3,27.52
West Rajasthan,1995,367.9,16.3,6.6,331.5,13.6,,30.18,25.68,32.4,32.01,28.52
West Rajasthan,1996,307.9,5.4,26.8,271.9,3.8,,29.58,26.3,32.07,31.19,27.29
West Rajasthan,1997,345.1,1.3,36.4,246.7,60.7,,29.05,24.63,31.26,31.77,26.65
West Rajasthan,1998,279.6,8.7,11.0,201.6,58.3,,29.7,24.96,31.89,31.75,27.83
West Rajasthan,1999,204.3,9.5,39.6,147.6,7.6,,29.81,25.16,32.45,31.55,27.95
West Rajasthan,2000,235.3,1.0,7.7,225.1,1.5,,29.75,24.82,32.22,31.25,28.53
West Rajasthan,2001,285.3,1.5,33.4,243.1,7.3,,29.99,25.88,32.61,31.62,28.13
West Rajasthan,2002,92.4,3.0,13.7,67.2,8.6,,30.23,25.37,33.06,32.02,28.36
West Rajasthan,2003,368.1,23.7,3.0,341.1,0.3,,29.75,25.32,32.05,31.72,27.7
West Rajasthan,2004,196.7,2.4,10.8,163.3,20.3,,29.79,25.47,32.69,31.42,27.65
West Rajasthan,2005,260.8,15.6,29.6,215.4,0.1,,29.6,24.96,31.81,31.84,27.5
West Rajasthan,2006,361.3,0.0,28.6,324.4,8.3,,30.06,27.44,32.08,31.39,27.78
